metric,real_a,real_b_after_sleep,delta
candles,2000.0,2000.0,0.0
episodes,1994.0,1994.0,0.0
unique_symbols,351.0,351.0,0.0
episode_memory_written,5.0,5.0,0.0
mcm_field_episode_written,5.0,5.0,0.0
avg_mcm_carry_quality,0.509901,0.510684,0.000783
avg_mcm_rekopplung_quality,0.693318,0.692524,-0.000794
avg_mcm_strain_quality,0.157341,0.156838,-0.000503
avg_mcm_sensory_coupling,0.83793,0.837184,-0.000746
avg_mini_afterimage,0.132651,0.132651,0.0
avg_mini_neuro_load,0.096769,0.095583,-0.001186
avg_mini_neuro_balance,0.329691,0.331675,0.001984
