type;group;world;ticks;unique_symbols;symbol_density;semantic_reuse;unique_families;family_density;family_reuse;unique_field_episodes;field_episode_reuse;top_symbol;top_family;top_family_share;top5_family_share;repeated_symbol_share_10;repeated_family_share_10;symbol_entropy;family_entropy;fieldtime_trust;afterimage;avg_rekopplung;avg_carry;avg_strain;verdichtung_score;source
summary;asset_mixed_2k;GROUP;1994.0;342.5;0.17176529588766298;0.828234704112337;340.75;0.1708876629889669;0.8291123370110332;3.0;0.9984954864593781;-;dio_104t;0.062186559679037114;0.21326479438314944;0.6629889669007021;0.6648696088264794;7.062866631973417;7.058159829388286;0.5953807635549363;0.13879271575982602;0.6966823456129275;0.5112563680046266;0.15511309601251805;0.6459833933697501;-
summary;kurz_2k;GROUP;1994.0;349.25;0.17515045135406218;0.8248495486459378;347.0;0.17402206619859578;0.8259779338014042;3.0;0.9984954864593781;-;dio_104t;0.0655717151454363;0.21464393179538616;0.6454363089267804;0.6471915747241725;7.118453707712444;7.112019575454108;0.5918490527796171;0.13868675758297042;0.6948877446295734;0.5106915897117505;0.1556538469479351;0.6414353318387078;-
summary;lang_10k;GROUP;9994.0;652.5;0.06528917350410246;0.9347108264958975;649.25;0.06496397838703222;0.9350360216129678;9.25;0.9990744446668001;-;dio_104t;0.06726535921552931;0.22553532119271563;0.8697718631178707;0.871522913748249;7.285388110807951;7.280490608598969;0.7044587350503155;0.17303728885104927;0.7057360193328757;0.5370605254979482;0.1526417454236709;0.7489247638296906;-
detail;asset_mixed_2k;kontrolliert_btc_2024_5m_test1_2000_btcusdt;1994;340;0.17051153460381144;0.8294884653961886;338;0.16950852557673018;0.8304914744232699;3;0.9984954864593781;dio_104t4us;dio_104t;0.07372116349047142;0.2291875626880642;0.6690070210631895;0.6700100300902708;7.012268686671937;7.006975228014994;0.5977868624793429;0.1422286247766693;0.6956983098814256;0.5124642588171391;0.15496982195151726;0.6509518809265655;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_btc_2024_5m_test1_2000_btcusdt\dio_mini_lauf_1\mini_report.json
detail;asset_mixed_2k;kontrolliert_kas_2024_5m_test1_2000_kasusdt;1994;350;0.17552657973921765;0.8244734202607824;347;0.17402206619859578;0.8259779338014042;1;0.9994984954864594;dio_104t4us;dio_104t;0.055667001003009024;0.19207622868605817;0.6519558676028084;0.6584754262788365;7.16438150017688;7.15418527208008;0.5892169803219746;0.13095517514132682;0.6939933768192262;0.5098698191784651;0.1561801911062276;0.6381067195658489;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_kas_2024_5m_test1_2000_kasusdt\dio_mini_lauf_1\mini_report.json
detail;asset_mixed_2k;kontrolliert_paxg_2024_5m_test1_2000_paxgusdt;1994;329;0.1649949849548646;0.8350050150451354;329;0.1649949849548646;0.8350050150451354;3;0.9984954864593781;dio_104t4us;dio_104t;0.06268806419257773;0.2156469408224674;0.6845536609829489;0.6845536609829489;6.9705675927697;6.9705675927697;0.6041833571607721;0.14933646918924728;0.7037072850873084;0.5127869421722866;0.15199023580173626;0.6539424484086194;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_paxg_2024_5m_test1_2000_paxgusdt\dio_mini_lauf_1\mini_report.json
detail;asset_mixed_2k;kontrolliert_sol_2024_5m_test1_2000_solusdt;1994;351;0.1760280842527583;0.8239719157472417;349;0.17502507522567703;0.824974924774323;5;0.9974924774322969;dio_104t4us;dio_104t;0.05667001003009027;0.21614844533600802;0.6464393179538616;0.6464393179538616;7.104248748275154;7.100911224688367;0.5903358542576558;0.13265059393206066;0.6933304106637498;0.5099044518506155;0.1573121351905911;0.6409325245779663;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_sol_2024_5m_test1_2000_solusdt\dio_mini_lauf_1\mini_report.json
detail;kurz_2k;kontrolliert_2026_sideways_test1_2000_5m_solusdt;1994;356;0.17853560682046138;0.8214643931795387;356;0.17853560682046138;0.8214643931795387;3;0.9984954864593781;dio_104t4us;dio_104t;0.0667001003009027;0.21614844533600802;0.6263791374122367;0.6263791374122367;7.173605173798127;7.173605173798127;0.5877297208566271;0.1381385850105786;0.6949029080165161;0.5099531225316486;0.1552958018104641;0.6360782143973005;debug\block_k_fieldtime_controlled\kurz_2k\kontrolliert_2026_sideways_test1_2000_5m_solusdt\dio_mini_lauf_1\mini_report.json
detail;kurz_2k;kontrolliert_btc_2025_1h_test1_2000_btcusdt;1994;340;0.17051153460381144;0.8294884653961886;337;0.16900702106318957;0.8309929789368105;5;0.9974924774322969;dio_104t4us;dio_104t;0.08324974924774323;0.25376128385155466;0.6639919759277834;0.6639919759277834;6.917534151712965;6.909807388637961;0.6049330032536174;0.16322760528611255;0.6979195799847282;0.51488345305956;0.1539736064303136;0.6561361390537397;debug\block_k_fieldtime_controlled\kurz_2k\kontrolliert_btc_2025_1h_test1_2000_btcusdt\dio_mini_lauf_1\mini_report.json
detail;kurz_2k;kontrolliert_kas_2024_5m_test1_2000_kasusdt;1994;350;0.17552657973921765;0.8244734202607824;347;0.17402206619859578;0.8259779338014042;1;0.9994984954864594;dio_104t4us;dio_104t;0.055667001003009024;0.19207622868605817;0.6519558676028084;0.6584754262788365;7.16438150017688;7.15418527208008;0.5892169803219746;0.13095517514132682;0.6939933768192262;0.5098698191784651;0.1561801911062276;0.6381067195658489;debug\block_k_fieldtime_controlled\kurz_2k\kontrolliert_kas_2024_5m_test1_2000_kasusdt\dio_mini_lauf_1\mini_report.json
