phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig_vorlast,700,0.984286,0.005714,0.001429,0.008571,0.758639,0.618647,0.120646,0.017298,0.02275,0.838679
oeffnung,700,0.975714,0.011429,0.001429,0.011429,0.755828,0.614376,0.12093,0.022089,0.028703,0.833679
bruch_impuls,700,0.882857,0.054286,0.0,0.062857,0.737425,0.580211,0.124477,0.04776,0.068364,0.807736
randflackern,700,0.287143,0.497143,0.004286,0.211429,0.695298,0.515508,0.154164,0.093785,0.145439,0.624177
gegenpol,700,0.972857,0.01,0.001429,0.015714,0.747392,0.599462,0.121271,0.036787,0.050998,0.820975
rekopplung,700,0.991429,0.005714,0.001429,0.001429,0.757947,0.619483,0.121197,0.021211,0.027891,0.835463
ruhe_nachhall,700,0.992857,0.002857,0.001429,0.002857,0.759593,0.621374,0.121058,0.018665,0.025213,0.837539
zweiter_kippimpuls,500,0.98,0.006,0.004,0.01,0.742302,0.594463,0.1276,0.053847,0.082461,0.802682
zweite_rekopplung,594,0.986532,0.005051,0.0,0.008418,0.757528,0.618321,0.121128,0.022452,0.031496,0.83491
