family,late_role_reading,repro_reading,source_count,sources,token_count,tokens,world_count,worlds,record_count,observations_total,neighbor_count_total,avg_rekopplung,avg_strain,avg_center_share,avg_open_share,avg_rand_share
dio_0xfj,spaete_offene_varianz,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv",2,"dio_0xfj,dio_mcm_episode_0x7d4av",2,"SOL2024_30M,STRESS10K_REPRO",2,22,16,0.620109,0.207528,0.166666,0.785714,0.047619
dio_066l,spaete_offene_varianz,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv",2,"dio_066l,dio_mcm_episode_0ipx085",2,"SOL2025_30M,STRESS10K_REPRO",2,10,12,0.617194,0.233244,0.277778,0.722222,0.0
dio_0nu8,spaete_offene_varianz,spaet_reproduziert,2,"973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv",2,"dio_mcm_episode_1a3ydyn,dio_mcm_episode_1aylh55",2,"STABLE10K_REPRO,STRESS10K_REPRO",2,9,17,0.624709,0.263996,0.0,0.8125,0.1875
dio_1de5,spaete_offene_varianz,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv",2,"dio_mcm_episode_0p2lp5j,dio_mcm_episode_19o6p8v",2,"SOL2024_30M,STABLE10K_REPRO",2,7,8,0.621954,0.250231,0.35,0.45,0.2
dio_1stv,spaeter_zentrumskandidat,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv",2,"dio_1stv,dio_mcm_episode_1d26rcr",2,"SOL2025_15M,STABLE10K_REPRO",2,7,5,0.639288,0.187086,0.833333,0.166666,0.0
dio_10bh,spaeter_zentrumskandidat,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv",2,"dio_10bh,dio_mcm_episode_0s34bl3",2,"SOL2025_15M,STABLE10K_REPRO",2,5,8,0.66098,0.205273,0.875,0.125,0.0
dio_1db3,spaeter_spannungsrand,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv",2,"dio_1db3,dio_mcm_episode_1anxlcl",2,"SOL2025_15M,STABLE10K_REPRO",2,4,8,0.584807,0.308914,0.0,0.0,1.0
dio_0izw,spaete_offene_varianz,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv",2,"dio_0izw,dio_mcm_episode_0oj299g",3,"SOL2024_15M,SOL2025_15M,STRESS10K_REPRO",2,3,6,0.607203,0.21501,0.0,1.0,0.0
dio_1w5g,spaeter_spannungsrand,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv",2,"dio_1w5g,dio_mcm_episode_08k98i3",2,"SOL2024_15M,STRESS10K_REPRO",2,3,5,0.583946,0.343934,0.0,0.0,1.0
dio_05wo,spaeter_zentrumskandidat,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv",2,"dio_05wo,dio_mcm_episode_0ppr02l",2,"SOL2024_15M,STRESS10K_REPRO",2,2,4,0.635736,0.200689,1.0,0.0,0.0
