symbol_family,contrast_class,real_events,null_events,real_share,null_share,real_null_ratio,real_field,null_field,same_field,real_reifung,null_reifung,real_mcm,null_mcm,boundary
dio_104t,balanciert,9249,7493,0.077121,0.069410,1.111090,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.581/0.156/0.726,0.588/0.163/0.727,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0l7p,null_leicht_staerker,4606,5777,0.038406,0.053515,0.717681,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.584/0.143/0.731,0.594/0.152/0.734,passive_multi_family_real_null_contrast_no_action_no_direction
dio_155c,real_leicht_staerker,4820,3714,0.040191,0.034404,1.168195,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.570/0.165/0.719,0.580/0.172/0.720,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0m9z,balanciert,4789,3930,0.039932,0.036405,1.096888,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.566/0.174/0.712,0.575/0.182/0.714,passive_multi_family_real_null_contrast_no_action_no_direction
dio_14wj,balanciert,4427,3945,0.036914,0.036544,1.010119,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.588/0.135/0.737,0.598/0.144/0.739,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0h9h,balanciert,3626,3196,0.030235,0.029606,1.021248,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.580/0.148/0.728,0.590/0.158/0.730,passive_multi_family_real_null_contrast_no_action_no_direction
dio_00ly,real_leicht_staerker,2365,1773,0.019720,0.016424,1.200694,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.577/0.146/0.728,0.588/0.158/0.729,passive_multi_family_real_null_contrast_no_action_no_direction
dio_06er,null_deutlich_staerker,1506,2071,0.012558,0.019184,0.654568,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.585/0.132/0.739,0.600/0.143/0.743,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0pz6,null_leicht_staerker,1688,2012,0.014075,0.018638,0.755187,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.581/0.142/0.731,0.596/0.153/0.735,passive_multi_family_real_null_contrast_no_action_no_direction
dio_06s7,null_leicht_staerker,1454,1761,0.012124,0.016313,0.743216,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.579/0.134/0.733,0.595/0.146/0.737,passive_multi_family_real_null_contrast_no_action_no_direction
dio_17ct,null_leicht_staerker,1473,1746,0.012282,0.016174,0.759397,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.568/0.158/0.720,0.585/0.168/0.724,passive_multi_family_real_null_contrast_no_action_no_direction
dio_00ja,real_deutlich_staerker,1764,1034,0.014709,0.009578,1.535636,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.557/0.172/0.704,0.563/0.182/0.704,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0dd2,balanciert,1665,1574,0.013883,0.014581,0.952181,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.578/0.146/0.730,0.590/0.156/0.733,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1lsu,balanciert,1730,1524,0.014425,0.014117,1.021813,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.563/0.164/0.715,0.575/0.174/0.718,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1ewh,real_deutlich_staerker,1684,940,0.014042,0.008708,1.612591,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.560/0.158/0.714,0.555/0.167/0.709,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1kpz,null_leicht_staerker,1338,1508,0.011157,0.013969,0.798665,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.579/0.133/0.733,0.594/0.146/0.737,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0tay,null_leicht_staerker,1237,1439,0.010315,0.013330,0.773783,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.570/0.152/0.723,0.586/0.165/0.725,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1492,null_deutlich_staerker,837,1392,0.006979,0.012895,0.541248,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.580/0.128/0.737,0.600/0.141/0.742,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1q85,balanciert,1515,1352,0.012633,0.012524,1.008663,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.560/0.170/0.711,0.575/0.181/0.715,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0nlj,null_deutlich_staerker,928,1325,0.007738,0.012274,0.630438,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.581/0.127/0.737,0.600/0.140/0.743,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1pij,real_deutlich_staerker,1368,217,0.011407,0.002010,5.674616,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.500/0.189/0.684,0.481/0.197/0.671,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1fll,balanciert,1340,1215,0.011173,0.011255,0.992747,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.586/0.120/0.744,0.601/0.132/0.748,passive_multi_family_real_null_contrast_no_action_no_direction
dio_09bn,balanciert,1168,1131,0.009739,0.010477,0.929588,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.576/0.140/0.731,0.592/0.152/0.734,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0kx9,null_leicht_staerker,1007,1108,0.008397,0.010264,0.818088,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.580/0.125/0.736,0.597/0.137/0.741,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1jc2,balanciert,1218,1068,0.010156,0.009893,1.026564,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.582/0.125/0.737,0.596/0.138/0.741,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1u5i,real_leicht_staerker,1203,853,0.010031,0.007902,1.269482,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.566/0.140/0.724,0.573/0.151/0.723,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0obq,real_leicht_staerker,1198,928,0.009989,0.008596,1.162034,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.547/0.169/0.708,0.556/0.178/0.708,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0oc3,null_deutlich_staerker,693,990,0.005778,0.009171,0.630098,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.526/0.179/0.695,0.550/0.190/0.702,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1gp2,real_leicht_staerker,1047,646,0.008730,0.005984,1.458896,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.557/0.159/0.711,0.559/0.170/0.708,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0g2r,real_deutlich_staerker,1019,572,0.008497,0.005299,1.603571,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.555/0.158/0.711,0.557/0.168/0.708,passive_multi_family_real_null_contrast_no_action_no_direction
dio_19pg,balanciert,926,887,0.007721,0.008217,0.939718,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.553/0.169/0.705,0.569/0.181/0.708,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0z9t,null_leicht_staerker,832,867,0.006937,0.008031,0.863802,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.557/0.159/0.717,0.572/0.169/0.721,passive_multi_family_real_null_contrast_no_action_no_direction
dio_03uk,null_leicht_staerker,720,806,0.006004,0.007466,0.804095,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.528/0.191/0.690,0.588/0.147/0.735,passive_multi_family_real_null_contrast_no_action_no_direction
dio_10dv,null_leicht_staerker,692,796,0.005770,0.007374,0.782534,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.560/0.148/0.724,0.577/0.158/0.728,passive_multi_family_real_null_contrast_no_action_no_direction
dio_05yg,balanciert,794,784,0.006621,0.007262,0.911621,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.538/0.187/0.691,0.556/0.201/0.694,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1r55,balanciert,781,778,0.006512,0.007207,0.903611,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.553/0.158/0.716,0.570/0.168/0.720,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1350,null_deutlich_staerker,523,757,0.004361,0.007012,0.621893,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.565/0.137/0.727,0.587/0.151/0.732,passive_multi_family_real_null_contrast_no_action_no_direction
dio_04uf,balanciert,830,672,0.006921,0.006225,1.111780,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.546/0.178/0.699,0.559/0.187/0.702,passive_multi_family_real_null_contrast_no_action_no_direction
dio_02n3,real_leicht_staerker,799,573,0.006662,0.005308,1.255169,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.572/0.125/0.735,0.588/0.137/0.739,passive_multi_family_real_null_contrast_no_action_no_direction
dio_05ap,null_deutlich_staerker,478,711,0.003986,0.006586,0.605157,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.572/0.123/0.738,0.595/0.137/0.743,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0jkk,real_leicht_staerker,775,546,0.006462,0.005058,1.277671,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.531/0.189/0.687,0.537/0.199/0.687,passive_multi_family_real_null_contrast_no_action_no_direction
dio_01hu,balanciert,766,612,0.006387,0.005669,1.126646,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.565/0.145/0.724,0.577/0.156/0.727,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1tiu,null_leicht_staerker,645,686,0.005378,0.006355,0.846342,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.571/0.134/0.733,0.588/0.147/0.736,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1o4z,balanciert,670,684,0.005587,0.006336,0.881716,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.554/0.159/0.709,0.573/0.170/0.714,passive_multi_family_real_null_contrast_no_action_no_direction
dio_07uk,balanciert,682,677,0.005687,0.006271,0.906788,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.563/0.149/0.722,0.580/0.160/0.727,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0ly7,null_leicht_staerker,511,668,0.004261,0.006188,0.688580,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.574/0.122/0.738,0.595/0.135/0.744,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0n0i,null_deutlich_staerker,461,667,0.003844,0.006179,0.622136,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.575/0.117/0.738,0.597/0.130/0.745,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1uof,real_leicht_staerker,737,539,0.006145,0.004993,1.230804,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.557/0.153/0.711,0.568/0.165/0.713,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0fe7,real_deutlich_staerker,726,381,0.006054,0.003529,1.715228,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.551/0.147/0.715,0.547/0.155/0.711,passive_multi_family_real_null_contrast_no_action_no_direction
dio_17db,null_deutlich_staerker,464,640,0.003869,0.005929,0.652602,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.522/0.192/0.686,0.546/0.206/0.692,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1xrt,real_deutlich_staerker,697,374,0.005812,0.003465,1.677534,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.551/0.149/0.715,0.540/0.156/0.707,passive_multi_family_real_null_contrast_no_action_no_direction
dio_13o0,null_deutlich_staerker,433,609,0.003610,0.005641,0.640001,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.573/0.116/0.737,0.595/0.130/0.745,passive_multi_family_real_null_contrast_no_action_no_direction
dio_06qi,real_leicht_staerker,610,448,0.005086,0.004150,1.225637,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.554/0.151/0.716,0.569/0.164/0.720,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1cic,null_leicht_staerker,405,539,0.003377,0.004993,0.676358,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.548/0.145/0.714,0.564/0.157/0.717,passive_multi_family_real_null_contrast_no_action_no_direction
dio_18v0,real_deutlich_staerker,590,218,0.004920,0.002019,2.436159,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.512/0.191/0.684,0.501/0.202/0.681,passive_multi_family_real_null_contrast_no_action_no_direction
dio_169a,null_leicht_staerker,492,522,0.004102,0.004835,0.848408,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.530/0.179/0.696,0.545/0.191/0.699,passive_multi_family_real_null_contrast_no_action_no_direction
dio_12fw,real_leicht_staerker,575,399,0.004795,0.003696,1.297194,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.532/0.179/0.692,0.534/0.188/0.690,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0pq6,balanciert,515,511,0.004294,0.004734,0.907186,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.546/0.158/0.706,0.567/0.171/0.712,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1v2w,real_deutlich_staerker,556,301,0.004636,0.002788,1.662717,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.529/0.184/0.684,0.527/0.192/0.683,passive_multi_family_real_null_contrast_no_action_no_direction
dio_02xf,null_leicht_staerker,412,488,0.003435,0.004521,0.759954,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.542/0.158/0.704,0.563/0.171/0.710,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0fl2,real_leicht_staerker,541,413,0.004511,0.003826,1.179118,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.567/0.131/0.732,0.577/0.143/0.735,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1772,real_leicht_staerker,527,342,0.004394,0.003168,1.387058,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.528/0.175/0.693,0.518/0.181/0.688,passive_multi_family_real_null_contrast_no_action_no_direction
dio_06jk,balanciert,502,404,0.004186,0.003742,1.118491,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.542/0.163/0.711,0.555/0.172/0.712,passive_multi_family_real_null_contrast_no_action_no_direction
dio_07o8,real_leicht_staerker,496,309,0.004136,0.002862,1.444885,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.522/0.164/0.698,0.518/0.172/0.694,passive_multi_family_real_null_contrast_no_action_no_direction
dio_087m,balanciert,450,439,0.003752,0.004067,0.922695,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.565/0.127/0.731,0.585/0.140/0.737,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0jqc,balanciert,428,430,0.003569,0.003983,0.895953,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.551/0.143/0.721,0.567/0.155/0.725,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1mwv,null_leicht_staerker,386,425,0.003219,0.003937,0.817539,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.549/0.148/0.715,0.570/0.161/0.721,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0pxr,null_leicht_staerker,358,417,0.002985,0.003863,0.772782,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.529/0.174/0.693,0.552/0.186/0.700,passive_multi_family_real_null_contrast_no_action_no_direction
dio_08l0,null_deutlich_staerker,280,403,0.002335,0.003733,0.625408,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.536/0.153/0.704,0.565/0.168/0.711,passive_multi_family_real_null_contrast_no_action_no_direction
dio_0g3b,null_leicht_staerker,315,386,0.002627,0.003576,0.734570,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.565/0.112/0.738,0.588/0.126/0.745,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1o0u,null_deutlich_staerker,194,385,0.001618,0.003566,0.453577,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.517/0.167/0.698,0.551/0.180/0.707,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1oye,null_deutlich_staerker,218,385,0.001818,0.003566,0.509690,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.505/0.186/0.684,0.536/0.192/0.695,passive_multi_family_real_null_contrast_no_action_no_direction
dio_1ygx,null_deutlich_staerker,269,380,0.002243,0.003520,0.637204,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.560/0.112/0.737,0.586/0.125/0.744,passive_multi_family_real_null_contrast_no_action_no_direction
dio_17dc,real_deutlich_staerker,380,223,0.003169,0.002066,1.533871,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.542/0.153/0.710,0.546/0.161/0.710,passive_multi_family_real_null_contrast_no_action_no_direction
dio_14d9,balanciert,322,328,0.002685,0.003038,0.883674,tragende_rekopplung,tragende_rekopplung,1,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.538/0.156/0.706,0.556/0.170/0.710,passive_multi_family_real_null_contrast_no_action_no_direction
