base_sequence,scale,count,dominant_raw_class,raw_class_counts,avg_price_move_pct,avg_abs_body_pct,avg_range_pct,avg_auditory,avg_visual_sharpness,avg_field_pressure
normale_weltspannung->normale_weltspannung,100,108,gemischte_rohwelt,gemischte_rohwelt:99;bewegungsreiche_rohwelt:9,-0.101785,0.141906,0.274072,0.418503,0.668684,0.105491
normale_weltspannung->normale_weltspannung,200,83,gemischte_rohwelt,gemischte_rohwelt:70;bewegungsreiche_rohwelt:13,-0.037454,0.125735,0.243222,0.414513,0.668686,0.104768
normale_weltspannung->normale_weltspannung,400,64,gemischte_rohwelt,gemischte_rohwelt:37;bewegungsreiche_rohwelt:27,0.076312,0.135529,0.261948,0.41718,0.666278,0.10548
offen_suchend->offen_suchend,100,64,gemischte_rohwelt,gemischte_rohwelt:45;bewegungsreiche_rohwelt:19,-0.982124,0.242794,0.470276,0.414363,0.630778,0.106363
offen_suchend->normale_weltspannung,100,59,gemischte_rohwelt,gemischte_rohwelt:51;bewegungsreiche_rohwelt:8,0.416886,0.152063,0.301502,0.40282,0.659403,0.102504
normale_weltspannung->offen_suchend,100,49,gemischte_rohwelt,gemischte_rohwelt:40;bewegungsreiche_rohwelt:9,-0.004941,0.187761,0.359959,0.421958,0.633414,0.107937
randlastige_sinneslage->normale_weltspannung,100,42,gemischte_rohwelt,gemischte_rohwelt:38;bewegungsreiche_rohwelt:4,0.310478,0.151949,0.301098,0.409663,0.66811,0.103647
randlastige_sinneslage->offen_suchend,100,40,gemischte_rohwelt,gemischte_rohwelt:27;bewegungsreiche_rohwelt:13,0.332946,0.284828,0.563893,0.411478,0.622395,0.106018
ruhig_zentrumsnah->normale_weltspannung,100,39,gemischte_rohwelt,gemischte_rohwelt:35;bewegungsreiche_rohwelt:4,-0.140999,0.114614,0.221842,0.418335,0.6727,0.105791
offen_suchend->offen_suchend,200,37,gemischte_rohwelt,gemischte_rohwelt:21;bewegungsreiche_rohwelt:16,-0.660058,0.25766,0.499931,0.410894,0.630372,0.105544
normale_weltspannung->lauter_feldkontakt,100,33,gemischte_rohwelt,gemischte_rohwelt:20;laute_oder_druckvolle_rohwelt:7;bewegungsreiche_rohwelt:6,-0.830056,0.138289,0.257385,0.48816,0.662412,0.121028
lauter_feldkontakt->normale_weltspannung,100,30,gemischte_rohwelt,gemischte_rohwelt:28;bewegungsreiche_rohwelt:2,0.447812,0.117391,0.225002,0.422039,0.670017,0.106573
offen_suchend->normale_weltspannung,200,30,gemischte_rohwelt,gemischte_rohwelt:21;bewegungsreiche_rohwelt:9,0.974767,0.156212,0.304,0.410427,0.659986,0.104033
offen_suchend->offen_suchend,400,29,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:16;gemischte_rohwelt:13,-0.077394,0.256111,0.498454,0.420067,0.63091,0.107406
normale_weltspannung->offen_suchend,200,25,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:16;gemischte_rohwelt:9,-0.97736,0.210685,0.400026,0.426117,0.640844,0.108405
randlastige_sinneslage->offen_suchend,200,23,gemischte_rohwelt,gemischte_rohwelt:15;bewegungsreiche_rohwelt:8,-0.349728,0.238802,0.475887,0.414108,0.634312,0.10592
normale_weltspannung->lauter_feldkontakt,200,17,gemischte_rohwelt,gemischte_rohwelt:12;bewegungsreiche_rohwelt:3;laute_oder_druckvolle_rohwelt:2,-1.164552,0.12908,0.23881,0.478205,0.65923,0.11878
offen_suchend->normale_weltspannung,400,17,gemischte_rohwelt,gemischte_rohwelt:13;bewegungsreiche_rohwelt:4,1.25668,0.135125,0.262231,0.407342,0.663231,0.103227
randlastige_sinneslage->normale_weltspannung,200,17,gemischte_rohwelt,gemischte_rohwelt:12;bewegungsreiche_rohwelt:5,0.716786,0.140561,0.281589,0.41458,0.662615,0.104903
ruhig_zentrumsnah->normale_weltspannung,200,17,gemischte_rohwelt,gemischte_rohwelt:13;bewegungsreiche_rohwelt:4,-0.443444,0.114016,0.215806,0.429067,0.670463,0.109057
lauter_feldkontakt->lauter_feldkontakt,100,15,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt:7;gemischte_rohwelt:6;bewegungsreiche_rohwelt:2,0.021712,0.116948,0.214877,0.507874,0.667526,0.125434
normale_weltspannung->offen_suchend,400,15,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:10;gemischte_rohwelt:5,-0.820123,0.222272,0.423142,0.429435,0.636894,0.108986
offen_suchend->lauter_feldkontakt,100,13,gemischte_rohwelt,gemischte_rohwelt:8;bewegungsreiche_rohwelt:4;laute_oder_druckvolle_rohwelt:1,1.230549,0.190457,0.356051,0.485212,0.638605,0.120492
lauter_feldkontakt->offen_suchend,100,12,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:6;gemischte_rohwelt:6,1.0478,0.266887,0.517394,0.401832,0.627998,0.104029
ruhig_zentrumsnah->normale_weltspannung,400,10,gemischte_rohwelt,gemischte_rohwelt:6;bewegungsreiche_rohwelt:4,-3.473926,0.104499,0.207061,0.400062,0.665575,0.103245
ruhig_zentrumsnah->offen_suchend,100,10,gemischte_rohwelt,gemischte_rohwelt:6;bewegungsreiche_rohwelt:4,-1.749172,0.189511,0.35513,0.442616,0.65794,0.111087
lauter_feldkontakt->normale_weltspannung,200,9,gemischte_rohwelt,gemischte_rohwelt:7;bewegungsreiche_rohwelt:2,0.94389,0.140841,0.274515,0.423961,0.664932,0.106905
lauter_feldkontakt->offen_suchend,200,8,gemischte_rohwelt,gemischte_rohwelt:6;bewegungsreiche_rohwelt:2,0.238482,0.203137,0.384786,0.412153,0.638494,0.105122
randlastige_sinneslage->offen_suchend,400,8,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:5;gemischte_rohwelt:3,-2.295855,0.257207,0.511351,0.414881,0.631637,0.106187
lauter_feldkontakt->lauter_feldkontakt,200,7,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt:4;bewegungsreiche_rohwelt:2;gemischte_rohwelt:1,-0.413802,0.087517,0.164848,0.520667,0.67317,0.128833
normale_weltspannung->lauter_feldkontakt,400,7,gemischte_rohwelt,gemischte_rohwelt:5;bewegungsreiche_rohwelt:2,-0.808454,0.11286,0.208475,0.473983,0.670774,0.117758
ruhig_zentrumsnah->offen_suchend,200,5,gemischte_rohwelt,gemischte_rohwelt:4;bewegungsreiche_rohwelt:1,-1.384087,0.110341,0.210436,0.419772,0.64759,0.108096
lauter_feldkontakt->normale_weltspannung,400,4,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3;gemischte_rohwelt:1,2.363566,0.185564,0.359229,0.431779,0.664354,0.108482
randlastige_sinneslage->normale_weltspannung,400,4,gemischte_rohwelt,gemischte_rohwelt:3;bewegungsreiche_rohwelt:1,-2.9826,0.149421,0.300679,0.400975,0.663622,0.101691
randlastige_sinneslage->ueberstabil_mit_randreiz,200,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,2.097622,0.011205,1.199238,0.200045,0.825778,0.056772
randlastige_sinneslage->ueberstabil_mit_randreiz,400,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,8.18278,0.019815,0.705665,0.109563,0.833486,0.035385
lauter_feldkontakt->lauter_feldkontakt,400,2,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt:2,-0.356658,0.034372,0.05584,0.556867,0.67532,0.137483
lauter_feldkontakt->offen_suchend,400,2,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1;gemischte_rohwelt:1,-1.561913,0.192235,0.361523,0.434801,0.648431,0.10978
offen_suchend->lauter_feldkontakt,200,2,gemischte_rohwelt,gemischte_rohwelt:2,0.498412,0.180188,0.349462,0.463802,0.63117,0.116314
ruhig_zentrumsnah->offen_suchend,400,2,gemischte_rohwelt,gemischte_rohwelt:2,-0.14439,0.083971,0.155142,0.446553,0.653949,0.113765
randlastige_sinneslage->ueberstabil_mit_randreiz,100,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-0.228494,0.002288,2.185988,0.309854,0.82412,0.08268
