welt,testwelt,top_symbol,top_count,dio_1wdi_family,dio_0l7p_family,dio_14wj_family,episode_symbol,episode_carrier,stable_count,carried_unrest_count,avg_rekopplung_quality,avg_afterimage,focus_tone,observation_tone,stable_ratio,carried_unrest_ratio,deutung
1500,start_end_bridge,dio_0l7pvdk,189,0,378,172,dio_mcm_episode_0ko7wqc,dio_0l7p,1090,104,0.718079,0.343753,1059,135,0.912898,0.087102,fokussierte_randnaehe_bleibt_dominant
1501,ref_shifted_transition,dio_1wdik71,176,352,140,0,dio_mcm_episode_0bio6c8,dio_1wdi,1030,164,0.717470,0.408138,928,266,0.862647,0.137353,nachhallender_randbruch_uebernimmt_uebergang
1502,full_mosaic,dio_0l7pvdk,134,188,268,130,dio_mcm_episode_0dgle71,dio_0l7p,1041,153,0.716543,0.366565,989,205,0.871859,0.128141,alle_drei_randrollen_koexistieren
