row_type,sources,real_family_observations,families,asset_family_pairs,profile_states,dominant_qualities,family,appearances,asset_count,window_count,dominant_attachment_quality,dominant_attachment_count,second_attachment_quality,second_attachment_count,attachment_quality_gap,attachment_profile_state,attachment_profile,dominant_family_reading,family_reading_profile,dominant_role,role_profile,asset_profile,mean_total_count,mean_phase_presence,mean_afterimage_delta,mean_temporal_delta,mean_strain_delta,mean_field_edge_score,asset,source_report,window_start,family_reading,total_count,phase_presence,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,attachment_quality,attachment_source_reading,source_edge,kern_edge,afterimage_edge,temporal_edge,field_edge_score
summary,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv; docs\befunde\1848_ANSCHLUSSQUALITAET_NEUE_FENSTER.csv,720,53,207,familienanschluss_deutlich:36; familienanschluss_leicht:8; familienanschluss_offen_gemischt:8; einzelbeleg:1,offen_gemischt:47; kernnah:4; nullnah:1; kernnah_ohne_feldzeit:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_attachment_summary,,,,,,,dio_104t,20,5,20,offen_gemischt,8,kernnah,5,3,familienanschluss_deutlich,offen_gemischt:8; kernnah:5; kernnah_ohne_feldzeit:3; nullnah:2; nachhallnah_ohne_kern:1; anschlussnah:1,anschlussfaehige_oberflaeche,anschlussfaehige_oberflaeche:20,field_stabil,field_stabil:20,BTC:4; SOL:4; DOGE:4; PAXG:4; XRP:4,612.35,3.0,0.057817,0.032091,0.001688,0.019506,,,,,,,,,,,,,,,,
family_attachment_summary,,,,,,,dio_155c,20,5,20,offen_gemischt,8,kernnah,5,3,familienanschluss_deutlich,offen_gemischt:8; kernnah:5; kernnah_ohne_feldzeit:3; nullnah:2; nachhallnah_ohne_kern:1; anschlussnah:1,anschlussfaehige_oberflaeche,anschlussfaehige_oberflaeche:20,field_stabil,field_stabil:20,BTC:4; SOL:4; DOGE:4; PAXG:4; XRP:4,413.3,3.0,0.080007,0.044108,0.002328,0.019506,,,,,,,,,,,,,,,,
family_attachment_summary,,,,,,,dio_0l7p,20,5,20,offen_gemischt,8,kernnah,5,3,familienanschluss_deutlich,offen_gemischt:8; kernnah:5; kernnah_ohne_feldzeit:3; nullnah:2; nachhallnah_ohne_kern:1; anschlussnah:1,anschlussfaehige_oberflaeche,anschlussfaehige_oberflaeche:19; brueckenfamilie_wird_staerker:1,field_stabil,field_stabil:20,BTC:4; SOL:4; DOGE:4; PAXG:4; XRP:4,373.25,3.0,0.09286,0.049414,0.003169,0.019506,,,,,,,,,,,,,,,,
family_attachment_summary,,,,,,,dio_0m9z,20,5,20,offen_gemischt,8,kernnah,5,3,familienanschluss_deutlich,offen_gemischt:8; kernnah:5; kernnah_ohne_feldzeit:3; nullnah:2; nachhallnah_ohne_kern:1; anschlussnah:1,anschlussfaehige_oberflaeche,anschlussfaehige_oberflaeche:20,field_stabil,field_stabil:20,BTC:4; SOL:4; DOGE:4; PAXG:4; XRP:4,356.3,3.0,0.095641,0.050832,0.003015,0.019506,,,,,,,,,,,,,,,,
family_attachment_summary,,,,,,,dio_14wj,20,5,20,offen_gemischt,8,kernnah,5,3,familienanschluss_deutlich,offen_gemischt:8; kernnah:5; kernnah_ohne_feldzeit:3; nullnah:2; nachhallnah_ohne_kern:1; anschlussnah:1,anschlussfaehige_oberflaeche,anschlussfaehige_oberflaeche:18; kernfamilie_mit_feldzeitverdichtung:2,field_stabil,field_stabil:20,BTC:4; SOL:4; DOGE:4; PAXG:4; XRP:4,280.4,3.0,0.13165,0.068459,0.004103,0.019506,,,,,,,,,,,,,,,,
family_attachment_summary,,,,,,,dio_0h9h,20,5,20,offen_gemischt,8,kernnah,5,3,familienanschluss_deutlich,offen_gemischt:8; kernnah:5; kernnah_ohne_feldzeit:3; nullnah:2; nachhallnah_ohne_kern:1; anschlussnah:1,anschlussfaehige_oberflaeche,anschlussfaehige_oberflaeche:20,field_stabil,field_stabil:20,BTC:4; SOL:4; DOGE:4; PAXG:4; XRP:4,247.9,3.0,0.129311,0.066374,0.004646,0.019506,,,,,,,,,,,,,,,,
family_attachment_summary,,,,,,,dio_00ly,20,5,20,offen_gemischt,8,kernnah,5,3,familienanschluss_deutlich,offen_gemischt:8; kernnah:5; kernnah_ohne_feldzeit:3; nullnah:2; nachhallnah_ohne_kern:1; anschlussnah:1,anschlussfaehige_oberflaeche,anschlussfaehige_oberflaeche:16; kernfamilie_mit_feldzeitverdichtung:4,field_stabil,field_stabil:20,BTC:4; SOL:4; DOGE:4; PAXG:4; XRP:4,159.05,3.0,0.183497,0.089716,0.006248,0.019506,,,,,,,,,,,,,,,,
family_attachment_summary,,,,,,,dio_1lsu,20,5,20,offen_gemischt,8,kernnah,5,3,familienanschluss_deutlich,offen_gemischt:8; kernnah:5; kernnah_ohne_feldzeit:3; nullnah:2; nachhallnah_ohne_kern:1; anschlussnah:1,anschlussfaehige_oberflaeche,anschlussfaehige_oberflaeche:11; kernfamilie_mit_feldzeitverdichtung:9,field_stabil,field_stabil:20,BTC:4; SOL:4; DOGE:4; PAXG:4; XRP:4,142.65,3.0,0.208709,0.104153,0.00671,0.019506,,,,,,,,,,,,,,,,
family_attachment_summary,,,,,,,dio_0oc3,20,5,20,offen_gemischt,8,kernnah,5,3,familienanschluss_deutlich,offen_gemischt:8; kernnah:5; kernnah_ohne_feldzeit:3; nullnah:2; nachhallnah_ohne_kern:1; anschlussnah:1,kernfamilie_mit_feldzeitverdichtung,kernfamilie_mit_feldzeitverdichtung:12; anschlussfaehige_oberflaeche:8,field_stabil,field_stabil:20,BTC:4; SOL:4; DOGE:4; PAXG:4; XRP:4,132.95,3.0,0.207121,0.103103,0.006227,0.019506,,,,,,,,,,,,,,,,
