token,contacts,worlds,world_profile,dominant_prev,dominant_prev_count,dominant_next,dominant_next_count,dominant_pair,dominant_pair_count,current_role_profile,neighbor_role_profile,self_prev_share,self_next_share,rekopplung_delta_next,strain_delta_next,loudness_delta_next,blur_delta_next,tension_delta_next
dio_mcm_episode_00i7zy5,4,4,DOGE_2024_5M:1; KAS_2024_5M:1; PAXG_2024_5M:1; SOL_2024_5M:1,dio_mcm_episode_1yzsm16,2,dio_mcm_episode_0393v08,2,dio_mcm_episode_1yzsm16->dio_mcm_episode_0u69u6w,1,zentrum_stabil:4,zentrum_stabil:7,0.0,0.0,0.006241000000000024,-0.008185749999999999,-0.018684999999999993,0.042464249999999995,-0.0104425
dio_mcm_episode_00yl137,4,3,XRP_2024_5M:2; BTC_2024_5M:1; XRP_2025_5M:1,dio_mcm_episode_00er6t0,1,dio_mcm_episode_0ultars,1,dio_mcm_episode_00er6t0->dio_mcm_episode_0ultars,1,zentrum_stabil:3; spannungsrand_kippnaehe:1,offene_variante:5; zentrum_stabil:3,0.25,0.25,-0.0002307500000000018,0.0026365,-0.08845525,0.17179275000000002,-0.027023000000000005
dio_mcm_episode_02ujuqf,9,3,PAXG_2025_5M:3; XRP_2024_5M:3; XRP_2025_5M:3,dio_mcm_episode_02ujuqf,6,dio_mcm_episode_02ujuqf,6,dio_mcm_episode_02ujuqf->dio_mcm_episode_02ujuqf,3,zentrum_stabil:8; offene_variante:1,zentrum_stabil:16; offene_variante:2,0.6666666666666666,0.6666666666666666,-0.0008452222222222256,0.0001754444444444426,0.017833,-0.009889555555555565,0.008624666666666664
dio_mcm_episode_08ubq99,1,1,PAXG_2025_5M:1,dio_mcm_episode_05lquqm,1,dio_mcm_episode_0jatqr8,1,dio_mcm_episode_05lquqm->dio_mcm_episode_0jatqr8,1,zentrum_stabil:1,zentrum_stabil:2,0.0,0.0,-0.010610000000000008,-0.03772500000000001,-0.16210399999999997,-0.04028200000000004,-0.075433
dio_mcm_episode_0ag2osp,6,4,PAXG_2025_5M:3; DOGE_2024_5M:1; XRP_2024_5M:1; XRP_2025_5M:1,dio_mcm_episode_1bnkysm,1,dio_mcm_episode_05lquqm,1,dio_mcm_episode_1bnkysm->dio_mcm_episode_05lquqm,1,zentrum_stabil:5; offene_variante:1,zentrum_stabil:7; offene_variante:5,0.0,0.0,0.0022733333333333308,-0.003226166666666678,-0.06334100000000001,-0.03732133333333334,-0.028090666666666667
dio_mcm_episode_0aztxel,9,3,DOGE_2025_5M:4; XRP_2025_5M:4; SOL_2024_5M:1,dio_mcm_episode_0aztxel,4,dio_mcm_episode_0aztxel,4,dio_mcm_episode_0aztxel->dio_mcm_episode_0hjnwsk,3,zentrum_stabil:9,zentrum_stabil:15; offene_variante:3,0.4444444444444444,0.4444444444444444,-0.008143000000000023,0.0029661111111111077,-0.0005449999999999946,0.011127000000000001,0.0013413333333333348
dio_mcm_episode_0cvptbz,6,2,DOGE_2024_5M:3; PAXG_2025_5M:3,dio_mcm_episode_0cvptbz,4,dio_mcm_episode_0cvptbz,4,dio_mcm_episode_0cvptbz->dio_mcm_episode_0cvptbz,2,zentrum_stabil:4; offene_variante:2,zentrum_stabil:9; offene_variante:3,0.6666666666666666,0.6666666666666666,0.004613499999999993,-0.0038109999999999997,-0.0204975,0.011228499999999994,-0.008468999999999999
dio_mcm_episode_0i5xsu7,1,1,DOGE_2025_5M:1,dio_mcm_episode_0ixmssr,1,dio_mcm_episode_0pfredm,1,dio_mcm_episode_0ixmssr->dio_mcm_episode_0pfredm,1,offene_variante:1,zentrum_stabil:2,0.0,0.0,0.035486999999999935,-0.05487800000000001,-0.352129,0.05873700000000004,-0.135029
dio_mcm_episode_0i8oyce,4,2,PAXG_2025_5M:3; DOGE_2024_5M:1,dio_mcm_episode_079228h,1,dio_mcm_episode_079228h,1,dio_mcm_episode_079228h->dio_mcm_episode_079228h,1,zentrum_stabil:2; offene_variante:2,zentrum_stabil:6; offene_variante:2,0.25,0.25,0.02017475000000002,-0.019080750000000007,-0.030479749999999996,-0.022270499999999985,-0.013672499999999997
dio_mcm_episode_0iiok1d,1,1,PAXG_2025_5M:1,dio_mcm_episode_0a6333q,1,dio_mcm_episode_0i8oyce,1,dio_mcm_episode_0a6333q->dio_mcm_episode_0i8oyce,1,zentrum_stabil:1,offene_variante:2,0.0,0.0,-0.01875300000000002,0.021161999999999986,-0.103175,0.350588,-0.03379599999999999
dio_mcm_episode_0khjbll,2,2,DOGE_2025_5M:1; XRP_2025_5M:1,dio_mcm_episode_1yzsm16,1,dio_mcm_episode_13lt69z,1,dio_mcm_episode_1yzsm16->dio_mcm_episode_13lt69z,1,zentrum_stabil:2,zentrum_stabil:4,0.0,0.0,0.011833500000000052,-0.008081500000000005,0.051429,0.008787500000000004,0.022622500000000004
