world,episodes,open_share,target_count,target_share,target_share_of_open,target_symbol_variants,target_top_symbol,top_preview,target_center,target_open,target_rand,target_rekopplung,target_strain,target_sensory,target_visual_gap,target_hearing_gap
SIDEWAYS_2024,994,0.157948,570,0.573441,0.573248,556,dio_1qu0 (3/570),dio_mcm_episode_1t5bcxp (570/994),469,90,11,0.641440,0.195732,0.864694,0.094410,0.095475
SIDEWAYS_2026,994,0.149899,545,0.548290,0.322148,507,dio_1f1f (3/545),dio_mcm_episode_1t5bcxp (545/994),492,48,5,0.648947,0.182402,0.874994,0.081118,0.086252
NEG_STRESS_2023,994,0.126761,784,0.788732,0.825397,745,dio_03wz (3/784),dio_mcm_episode_1t5bcxp (784/994),662,104,18,0.644472,0.190498,0.868159,0.090712,0.089595
NEG_STRESS_2024,994,0.175050,633,0.636821,0.517241,603,dio_04xg (2/633),dio_mcm_episode_1t5bcxp (633/994),533,90,10,0.644744,0.189673,0.868622,0.087924,0.092475
POS_EXP_2023,994,0.148893,603,0.606640,0.567568,573,dio_0gkr (3/603),dio_mcm_episode_1t5bcxp (603/994),505,84,14,0.644593,0.191379,0.868376,0.089659,0.089377
EXT_EXP_2023,994,0.148893,540,0.543260,0.614865,522,dio_0c4b (4/540),dio_mcm_episode_1t5bcxp (540/994),424,91,25,0.643063,0.195160,0.864547,0.093208,0.097060
SOL_2024_5M,1994,0.139418,1692,0.848546,0.758993,1536,dio_0odo (6/1692),dio_mcm_episode_1t5bcxp (1692/1994),1432,211,49,0.645086,0.190935,0.867766,0.090059,0.093428
SOL_2024_1H,1994,0.158475,1443,0.723671,0.768987,1345,dio_0xvr (6/1443),dio_mcm_episode_1t5bcxp (1443/1994),1167,243,33,0.643534,0.192071,0.866096,0.090338,0.096357
BTC_2024_5M,1994,0.137914,799,0.400702,0.360000,747,dio_0dgl (3/799),dio_mcm_episode_1t5bcxp (799/1994),682,99,18,0.647614,0.186746,0.870401,0.086793,0.090641
BTC_2024_1H,1994,0.133902,977,0.489970,0.520599,906,dio_0zn5 (4/977),dio_mcm_episode_1t5bcxp (977/1994),813,139,25,0.646446,0.188385,0.868765,0.088514,0.093440
KAS_2024_5M,1994,0.158475,1162,0.582748,0.626582,1097,dio_04xs (4/1162),dio_mcm_episode_1t5bcxp (1162/1994),941,198,23,0.644700,0.192125,0.866045,0.090553,0.095512
KAS_2024_1H,1994,0.153460,1647,0.825978,0.787582,1511,dio_04xs (5/1647),dio_mcm_episode_1t5bcxp (1647/1994),1361,241,45,0.644277,0.191064,0.867478,0.089027,0.094353
