token,short_token,anchor_class,total_weight,max_world_span,weighted_duration,edge_count,outside_bridge_edges,bridge_to_bridge_edges,bidirectional_neighbors,incoming_neighbors,outgoing_neighbors,path_class,movement,base_zone,follow_zone,base_role,follow_role,dominant_edge_kind,edge_kind_profile,dominant_exit_phase,phase_profile,relation_profile,in_known_core_pair,known_core_pairs
dio_mcm_episode_0e7qvj1,0e7qvj1,brueckenkern,270,6,126.000000,29,17,12,6,8,15,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:12; bruecke_zu_aussen:12; aussen_zu_bruecke:5,oeffnend_belastender_austritt,oeffnend_belastender_austritt:19; rekoppelnder_austritt:6; gemischter_austritt:4,austritt:18; eintritt:11,1,3
dio_mcm_episode_0b7nep9,0b7nep9,brueckenkern,228,4,85.149123,19,15,4,5,8,9,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:8; aussen_zu_bruecke:7; bruecke_zu_bruecke:4,rekoppelnder_austritt,rekoppelnder_austritt:11; oeffnend_belastender_austritt:7; gemischter_austritt:1,austritt:10; eintritt:9,1,1
dio_mcm_episode_0ykar6i,0ykar6i,brueckenkern,215,4,71.018605,10,6,4,3,4,4,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; aussen_zu_bruecke:3; bruecke_zu_aussen:3,oeffnend_belastender_austritt,oeffnend_belastender_austritt:5; rekoppelnder_austritt:4; gemischter_austritt:1,austritt:5; eintritt:5,1,1
dio_mcm_episode_18l3thm,18l3thm,brueckenkern,171,6,55.426901,12,4,8,3,4,4,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:8; bruecke_zu_aussen:2; aussen_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:5; gemischter_austritt:4; rekoppelnder_austritt:3,austritt:6; eintritt:6,1,2
dio_mcm_episode_0mji3u6,0mji3u6,brueckenkern,97,6,94.061856,8,2,6,1,4,1,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:6; aussen_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:4; oeffnend_belastender_austritt:3; gemischter_austritt:1,eintritt:5; austritt:3,1,2
dio_mcm_episode_14l8khu,14l8khu,brueckenkern,71,3,63.661972,9,1,8,2,2,3,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:8; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:6; rekoppelnder_austritt:3,austritt:5; eintritt:4,1,2
dio_mcm_episode_14coypf,14coypf,brueckenkern,70,3,88.871429,20,8,12,5,5,9,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:12; bruecke_zu_aussen:6; aussen_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:13; rekoppelnder_austritt:5; gemischter_austritt:2,austritt:12; eintritt:8,1,3
dio_mcm_episode_0v5p8er,0v5p8er,brueckenkern,54,3,94.629630,9,5,4,3,4,3,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; aussen_zu_bruecke:3; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:6; rekoppelnder_austritt:2; gemischter_austritt:1,eintritt:5; austritt:4,1,1
dio_mcm_episode_18n06fj,18n06fj,brueckenkern,38,5,4.789474,6,2,4,0,3,1,brueckenpfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; aussen_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:3; oeffnend_belastender_austritt:3,eintritt:4; austritt:2,1,2
dio_mcm_episode_0jbl5pq,0jbl5pq,brueckenkern,32,6,2.500000,11,7,4,1,6,3,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:5; bruecke_zu_bruecke:4; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:5; rekoppelnder_austritt:4; gemischter_austritt:2,eintritt:7; austritt:4,1,2
