preview_symbol,shift_class,state_path,function_path,role_backread,depth_path,depth_range,old_real_worlds,old_real_assets,old_real_segments,old_real_top_asset,old_real_top_asset_share,old_real_top_segment,old_real_top_segment_share,long_btc_sol_worlds,long_btc_sol_assets,long_btc_sol_segments,long_btc_sol_top_asset,long_btc_sol_top_asset_share,long_btc_sol_top_segment,long_btc_sol_top_segment_share,multiasset_worlds,multiasset_assets,multiasset_segments,multiasset_top_asset,multiasset_top_asset_share,multiasset_top_segment,multiasset_top_segment_share
dio_mcm_episode_0wyfujk,zustand_und_funktion_verschoben,young_field_phase -> positive_recoupling_field_phase -> positive_recoupling_field_phase,active_recoupling -> milieu_island -> active_recoupling,lange_btc_sol_welt_verdichtet_kurz_zu_milieu,0.555413 -> 0.774429 -> 0.772823,0.219016,FPSIG_DOGE_REAL_6000:1;FPSIG_SOL_QUIET_6000:1,DOGE:1;SOL:1,real:1;quiet:1,DOGE,0.5,real,0.5,FPSIG_LONG_REAL_BTC_0_17K:9;FPSIG_LONG_REAL_SOL_0_17K:4;FPSIG_LONG_REAL_BTC_34K_51K:3;FPSIG_LONG_REAL_SOL_17K_34K:3;FPSIG_LONG_REAL_BTC_17K_34K:2;FPSIG_LONG_REAL_SOL_34K_51K:2,BTC:14;SOL:9,17K:13;34K_51K:5;17K_34K:5,BTC,0.6086956521739131,17K,0.5652173913043478,FPSIG_MULTI_REAL_DOGE_6K_16K:9;FPSIG_MULTI_REAL_PAXG_6K_16K:8;FPSIG_MULTI_REAL_XRP_6K_16K:4;FPSIG_MULTI_REAL_PAXG_0_10K:3;FPSIG_MULTI_REAL_DOGE_0_10K:2;FPSIG_MULTI_REAL_XRP_0_10K:2,DOGE:11;PAXG:11;XRP:6,6K_16K:21;10K:7,DOGE,0.39285714285714285,6K_16K,0.75
dio_mcm_episode_0bb4ews,zustand_und_funktion_verschoben,young_field_phase -> stable_crossworld_field_phase -> positive_recoupling_field_phase,milieu_island -> active_recoupling -> milieu_island,weltkoerper_wechsel_schiebt_zwischen_milieu_und_rekopplung,0.553812 -> 0.749969 -> 0.692311,0.19615700000000003,FPSIG_DOGE_REAL_6000:2;FPSIG_BTC_STRESS_4000:1,DOGE:2;BTC:1,real:2;stress:1,DOGE,0.6666666666666666,real,0.6666666666666666,FPSIG_LONG_REAL_SOL_0_17K:6;FPSIG_LONG_REAL_BTC_0_17K:4;FPSIG_LONG_REAL_BTC_17K_34K:3;FPSIG_LONG_REAL_BTC_34K_51K:3;FPSIG_LONG_REAL_SOL_34K_51K:3;FPSIG_LONG_REAL_SOL_17K_34K:1,SOL:10;BTC:10,17K:10;34K_51K:6;17K_34K:4,SOL,0.5,17K,0.5,FPSIG_MULTI_REAL_DOGE_6K_16K:4;FPSIG_MULTI_REAL_XRP_0_10K:2;FPSIG_MULTI_REAL_DOGE_0_10K:1;FPSIG_MULTI_REAL_PAXG_0_10K:1;FPSIG_MULTI_REAL_XRP_6K_16K:1,DOGE:5;XRP:3;PAXG:1,6K_16K:5;10K:4,DOGE,0.5555555555555556,6K_16K,0.5555555555555556
dio_mcm_episode_16hqn22,zustand_und_funktion_verschoben,positive_recoupling_field_phase -> stable_crossworld_field_phase -> stable_crossworld_field_phase,milieu_island -> active_recoupling -> active_recoupling,breitere_realwelt_rekoppelt_fruehes_milieu_aktiv,0.595121 -> 0.790683 -> 0.788673,0.195562,FPSIG_SOL_EXPANSION_6000:3;FPSIG_DOGE_REAL_6000:1,SOL:3;DOGE:1,expansion:3;real:1,SOL,0.75,expansion,0.75,FPSIG_LONG_REAL_BTC_0_17K:16;FPSIG_LONG_REAL_SOL_0_17K:16;FPSIG_LONG_REAL_BTC_17K_34K:13;FPSIG_LONG_REAL_BTC_34K_51K:13;FPSIG_LONG_REAL_SOL_17K_34K:8;FPSIG_LONG_REAL_SOL_34K_51K:8,BTC:42;SOL:32,17K:32;17K_34K:21;34K_51K:21,BTC,0.5675675675675675,17K,0.43243243243243246,FPSIG_MULTI_REAL_DOGE_0_10K:14;FPSIG_MULTI_REAL_DOGE_6K_16K:13;FPSIG_MULTI_REAL_XRP_0_10K:9;FPSIG_MULTI_REAL_PAXG_0_10K:8;FPSIG_MULTI_REAL_XRP_6K_16K:8;FPSIG_MULTI_REAL_PAXG_6K_16K:7,DOGE:27;XRP:17;PAXG:15,10K:31;6K_16K:28,DOGE,0.4576271186440678,10K,0.5254237288135594
dio_mcm_episode_1y7uo9c,zustand_und_funktion_verschoben,young_field_phase -> stable_crossworld_field_phase -> stable_crossworld_field_phase,open_surface -> active_recoupling -> active_recoupling,offene_oberflaeche_wird_bei_mehr_weltkontakt_rekoppelnd,0.552232 -> 0.707892 -> 0.723190,0.17095800000000005,FPSIG_PAXG_1H_1000:1;FPSIG_SOL_EXPANSION_6000:1,PAXG:1;SOL:1,1h:1;expansion:1,PAXG,0.5,1h,0.5,FPSIG_LONG_REAL_BTC_17K_34K:6;FPSIG_LONG_REAL_SOL_17K_34K:5;FPSIG_LONG_REAL_SOL_0_17K:4;FPSIG_LONG_REAL_BTC_0_17K:3;FPSIG_LONG_REAL_BTC_34K_51K:1;FPSIG_LONG_REAL_SOL_34K_51K:1,BTC:10;SOL:10,17K_34K:11;17K:7;34K_51K:2,BTC,0.5,17K_34K,0.55,FPSIG_MULTI_REAL_DOGE_6K_16K:8;FPSIG_MULTI_REAL_DOGE_0_10K:5;FPSIG_MULTI_REAL_XRP_6K_16K:4;FPSIG_MULTI_REAL_PAXG_0_10K:3;FPSIG_MULTI_REAL_PAXG_6K_16K:3;FPSIG_MULTI_REAL_XRP_0_10K:2,DOGE:13;XRP:6;PAXG:6,6K_16K:15;10K:10,DOGE,0.52,6K_16K,0.6
dio_mcm_episode_16yidit,zustand_und_funktion_verschoben,positive_recoupling_field_phase -> stable_crossworld_field_phase -> stable_crossworld_field_phase,open_surface -> active_recoupling -> active_recoupling,offene_oberflaeche_wird_bei_mehr_weltkontakt_rekoppelnd,0.601437 -> 0.700000 -> 0.678722,0.09856299999999996,FPSIG_DOGE_REAL_6000:2;FPSIG_BTC_1H_1000:1;FPSIG_DOGE_5M_1000:1;FPSIG_SOL_EXPANSION_6000:1,DOGE:3;BTC:1;SOL:1,real:2;1h:1;5m:1;expansion:1,DOGE,0.6,real,0.4,FPSIG_LONG_REAL_SOL_0_17K:6;FPSIG_LONG_REAL_BTC_17K_34K:4;FPSIG_LONG_REAL_BTC_0_17K:3;FPSIG_LONG_REAL_SOL_17K_34K:3;FPSIG_LONG_REAL_SOL_34K_51K:3;FPSIG_LONG_REAL_BTC_34K_51K:2,SOL:12;BTC:9,17K:9;17K_34K:7;34K_51K:5,SOL,0.5714285714285714,17K,0.42857142857142855,FPSIG_MULTI_REAL_PAXG_6K_16K:4;FPSIG_MULTI_REAL_PAXG_0_10K:3;FPSIG_MULTI_REAL_DOGE_6K_16K:2;FPSIG_MULTI_REAL_XRP_0_10K:2;FPSIG_MULTI_REAL_XRP_6K_16K:2;FPSIG_MULTI_REAL_DOGE_0_10K:1,PAXG:7;XRP:4;DOGE:3,6K_16K:8;10K:6,PAXG,0.5,6K_16K,0.5714285714285714
dio_mcm_episode_0x60uui,funktion_verschoben,stable_crossworld_field_phase -> stable_crossworld_field_phase -> stable_crossworld_field_phase,open_surface -> open_surface -> active_recoupling,multiasset_welt_rekoppelt_offene_oberflaeche,0.628007 -> 0.697173 -> 0.702399,0.07439200000000001,FPSIG_DOGE_5M_1000:2;FPSIG_SOL_EXPANSION_6000:2;FPSIG_BTC_1H_1000:1;FPSIG_DOGE_REAL_6000:1;FPSIG_PAXG_1H_1000:1,DOGE:3;SOL:2;BTC:1;PAXG:1,5m:2;expansion:2;1h:2;real:1,DOGE,0.42857142857142855,5m,0.2857142857142857,FPSIG_LONG_REAL_BTC_0_17K:6;FPSIG_LONG_REAL_BTC_34K_51K:5;FPSIG_LONG_REAL_SOL_17K_34K:4;FPSIG_LONG_REAL_SOL_34K_51K:3;FPSIG_LONG_REAL_BTC_17K_34K:2;FPSIG_LONG_REAL_SOL_0_17K:2,BTC:13;SOL:9,17K:8;34K_51K:8;17K_34K:6,BTC,0.5909090909090909,17K,0.36363636363636365,FPSIG_MULTI_REAL_PAXG_0_10K:7;FPSIG_MULTI_REAL_XRP_0_10K:7;FPSIG_MULTI_REAL_DOGE_6K_16K:4;FPSIG_MULTI_REAL_XRP_6K_16K:3;FPSIG_MULTI_REAL_PAXG_6K_16K:2;FPSIG_MULTI_REAL_DOGE_0_10K:1,XRP:10;PAXG:9;DOGE:5,10K:15;6K_16K:9,XRP,0.4166666666666667,10K,0.625
dio_mcm_episode_0xg0gjh,funktion_verschoben,stable_crossworld_field_phase -> stable_crossworld_field_phase -> stable_crossworld_field_phase,active_recoupling -> open_surface -> open_surface,lange_und_multiasset_welt_oeffnen_rekopplung_als_oberflaeche,0.661977 -> 0.723947 -> 0.701940,0.06196999999999997,FPSIG_DOGE_REAL_6000:2;FPSIG_BTC_1H_1000:1;FPSIG_BTC_STRESS_4000:1;FPSIG_DOGE_5M_1000:1;FPSIG_PAXG_1H_1000:1;FPSIG_SOL_EXPANSION_6000:1,DOGE:3;SOL:3;BTC:2;PAXG:1,real:3;1h:2;stress:1;5m:1;expansion:1;quiet:1,DOGE,0.3333333333333333,real,0.3333333333333333,FPSIG_LONG_REAL_BTC_17K_34K:10;FPSIG_LONG_REAL_BTC_34K_51K:9;FPSIG_LONG_REAL_BTC_0_17K:8;FPSIG_LONG_REAL_SOL_0_17K:6;FPSIG_LONG_REAL_SOL_34K_51K:6;FPSIG_LONG_REAL_SOL_17K_34K:4,BTC:27;SOL:16,34K_51K:15;17K_34K:14;17K:14,BTC,0.627906976744186,34K_51K,0.3488372093023256,FPSIG_MULTI_REAL_DOGE_0_10K:7;FPSIG_MULTI_REAL_PAXG_6K_16K:5;FPSIG_MULTI_REAL_DOGE_6K_16K:4;FPSIG_MULTI_REAL_XRP_6K_16K:4;FPSIG_MULTI_REAL_PAXG_0_10K:3;FPSIG_MULTI_REAL_XRP_0_10K:2,DOGE:11;PAXG:8;XRP:6,6K_16K:13;10K:12,DOGE,0.44,6K_16K,0.52
dio_mcm_episode_0he6atw,funktion_verschoben,positive_recoupling_field_phase -> positive_recoupling_field_phase -> positive_recoupling_field_phase,milieu_island -> milieu_island -> active_recoupling,multiasset_welt_aktiviert_milieunahe_phase,0.673306 -> 0.714234 -> 0.718205,0.04489900000000002,FPSIG_SOL_EXPANSION_6000:5;FPSIG_SOL_REAL_1000:2;FPSIG_DOGE_REAL_6000:1,SOL:7;DOGE:1,expansion:5;real:3,SOL,0.875,expansion,0.625,FPSIG_LONG_REAL_BTC_0_17K:4;FPSIG_LONG_REAL_SOL_0_17K:3;FPSIG_LONG_REAL_SOL_17K_34K:2;FPSIG_LONG_REAL_BTC_34K_51K:1,BTC:5;SOL:5,17K:7;17K_34K:2;34K_51K:1,BTC,0.5,17K,0.7,FPSIG_MULTI_REAL_XRP_0_10K:6;FPSIG_MULTI_REAL_DOGE_0_10K:5;FPSIG_MULTI_REAL_PAXG_0_10K:4;FPSIG_MULTI_REAL_DOGE_6K_16K:3,DOGE:8;XRP:6;PAXG:4,10K:15;6K_16K:3,DOGE,0.4444444444444444,10K,0.8333333333333334
dio_mcm_episode_16bqw8k,funktion_verschoben,stable_crossworld_field_phase -> stable_crossworld_field_phase -> stable_crossworld_field_phase,active_recoupling -> open_surface -> open_surface,lange_und_multiasset_welt_oeffnen_rekopplung_als_oberflaeche,0.701787 -> 0.729200 -> 0.714535,0.02741299999999991,FPSIG_SOL_EXPANSION_6000:8;FPSIG_BTC_STRESS_4000:5;FPSIG_DOGE_REAL_6000:4;FPSIG_BTC_1H_1000:1;FPSIG_DOGE_5M_1000:1;FPSIG_PAXG_1H_1000:1,SOL:9;BTC:6;DOGE:5;PAXG:1,expansion:8;stress:5;real:4;1h:2;5m:1;quiet:1,SOL,0.42857142857142855,expansion,0.38095238095238093,FPSIG_LONG_REAL_SOL_17K_34K:14;FPSIG_LONG_REAL_BTC_17K_34K:13;FPSIG_LONG_REAL_BTC_0_17K:12;FPSIG_LONG_REAL_SOL_34K_51K:12;FPSIG_LONG_REAL_BTC_34K_51K:11;FPSIG_LONG_REAL_SOL_0_17K:7,BTC:36;SOL:33,17K_34K:27;34K_51K:23;17K:19,BTC,0.5217391304347826,17K_34K,0.391304347826087,FPSIG_MULTI_REAL_DOGE_6K_16K:8;FPSIG_MULTI_REAL_XRP_0_10K:8;FPSIG_MULTI_REAL_DOGE_0_10K:7;FPSIG_MULTI_REAL_PAXG_0_10K:7;FPSIG_MULTI_REAL_XRP_6K_16K:7;FPSIG_MULTI_REAL_PAXG_6K_16K:4,DOGE:15;XRP:15;PAXG:11,10K:22;6K_16K:19,DOGE,0.36585365853658536,10K,0.5365853658536586
dio_mcm_episode_1qlxgj7,funktion_verschoben,stable_crossworld_field_phase -> stable_crossworld_field_phase -> stable_crossworld_field_phase,active_recoupling -> active_recoupling -> milieu_island,multiasset_welt_bindet_rekopplung_zu_milieu,0.843927 -> 0.827115 -> 0.829085,0.016811999999999938,FPSIG_DOGE_REAL_6000:1029;FPSIG_SOL_EXPANSION_6000:534;FPSIG_DOGE_5M_1000:380;FPSIG_BTC_1H_1000:137;FPSIG_BTC_STRESS_4000:118;FPSIG_SOL_QUIET_6000:78,DOGE:1409;SOL:674;BTC:255;PAXG:63,real:1091;expansion:534;5m:380;1h:200;stress:118;quiet:78,DOGE,0.5868388171595169,real,0.4543940024989588,FPSIG_LONG_REAL_SOL_34K_51K:2639;FPSIG_LONG_REAL_BTC_34K_51K:2612;FPSIG_LONG_REAL_BTC_0_17K:2127;FPSIG_LONG_REAL_SOL_0_17K:2127;FPSIG_LONG_REAL_BTC_17K_34K:1907;FPSIG_LONG_REAL_SOL_17K_34K:1769,BTC:6646;SOL:6535,34K_51K:5251;17K:4254;17K_34K:3676,BTC,0.5042106061755557,34K_51K,0.39837645095212804,FPSIG_MULTI_REAL_DOGE_0_10K:2562;FPSIG_MULTI_REAL_DOGE_6K_16K:1826;FPSIG_MULTI_REAL_XRP_0_10K:1666;FPSIG_MULTI_REAL_PAXG_6K_16K:1602;FPSIG_MULTI_REAL_XRP_6K_16K:1588;FPSIG_MULTI_REAL_PAXG_0_10K:1365,DOGE:4388;XRP:3254;PAXG:2967,10K:5593;6K_16K:5016,DOGE,0.4136110849278914,10K,0.5271938919785089
