preview_family,total_count,center_share,open_share,rand_share,dominant_context,interpretation
dio_mcm_episode_1t5bcxp,18785,0.8090,0.1512,0.0398,alle_welten_breit_vorhanden,breiter_offener_oberflaechennaeher
dio_mcm_episode_183drjy,20421,0.8593,0.1100,0.0308,10k_welten_dominant,zentrumsnaeher_rekopplungsnaeher_langwelt_dominant
