holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
xrp2024,dio_0pyp,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0pyp93f:2,0.429338,0.21682,0.6438405
xrp2024,dio_0q3j,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0q3jckh:2,0.437647,0.2226305,0.6273765
xrp2024,dio_0qtf,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0qtfna5:2,0.38915299999999997,0.2314075,0.6247615
xrp2024,dio_0qtf,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0qtfna5:2,0.4311615,0.2069175,0.6489115000000001
xrp2024,dio_0qu8,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0qu8efg:2,0.403758,0.229994,0.616525
xrp2024,dio_0qu8,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0qu8efg:2,0.4504035,0.20630300000000001,0.641079
xrp2024,dio_0r9n,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0r9nldj:2,0.388695,0.251482,0.6034295000000001
xrp2024,dio_0rlw,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0rlw6zp:2,0.423597,0.183743,0.656937
xrp2024,dio_0sws,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0swsexl:2,0.40154,0.24108200000000002,0.6183455
xrp2024,dio_0t69,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0t69fbf:2,0.32724549999999997,0.329517,0.5610999999999999
xrp2024,dio_0tc2,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0tc2ezl:2,0.4505495,0.152197,0.674319
xrp2024,dio_0tq7,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0tq7utk:2,0.4274565,0.187501,0.65255
xrp2024,dio_0trm,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0trmxew:2,0.393868,0.222966,0.628548
xrp2024,dio_0tzb,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0tzbrmu:2,0.4184685,0.20065100000000002,0.6495305
xrp2024,dio_0u0b,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0u0bwjq:2,0.397733,0.2243545,0.6278615000000001
xrp2024,dio_0ua0,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0ua0zin:2,0.354827,0.279136,0.620498
xrp2024,dio_0una,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0unaitk:2,0.3727915,0.2713445,0.5949835
xrp2024,dio_0unz,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0unzh7l:2,0.368642,0.2910585,0.578898
