source,target,relation,edge_kind,count,worlds,duration_avg,exit_rekopplung_delta_avg,exit_strain_delta_avg,exit_phase
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,bruecke_zu_bruecke,23,5,42.347826,0.002303,-0.012668,rekoppelnder_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,eintritt,bruecke_zu_bruecke,23,5,47.217391,-0.038477,0.046915,oeffnend_belastender_austritt
dio_mcm_episode_18l3thm,dio_mcm_episode_0e7qvj1,eintritt,bruecke_zu_bruecke,19,5,237.736842,-0.036732,-0.012484,gemischter_austritt
dio_mcm_episode_18l3thm,dio_mcm_episode_0e7qvj1,austritt,bruecke_zu_bruecke,19,5,26.473684,-0.055124,0.068123,oeffnend_belastender_austritt
dio_mcm_episode_1jx2k4i,dio_mcm_episode_1joiyc3,eintritt,aussen_zu_bruecke,17,5,203.117647,-0.034954,-0.019077,gemischter_austritt
dio_mcm_episode_1joiyc3,dio_mcm_episode_1jx2k4i,austritt,bruecke_zu_aussen,16,5,58.875,0.015843,-0.022255,rekoppelnder_austritt
dio_mcm_episode_18l3thm,dio_mcm_episode_1q3us3f,austritt,bruecke_zu_aussen,15,3,69.066667,0.007023,-0.014804,rekoppelnder_austritt
dio_mcm_episode_1q3us3f,dio_mcm_episode_18l3thm,eintritt,aussen_zu_bruecke,11,2,41.181818,-0.005185,-0.000616,gemischter_austritt
dio_mcm_episode_0db07p4,dio_mcm_episode_1joiyc3,austritt,bruecke_zu_bruecke,11,5,19.727273,0.037903,-0.045612,rekoppelnder_austritt
dio_mcm_episode_0db07p4,dio_mcm_episode_1joiyc3,eintritt,bruecke_zu_bruecke,11,5,190.0,-0.059079,0.073915,oeffnend_belastender_austritt
dio_mcm_episode_0mji3u6,dio_mcm_episode_0e7qvj1,eintritt,bruecke_zu_bruecke,11,5,683.727273,-0.077492,0.009061,oeffnend_belastender_austritt
dio_mcm_episode_0mji3u6,dio_mcm_episode_0e7qvj1,austritt,bruecke_zu_bruecke,11,5,8.909091,0.00254,-0.004263,rekoppelnder_austritt
dio_mcm_episode_0z748ck,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,10,5,128.1,-0.02494,0.021623,oeffnend_belastender_austritt
dio_mcm_episode_0qzjuvj,dio_mcm_episode_0z748ck,austritt,bruecke_zu_aussen,9,5,2.666667,-0.020162,0.017502,oeffnend_belastender_austritt
dio_mcm_episode_00nzcuc,dio_mcm_episode_0b7nep9,eintritt,aussen_zu_bruecke,8,2,232.25,-0.018757,0.015556,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1jwnjz4,austritt,bruecke_zu_aussen,7,1,28.285714,-0.003341,0.000688,oeffnend_belastender_austritt
dio_mcm_episode_0jbl5pq,dio_mcm_episode_0qzjuvj,austritt,bruecke_zu_bruecke,7,5,2.142857,0.004324,-0.007347,rekoppelnder_austritt
dio_mcm_episode_0jbl5pq,dio_mcm_episode_0qzjuvj,eintritt,bruecke_zu_bruecke,7,5,3.0,-0.010211,0.012802,oeffnend_belastender_austritt
dio_mcm_episode_0geqqo3,dio_mcm_episode_1xx3u1e,eintritt,aussen_zu_bruecke,6,2,15.0,-0.068096,0.063796,oeffnend_belastender_austritt
dio_mcm_episode_1hdpu9s,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,6,2,14.166667,-0.038872,0.033746,oeffnend_belastender_austritt
dio_mcm_episode_1jwnjz4,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,6,1,10.833333,-0.005031,0.00124,oeffnend_belastender_austritt
dio_mcm_episode_0b7nep9,dio_mcm_episode_00nzcuc,austritt,bruecke_zu_aussen,6,2,3.166667,-0.002783,-0.00111,gemischter_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1hdpu9s,austritt,bruecke_zu_aussen,6,2,26.666667,-0.005101,-0.001273,gemischter_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mji3u6,austritt,bruecke_zu_bruecke,6,4,4.5,-0.023049,0.043685,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mji3u6,eintritt,bruecke_zu_bruecke,6,4,6.666667,0.014141,-0.011791,rekoppelnder_austritt
dio_mcm_episode_1joiyc3,dio_mcm_episode_0db07p4,eintritt,bruecke_zu_bruecke,6,4,1.666667,0.049849,-0.065693,rekoppelnder_austritt
dio_mcm_episode_1joiyc3,dio_mcm_episode_0db07p4,austritt,bruecke_zu_bruecke,6,4,5.666667,-0.030455,0.050285,oeffnend_belastender_austritt
