world,start_tick,end_tick,length,top_family,field_top,temporal_top,range_avg,volume_avg,ret_sum
PAXG_10K,2131,2133,3,dio_0g2r,field_carried,temporal_far_return,0.001819029238384077,2.2978,0.0009925558312655087
PAXG_10K,419,420,2,dio_0jkk,field_mixed,temporal_far_return,0.0007332573307807948,7.843500000000001,-0.0004887585532746823
PAXG_10K,1629,1630,2,dio_06er,field_carried,temporal_far_return,0.0004962779156327543,0.0939,0.0
PAXG_10K,429,429,1,dio_06cv,field_mixed,temporal_first_contact,0.0034347399411187437,15.2792,0.0014720314033366045
PAXG_10K,9703,9703,1,dio_1rrr,field_carried,temporal_far_return,0.0,0.6098,0.0
DOGE_10K,716,718,3,dio_0oc3,field_carried,temporal_far_return,0.00356770428337755,7897265.333333333,-0.007283123312022959
DOGE_10K,1182,1184,3,dio_12dx,field_carried,temporal_far_return,0.0036719047109093983,2384139.3333333335,0.007509760037664147
DOGE_10K,1363,1365,3,dio_1198,field_mixed,temporal_far_return,0.005128596699021454,4136617.6666666665,0.006664614791999969
DOGE_10K,1408,1410,3,dio_02xf,field_carried,temporal_far_return,0.003045742520055644,2243761.0,-0.0009705656755602669
DOGE_10K,2098,2100,3,dio_0bgx,field_carried,temporal_far_return,0.0032774003549951966,3065978.3333333335,-0.0034390558076550955
XRP_10K,1364,1366,3,dio_0cky,field_carried,temporal_far_return,0.0020100122530931934,853842.0,0.002659763659090368
XRP_10K,2565,2567,3,dio_0z18,field_carried,temporal_first_contact,0.009298057978548059,3299883.6666666665,-0.00825362044661822
XRP_10K,3359,3361,3,dio_0pq6,field_carried,temporal_far_return,0.005157826220228128,2725777.6666666665,0.006119429820036216
XRP_10K,6434,6436,3,dio_0lr0,field_carried,temporal_far_return,0.007262558159202713,4451535.333333333,-0.008280737851494023
XRP_10K,8902,8904,3,dio_104t,field_mixed,temporal_far_return,0.003375921710872529,1189169.0,-0.00317136950697773
KAS_10K,716,718,3,dio_1ba6,field_carried,temporal_far_return,0.007847857656355848,1720002.6666666667,-0.00944342719830275
KAS_10K,733,735,3,dio_0jkk,field_carried,temporal_far_return,0.009819612186184615,3518675.3333333335,0.0008688775201778933
KAS_10K,1164,1166,3,dio_1b3m,field_carried,temporal_far_return,0.00474066901443634,950838.6666666666,-0.0022581893142216225
KAS_10K,1549,1551,3,dio_00ja,field_carried,temporal_far_return,0.00900598241110936,1422458.0,-0.0009094703476177875
KAS_10K,2282,2284,3,dio_00ja,field_carried,temporal_far_return,0.007661343840808793,1856754.6666666667,0.008808551466986406
XLM_10K,885,887,3,dio_1kpz,field_carried,temporal_far_return,0.0030576464250888936,192155.66666666666,6.255221372283935e-06
XLM_10K,1366,1368,3,dio_0om4,field_carried,temporal_far_return,0.003723043726920628,1110181.3333333333,-0.0017145233663660932
XLM_10K,2169,2171,3,dio_0h0h,field_carried,temporal_far_return,0.0025633764120983602,204367.66666666666,0.003416617483113626
XLM_10K,2466,2468,3,dio_0g2r,field_carried,temporal_far_return,0.002865905798073119,311757.3333333333,-0.0017174718169173171
XLM_10K,2791,2793,3,dio_1gp2,field_mixed,temporal_far_return,0.00346595788620005,196739.33333333334,-0.0025944041472206443
TRX_10K,518,520,3,dio_155c,field_carried,temporal_far_return,0.00143355359755575,997511.6333333333,-0.0018301191924493167
TRX_10K,737,739,3,dio_0if9,field_carried,temporal_first_contact,0.002452766738334416,3761779.9666666663,0.0008618358553922528
TRX_10K,753,755,3,dio_1o95,field_carried,temporal_far_return,0.0019225412047528324,2158870.4333333336,-0.0005760912214775425
TRX_10K,993,995,3,dio_00ly,field_carried,temporal_far_return,0.0009374885464165229,659366.5333333333,0.0012191341793465489
TRX_10K,2075,2077,3,dio_05gr,field_carried,temporal_far_return,0.0015275653777596866,1146917.4666666666,-0.000777786847022785
PEPE_A_10K,753,755,3,dio_1j1f,field_carried,temporal_far_return,0.011181534760797045,128383672312.33333,-0.008262118406684626
PEPE_A_10K,2580,2582,3,dio_0sa1,field_mixed,temporal_far_return,0.014006393517859105,14994635241.333334,7.002801120448154e-05
PEPE_A_10K,2751,2753,3,dio_1j1f,field_carried,temporal_far_return,0.016854199306841396,90601822433.0,-0.008403361344537912
PEPE_A_10K,3073,3075,3,dio_0klp,field_mixed,temporal_first_contact,0.024585606588634897,495933129747.6667,-0.02930756843800325
PEPE_A_10K,248,249,2,dio_0jkk,field_carried,temporal_far_return,0.007272823442293459,59481705358.0,0.007299270072992631
PEPE_B_10K,258,260,3,dio_0m9z,field_carried,temporal_far_return,0.009844187621965305,271734582155.0,0.007395274061940658
PEPE_B_10K,386,388,3,dio_1w94,field_carried,temporal_first_contact,0.03361960924314497,1421219849267.0,-0.05032390312680174
PEPE_B_10K,703,705,3,dio_0cky,field_carried,temporal_far_return,0.030174143695681256,1645598416259.3333,0.019666303405039935
PEPE_B_10K,882,884,3,dio_155c,field_carried,temporal_far_return,0.017656500802568278,600137121018.3334,0.014446227929374132
PEPE_B_10K,990,992,3,dio_1ewh,field_carried,temporal_far_return,0.029592112819153676,1168043302732.6667,0.0006336138351443234
PEPE_C_10K,470,472,3,dio_0v65,field_carried,temporal_far_return,0.011562073407231052,536341429748.0,0.003859341123515379
PEPE_C_10K,1245,1247,3,dio_02xf,field_carried,temporal_far_return,0.005012805580721335,125684763104.66667,-0.009248638488107442
PEPE_C_10K,3731,3733,3,dio_1jc2,field_carried,temporal_far_return,0.008210821868568714,266831680802.66666,0.005150370539373455
