pair,total_count,source_profile,dominant_role_shift,dominant_role_shift_count,dominant_role_shift_share,role_shift_profile,movement_effect,avg_pressure_delta,avg_sharpness_delta,avg_focus_delta,avg_rekopplung_delta,avg_loudness_delta
dio_mcm_episode_1rxdw4p->dio_mcm_episode_0lfde2c,36,SOL2024_10K:14;SOL2025_10K:14;BTC_5M_10K:8,zentrum_stabil->offene_variante,15,0.416667,zentrum_stabil->offene_variante:15,oeffnend_belastend,0.056989,-0.086894,0.033466,-0.038592,0.146068
dio_mcm_episode_18n06fj->dio_mcm_episode_0mji3u6,35,BTC_5M_10K:15;SOL2025_10K:12;SOL2024_10K:8,zentrum_stabil->zentrum_stabil,16,0.457143,zentrum_stabil->zentrum_stabil:16,oeffnend_belastend,0.019419,0.069768,0.010426,-0.009652,0.069532
dio_mcm_episode_0hjnwsk->dio_mcm_episode_18n06fj,32,BTC_5M_10K:14;SOL2025_10K:11;SOL2024_10K:7,zentrum_stabil->zentrum_stabil,14,0.4375,zentrum_stabil->zentrum_stabil:14;zentrum_stabil->offene_variante:4,spannungsnah,0.001892,-0.03722,-0.007178,-0.00187,-0.002936
dio_mcm_episode_0lfde2c->dio_mcm_episode_1rxdw4p,31,SOL2024_10K:13;SOL2025_10K:9;BTC_5M_10K:9,zentrum_stabil->zentrum_stabil,27,0.870968,zentrum_stabil->zentrum_stabil:27,rekoppelnd_entlastend,-0.022921,0.086232,-0.015625,0.012653,-0.052669
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0lfde2c,30,SOL2024_10K:11;BTC_5M_10K:11;SOL2025_10K:8,zentrum_stabil->zentrum_stabil,27,0.9,zentrum_stabil->zentrum_stabil:27,oeffnend_belastend,0.025899,0.095963,0.036077,-0.00874,0.111828
dio_mcm_episode_0aztxel->dio_mcm_episode_0hjnwsk,29,SOL2025_10K:15;BTC_5M_10K:9;SOL2024_10K:5,zentrum_stabil->zentrum_stabil,9,0.310345,zentrum_stabil->zentrum_stabil:9;offene_variante->zentrum_stabil:7,rekoppelnd_entlastend,-0.010729,-0.00328,-0.009253,0.008137,-0.023279
dio_mcm_episode_0gqol8d->dio_mcm_episode_0nyb3ro,25,SOL2024_10K:13;SOL2025_10K:6;BTC_5M_10K:6,zentrum_stabil->zentrum_stabil,22,0.88,zentrum_stabil->zentrum_stabil:22,spannungsnah,0.005409,0.099677,0.014568,0.00189,0.05557
dio_mcm_episode_1hdpu9s->dio_mcm_episode_0gqol8d,25,SOL2025_10K:13;SOL2024_10K:8;BTC_5M_10K:4,zentrum_stabil->zentrum_stabil,25,1.0,zentrum_stabil->zentrum_stabil:25,rekoppelnd_entlastend,-0.0206,0.034272,-0.021218,0.012046,-0.068471
dio_mcm_episode_0l3i7ey->dio_mcm_episode_0aztxel,24,SOL2025_10K:12;BTC_5M_10K:7;SOL2024_10K:5,zentrum_stabil->zentrum_stabil,14,0.583333,zentrum_stabil->zentrum_stabil:14,rekoppelnd_entlastend,-0.002782,0.03676,-0.009019,0.00654,0.003769
dio_mcm_episode_0gqol8d->dio_mcm_episode_1hdpu9s,23,SOL2025_10K:11;SOL2024_10K:8;BTC_5M_10K:4,zentrum_stabil->zentrum_stabil,6,0.26087,zentrum_stabil->zentrum_stabil:6;zentrum_stabil->offene_variante:5,oeffnend_belastend,0.053876,-0.03038,0.021137,-0.040931,0.14886
