lookback,target_group,chain,assets,asset_count,dominant_field_contact_class,field_asset_share,dominant_sensory_class,sensory_asset_share,dominant_motion_class,motion_asset_share,avg_carry,avg_strain,avg_rekopplung
lb144,oberflaeche_rekoppelt,long_btc_sol,BTC;SOL,2,offene_rekopplung,1.0,sicht_zerfaellt_wechselnd_mittel,1.0,weite_unruhige_vorphase_fallend,0.5,0.41053399641148325,0.23129600598086125,0.6163902679425838
lb144,oberflaeche_rekoppelt,multiasset,DOGE;PAXG;XRP,3,tragende_rekopplung,0.6666666666666666,sicht_zerfaellt_gedaempft_leise,0.3333333333333333,weite_unruhige_vorphase_steigend,0.6666666666666666,0.4248645102564103,0.20993564326923075,0.6324186919871795
lb144,oberflaeche_rekoppelt_spaet,long_btc_sol,BTC;SOL,2,offene_rekopplung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,enge_unruhige_vorphase_fallend,0.5,0.37838262820512825,0.2676510683760684,0.5899530726495726
lb144,oberflaeche_rekoppelt_spaet,multiasset,DOGE;PAXG;XRP,3,offene_rekopplung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,weite_unruhige_vorphase_fallend,0.6666666666666666,0.37399072962962965,0.2704826444444444,0.5892433333333333
lb144,rekopplung_oeffnet,long_btc_sol,BTC;SOL,2,spannungsnahe_oeffnung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,enge_unruhige_vorphase_steigend,0.5,0.3701764410430839,0.2855997097505669,0.5814548151927438
lb144,rekopplung_oeffnet,multiasset,DOGE;PAXG;XRP,3,spannungsnahe_oeffnung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,weite_unruhige_vorphase_steigend,0.6666666666666666,0.36666414298566935,0.2864305838635049,0.5812310930531458
lb48,oberflaeche_rekoppelt,long_btc_sol,BTC;SOL,2,offene_rekopplung,1.0,sicht_zerfaellt_wechselnd_mittel,1.0,enge_unruhige_vorphase_fallend,0.5,0.41053399641148325,0.23129600598086125,0.6163902679425838
lb48,oberflaeche_rekoppelt,multiasset,DOGE;PAXG;XRP,3,tragende_rekopplung,0.6666666666666666,sicht_zerfaellt_gedaempft_leise,0.3333333333333333,weite_unruhige_vorphase_steigend,0.3333333333333333,0.4248645102564103,0.20993564326923075,0.6324186919871795
lb48,oberflaeche_rekoppelt_spaet,long_btc_sol,BTC;SOL,2,offene_rekopplung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,enge_unruhige_vorphase_fallend,0.5,0.37838262820512825,0.2676510683760684,0.5899530726495726
lb48,oberflaeche_rekoppelt_spaet,multiasset,DOGE;PAXG;XRP,3,offene_rekopplung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,weite_unruhige_vorphase_fallend,0.6666666666666666,0.37399072962962965,0.2704826444444444,0.5892433333333333
lb48,rekopplung_oeffnet,long_btc_sol,BTC;SOL,2,spannungsnahe_oeffnung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,enge_unruhige_vorphase_fallend,0.5,0.3701764410430839,0.2855997097505669,0.5814548151927438
lb48,rekopplung_oeffnet,multiasset,DOGE;PAXG;XRP,3,spannungsnahe_oeffnung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,weite_unruhige_vorphase_fallend,0.6666666666666666,0.36666414298566935,0.2864305838635049,0.5812310930531458
lb96,oberflaeche_rekoppelt,long_btc_sol,BTC;SOL,2,offene_rekopplung,1.0,sicht_zerfaellt_wechselnd_mittel,1.0,enge_unruhige_vorphase_fallend,0.5,0.41053399641148325,0.23129600598086125,0.6163902679425838
lb96,oberflaeche_rekoppelt,multiasset,DOGE;PAXG;XRP,3,tragende_rekopplung,0.6666666666666666,sicht_zerfaellt_gedaempft_leise,0.3333333333333333,weite_unruhige_vorphase_steigend,0.3333333333333333,0.4248645102564103,0.20993564326923075,0.6324186919871795
lb96,oberflaeche_rekoppelt_spaet,long_btc_sol,BTC;SOL,2,offene_rekopplung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,enge_unruhige_vorphase_fallend,0.5,0.37838262820512825,0.2676510683760684,0.5899530726495726
lb96,oberflaeche_rekoppelt_spaet,multiasset,DOGE;PAXG;XRP,3,offene_rekopplung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,weite_unruhige_vorphase_fallend,0.3333333333333333,0.37399072962962965,0.2704826444444444,0.5892433333333333
lb96,rekopplung_oeffnet,long_btc_sol,BTC;SOL,2,spannungsnahe_oeffnung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,enge_unruhige_vorphase_steigend,0.5,0.3701764410430839,0.2855997097505669,0.5814548151927438
lb96,rekopplung_oeffnet,multiasset,DOGE;PAXG;XRP,3,spannungsnahe_oeffnung,1.0,sicht_zerfaellt_hoch_schwingend_laut,1.0,weite_unruhige_vorphase_fallend,0.6666666666666666,0.36666414298566935,0.2864305838635049,0.5812310930531458
