row_type,families,base_role_states,enhanced_role_states,assets,attachment_assets,base_counts,enhanced_counts,asset_attachment_dominants,asset,attachment_profile,dominant_attachment_quality,dominant_attachment_share,mean_field_edge_score,mean_kern_edge,mean_afterimage_edge,mean_temporal_edge,family,field_role_state,source_reading,field_role_quality,enhanced_role_key
summary,144,2,6,4,5,feldrolle_anschlussfaehig:107; feldrolle_reift_verdichtend:37,feldrolle_anschlussfaehig::offen_gemischt:53; feldrolle_anschlussfaehig::kernnah:28; feldrolle_anschlussfaehig::nachhallnah_ohne_kern:26; feldrolle_reift_verdichtend::offen_gemischt:19; feldrolle_reift_verdichtend::nachhallnah_ohne_kern:10; feldrolle_reift_verdichtend::kernnah:8,BTC::nachhallnah_ohne_kern:1; DOGE::kernnah:1; PAXG::offen_gemischt:1; SOL::offen_gemischt:1; XRP::offen_gemischt:1,,,,,,,,,,,,,
asset_attachment_profile,,,,,,,,,BTC,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,nachhallnah_ohne_kern,0.25,-0.004927000000000001,-0.01078875,0.0002962500000000001,-0.0007757500000000001,,,,,
asset_attachment_profile,,,,,,,,,DOGE,kernnah:3; kernnah_ohne_feldzeit:1,kernnah,0.75,0.04894325,0.0782095,-0.00626375,-0.0027055,,,,,
asset_attachment_profile,,,,,,,,,PAXG,offen_gemischt:2; kernnah:1; anschlussnah:1,offen_gemischt,0.5,0.03206425,0.04632125,0.00590625,0.00125875,,,,,
asset_attachment_profile,,,,,,,,,SOL,offen_gemischt:3; nullnah:1,offen_gemischt,0.75,0.006936250000000001,0.00918975,0.001837,0.0013602500000000001,,,,,
asset_attachment_profile,,,,,,,,,XRP,offen_gemischt:2; kernnah_ohne_feldzeit:2,offen_gemischt,0.5,0.014511,0.017582,0.001114,2.200000000000002e-05,,,,,
family_with_attachment,,,,,,,,,BTC,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,nachhallnah_ohne_kern,0.25,-0.004927,,,,dio_104t,feldrolle_anschlussfaehig,anschlussfaehige_oberflaeche,0.239543,feldrolle_anschlussfaehig::nachhallnah_ohne_kern
family_with_attachment,,,,,,,,,BTC,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,nachhallnah_ohne_kern,0.25,-0.004927,,,,dio_155c,feldrolle_anschlussfaehig,anschlussfaehige_oberflaeche,0.247622,feldrolle_anschlussfaehig::nachhallnah_ohne_kern
family_with_attachment,,,,,,,,,BTC,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,nachhallnah_ohne_kern,0.25,-0.004927,,,,dio_0m9z,feldrolle_anschlussfaehig,anschlussfaehige_oberflaeche,0.253444,feldrolle_anschlussfaehig::nachhallnah_ohne_kern
family_with_attachment,,,,,,,,,BTC,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,nachhallnah_ohne_kern,0.25,-0.004927,,,,dio_0l7p,feldrolle_anschlussfaehig,anschlussfaehige_oberflaeche,0.256032,feldrolle_anschlussfaehig::nachhallnah_ohne_kern
family_with_attachment,,,,,,,,,BTC,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,nachhallnah_ohne_kern,0.25,-0.004927,,,,dio_0h9h,feldrolle_anschlussfaehig,anschlussfaehige_oberflaeche,0.262763,feldrolle_anschlussfaehig::nachhallnah_ohne_kern
