family,world_hits,occurrences,pre_hearing,hit_hearing,pre_tension,hit_tension,pre_range,hit_range,hearing_delta,tension_delta,range_delta
ALLE,2,137,0.096983,0.041625,0.098034,0.045834,1.232523,1.408185,-0.055357,-0.052200,0.175662
dio_0ly7,2,137,0.096983,0.041625,0.098034,0.045834,1.232523,1.408185,-0.055357,-0.052200,0.175662
