world,episode_path,episode_rows,target_profile_hits,target_profile_share,distinct_families,known_source_family_hits,known_source_family_share,top_family,top_family_count,top_family_share,top_effect,top_effect_count,top_preview_symbol,top_preview_count,binding_reading,top_10_families,top_10_effects
SIDEWAYS,debug\world_relative_topology_sideways\dio_mini_lauf_1\episodes.csv,1994,316,0.158475,316,0,0.000000,dio_0vp5,1,0.003165,stabil,265,dio_mcm_episode_1t5bcxp,116,offene_vorform_breit,dio_0vp5:1;dio_17r0:1;dio_116e:1;dio_00gl:1;dio_1nu5:1;dio_0xmk:1;dio_1d99:1;dio_1vly:1;dio_0ej7:1;dio_1u7j:1,stabil:265;tragend_unruhig:35;kippend:16
EXPANSION10K_AFTER,debug\world_relative_topology_expansion_10k_after\dio_mini_lauf_1\episodes.csv,9994,1366,0.136682,1364,0,0.000000,dio_0xc7,2,0.001464,stabil,1153,dio_mcm_episode_183drjy,688,offene_vorform_breit,dio_0xc7:2;dio_1o8h:2;dio_1o84:1;dio_0d5i:1;dio_06ey:1;dio_17fu:1;dio_0cp2:1;dio_0eac:1;dio_143s:1;dio_0px6:1,stabil:1153;tragend_unruhig:152;kippend:55;gespannt:6
STABLE10K_AFTER,debug\world_relative_topology_stable_10k_after\dio_mini_lauf_1\episodes.csv,9994,1330,0.133080,1321,1,0.000752,dio_10y3,2,0.001504,stabil,1114,dio_mcm_episode_183drjy,676,offene_vorform_breit,dio_10y3:2;dio_0x7o:2;dio_12y2:2;dio_1td3:2;dio_0xm4:2;dio_05qo:2;dio_0rtn:2;dio_0z7m:2;dio_1yz4:2;dio_08tq:1,stabil:1114;tragend_unruhig:164;kippend:47;gespannt:5
STRESS10K_AFTER,debug\world_relative_topology_stress_10k_after\dio_mini_lauf_1\episodes.csv,9994,1341,0.134181,1335,0,0.000000,dio_16nz,2,0.001491,stabil,1151,dio_mcm_episode_183drjy,681,offene_vorform_breit,dio_16nz:2;dio_0q0u:2;dio_02nz:2;dio_07i7:2;dio_1e7x:2;dio_11hu:2;dio_10rx:1;dio_1bgz:1;dio_1079:1;dio_08ky:1,stabil:1151;tragend_unruhig:133;kippend:45;gespannt:12
EXPANSION10K_REPRO,debug\world_relative_topology_expansion_10k_repro\dio_mini_lauf_1\episodes.csv,9994,1366,0.136682,1364,0,0.000000,dio_0xc7,2,0.001464,stabil,1153,dio_mcm_episode_183drjy,688,offene_vorform_breit,dio_0xc7:2;dio_1o8h:2;dio_1o84:1;dio_0d5i:1;dio_06ey:1;dio_17fu:1;dio_0cp2:1;dio_0eac:1;dio_143s:1;dio_0px6:1,stabil:1153;tragend_unruhig:152;kippend:55;gespannt:6
