world;rank;axis;axis_reading;capacity_label;count;ratio;recoupling_balance;avg_mcm_rekopplung_quality;avg_mcm_strain_quality;avg_mcm_carry_quality;avg_rezeptor_field_intake_pressure;stable_ratio;unrest_ratio;dominant_inner_effect_state;dominant_mcm_preview_symbol;avg_axis_z;avg_perception_adaptation_potential;avg_perception_visual_focus_tendency;avg_perception_visual_distance_tendency;avg_perception_auditory_listen_tendency;avg_perception_auditory_softening_tendency;avg_perception_felt_distance_tendency
BTC_2025_1H_2000;1;hoeren_hin;ruhige_akustische_rekopplung;ruhig_tragend;527;0.2642928786359077;0.5693375246679316;0.7185527817836812;0.1340758557874763;0.5447915445920304;0.06055760531309298;0.9924098671726755;0.007590132827324478;inner_effect_stable;dio_mcm_episode_0e7qvj1;0.816258294117647;0.11229104174573055;0.6519291043643264;0.3182034724857685;0.8848439468690703;0.1151560531309298;0.13236046110056926
BTC_2025_1H_2000;2;sehen_fokus;visuelle_formtragfaehigkeit;ruhig_tragend;481;0.2412236710130391;0.5464790467775468;0.7102624407484408;0.13955609771309774;0.5248331871101871;0.09690918503118504;0.975051975051975;0.02494802494802495;inner_effect_stable;dio_mcm_episode_0e7qvj1;1.0124269875259877;0.1139967422037422;0.6729146548856548;0.24905527442827446;0.8367688503118503;0.1632311496881497;0.1341927920997921
BTC_2025_1H_2000;3;ausgeglichen;ausgeglichene_aufnahme;tragend;176;0.08826479438314945;0.5321370028409091;0.7131933238636363;0.15254478977272726;0.5479138125;0.114046125;0.9545454545454546;0.045454545454545456;inner_effect_stable;dio_mcm_episode_0e7qvj1;0.22893148863636362;0.12888336931818184;0.6418533863636363;0.3281275227272727;0.7961805568181819;0.2038194431818182;0.16267801136363635
BTC_2025_1H_2000;4;sehen_abstand;visueller_abstand;tragend;381;0.19107321965897694;0.48219819947506554;0.6822734803149606;0.1705960288713911;0.49685125459317586;0.11791700787401575;0.5905511811023622;0.4068241469816273;inner_effect_stable;dio_mcm_episode_0e7qvj1;1.323485060367454;0.14624545144356957;0.6265679422572179;0.4674008608923884;0.7870572729658791;0.21294272703412073;0.20830452755905512
BTC_2025_1H_2000;5;hoeren_leise;akustische_daempfungsnaehe;offen;188;0.09428284854563691;0.4603936382978723;0.6821076436170213;0.17602925;0.4913378244680851;0.18273902127659575;0.851063829787234;0.14361702127659576;inner_effect_stable;dio_mcm_episode_0e7qvj1;1.058142590425532;0.1545676329787234;0.6183548563829787;0.3570254893617021;0.6772503510638298;0.32274964893617025;0.22710690957446808
BTC_2025_1H_2000;6;feldinput;direkter_feldkontakt_last;kontaktlastig;185;0.09277833500501505;0.36871252972972973;0.6491200162162162;0.2140787135135135;0.4415852432432432;0.2653150918918919;0.5405405405405406;0.3567567567567568;inner_effect_stable;dio_mcm_episode_0e7qvj1;1.8773009135135137;0.16638445405405405;0.6043414702702703;0.3244871351351351;0.6137868594594594;0.38621314054054057;0.27525527027027025
BTC_2025_1H_2000;7;fuehlen_abstand;kontaktabstand_unruhe;belastet;56;0.028084252758274825;0.33214877678571425;0.62566625;0.23271255357142856;0.4171991785714286;0.2432196785714286;0.19642857142857142;0.5714285714285714;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;2.080784107142857;0.18007789285714287;0.6025153035714286;0.44422787500000005;0.6151429285714285;0.3848570714285714;0.31826398214285717
KAS_2024_1H_2000;1;hoeren_hin;ruhige_akustische_rekopplung;ruhig_tragend;498;0.24974924774322968;0.5632138704819277;0.7145438172690763;0.13544345180722892;0.5388498212851406;0.06354597991967871;0.9779116465863453;0.02208835341365462;inner_effect_stable;dio_mcm_episode_0e7qvj1;0.8861159578313254;0.11401132530120482;0.6510078232931727;0.32579205622489965;0.8815892911646586;0.11841070883534136;0.1385013875502008
KAS_2024_1H_2000;2;sehen_fokus;visuelle_formtragfaehigkeit;tragend;478;0.23971915747241726;0.5377893138075313;0.7067140815899581;0.14245182845188284;0.5211268849372386;0.10589175732217572;0.9874476987447699;0.012552301255230125;inner_effect_stable;dio_mcm_episode_0e7qvj1;1.0524556443514643;0.11791129288702928;0.6725288891213389;0.2620454686192468;0.8235169267782427;0.17648307322175733;0.14311764435146443
KAS_2024_1H_2000;3;ausgeglichen;ausgeglichene_aufnahme;tragend;154;0.07723169508525576;0.5216569967532466;0.7080365324675324;0.1567241103896104;0.5420872857142857;0.11862170129870128;0.9415584415584416;0.05844155844155844;inner_effect_stable;dio_mcm_episode_0e7qvj1;0.22267418831168828;0.1317112012987013;0.6402816038961039;0.33388277922077925;0.7856146623376623;0.21438533766233764;0.17150814285714283
