typology,count,reference_state,sources,worlds,movements,avg_return_pct,avg_range_pct,avg_pressure_abs,avg_rekopplung_abs,note,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
konsolidierung_mit_bruchnaehe,4,known_reference_type,ASSET_ZEIT:4,BTC_2024_15M:1 | BTC_2024_5M:1 | SOL_2024_15M:1 | SOL_2024_5M:1,offene_uebergangszone:4,-0.378631,3.225641,0.054437,0.016644,Konsolidierung zeigt Bruchnaehe oder gespannte Struktur.,1,0,0,0,0,0,0
getragene_expansion,3,known_reference_type,ASSET_ZEIT:3,SOL_2024_1H:2 | KAS_2024_30M:1,offene_uebergangszone:2 | bewegungsbruch_zone:1,37.631765,48.09308,0.099624,0.019943,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
abverkauf_mit_bruch,2,known_reference_type,ASSET_ZEIT:2,SOL_2024_30M:2,offene_uebergangszone:2,-4.154253,5.655525,0.063338,0.01642,Abverkauf wird als Bewegungsbruch oder Druckbruch gelesen.,1,0,0,0,0,0,0
konsolidierung_unter_druck,1,known_reference_type,ASSET_ZEIT:1,BTC_2024_5M:1,druck_uebergang:1,0.310162,2.863132,0.089113,0.010302,Seitwaerts-/Ruhefenster traegt innere Druckspannung.,1,0,0,0,0,0,0
weite_volatilitaetszone,3,new_or_extended_type,ASSET_ZEIT:3,BTC_2024_30M:2 | SOL_2024_15M:1,offene_uebergangszone:2 | druck_uebergang:1,0.063656,14.243327,0.07438,0.013233,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
gerichtete_uebergangsbewegung,2,new_or_extended_type,ASSET_ZEIT:2,KAS_2024_30M:1 | SOL_2024_5M:1,offene_uebergangszone:2,0.263176,2.351759,0.041639,0.012904,Gerichtete Bewegung mit unspezifischer Uebergangsqualitaet.,1,0,0,0,0,0,0
rekopplung_nach_abverkauf,2,new_or_extended_type,ASSET_ZEIT:2,BTC_2024_1H:2,druck_uebergang:1 | offene_uebergangszone:1,72.160237,85.086081,0.097016,0.018237,Nach einem Abverkauf entsteht ein lokales Rekopplungsfenster.,1,0,0,0,0,0,0
