phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig_basis,300,0.956667,0.016667,0.003333,0.023333,0.754456,0.606837,0.11954,0.02234,0.033893,0.83893
druckaufbau,300,0.936667,0.026667,0.003333,0.033333,0.753243,0.60679,0.121252,0.026372,0.03816,0.830667
laute_randphase,400,0.0275,0.8325,0.0375,0.1025,0.666356,0.471588,0.180906,0.166255,0.281561,0.541411
asymmetrischer_bruch,350,0.614286,0.22,0.0,0.165714,0.715128,0.539357,0.135765,0.096108,0.165346,0.79343
gegenzerrung,350,0.868571,0.048571,0.0,0.082857,0.741461,0.583723,0.120205,0.039995,0.059857,0.818163
ueberreizter_nachhall,350,0.874286,0.045714,0.002857,0.077143,0.733828,0.573489,0.127124,0.05632,0.091249,0.776819
rekopplungsversuch,350,0.988571,0.008571,0.002857,0.0,0.756249,0.615026,0.121518,0.025969,0.038727,0.832968
ruhe_restspannung,300,0.986667,0.006667,0.003333,0.003333,0.757435,0.615761,0.121405,0.025166,0.038725,0.836804
zweiter_randstoss,300,0.84,0.11,0.01,0.04,0.724768,0.565301,0.138324,0.096875,0.163857,0.782613
schluss_rekopplung,294,0.989796,0.010204,0.0,0.0,0.756151,0.614638,0.120931,0.02696,0.041309,0.833438
