asset,event_count,dominant_world,dominant_movement,dominant_window_reading,dominant_phase,avg_loudness,avg_intake,avg_sharpness,avg_rekopplung,avg_strain,avg_delta_next_rekopplung,avg_delta_next_strain,avg_raw_return,avg_range_ratio,avg_expansion_ratio,avg_direction_consistency,movement_counts,reading_counts,world_counts,response_class
BTC,36,BTC_1H_2K,bewegungsbruch,lastkontakt_entlastet,offene_variante->spannungsrand_kippnaehe->offene_variante,0.761368,0.43431,0.562269,0.574703,0.296287,0.091537,-0.116771,0.023754,0.074959,4.523478,0.084621,bewegungsbruch:36,lastkontakt_entlastet:36,BTC_1H_2K:22; BTC_5M_2K:14,entlastender_bruchkontakt
DOGE,36,DOGE_5M_10K,bewegungsbruch,lastkontakt_entlastet,offene_variante->spannungsrand_kippnaehe->offene_variante,0.787128,0.448411,0.548017,0.568981,0.303614,0.087471,-0.114601,-0.000686,0.038813,4.019171,0.098067,bewegungsbruch:36,lastkontakt_entlastet:35; rekopplung_bricht_in_last:1,DOGE_5M_10K:36,entlastender_bruchkontakt
KAS,36,KAS_5M_2K,bewegungsbruch,lastkontakt_entlastet,offene_variante->spannungsrand_kippnaehe->offene_variante,0.655554,0.375229,0.534575,0.58833,0.274699,0.077299,-0.097548,-0.023285,0.092798,4.426568,0.077007,bewegungsbruch:36,lastkontakt_entlastet:35; rekopplung_bricht_in_last:1,KAS_5M_2K:36,entlastender_bruchkontakt
PAXG,36,PAXG_5M_10K,bewegungsbruch,lastkontakt_entlastet,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,0.756952,0.434791,0.601789,0.583729,0.288391,0.083239,-0.103156,0.000283,0.006996,5.599453,0.07689,bewegungsbruch:36,lastkontakt_entlastet:32; rekopplung_bricht_in_last:4,PAXG_5M_10K:36,entlastender_bruchkontakt
SOL,36,POS_EXPANSION_10K,bewegungsbruch,lastkontakt_entlastet,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,0.874722,0.499048,0.564512,0.554534,0.322342,0.097356,-0.127201,-0.004878,0.050393,4.309169,0.106268,bewegungsbruch:36,lastkontakt_entlastet:36,POS_EXPANSION_10K:14; NEG_STRESS_10K:10; SIDEWAYS_10K:7; SOL_5M_2K:5,entlastender_bruchkontakt
XRP,36,XRP_5M_10K,bewegungsbruch,lastkontakt_entlastet,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,0.799363,0.456596,0.520923,0.563414,0.309698,0.097591,-0.122208,0.000533,0.028179,4.78435,0.080927,bewegungsbruch:36,lastkontakt_entlastet:36,XRP_5M_10K:36,entlastender_bruchkontakt
