welt,ticks,static_rekopplung,adaptive_rekopplung,role_experience,path_experience,milieu_offen,milieu_rollennah,milieu_pfadnah,milieu_rolle_und_pfad_getragen,milieu_untrained
DOGE,994,0.685038,0.729084,0.577213,0.313380,412,243,42,285,12
XRP,994,0.676695,0.721852,0.643528,0.349346,383,257,19,329,6
PAXG,1994,0.700467,0.743298,0.628678,0.362149,775,459,97,657,6
Stress,994,0.686648,0.731231,0.574111,0.301056,441,244,37,268,4
