world,open_minus_center_share,open_minus_center_visual_load,open_minus_center_hearing_load,open_minus_center_field_load,open_minus_center_recoupling_support,open_minus_center_avg_mcm_visual_field_gap,open_minus_center_avg_mcm_hearing_field_gap,open_minus_center_avg_mcm_rekopplung_quality,open_minus_center_avg_mcm_strain_quality,open_minus_center_avg_fuehlen_mcm_tension,open_minus_center_avg_mini_afterimage,opening_driver
KAS_2024_5M_2K,-0.6429287863590771,-0.04387438025940649,0.056911401682470504,0.08366772932498441,-0.021224382946617992,0.052553387764794145,0.06397434891368549,-0.02466354405121085,0.06748241890953496,0.16405869201666587,-0.0009963831313953675,fuehlen_delta
KAS_2024_15M_2K,-0.6459378134403209,-0.03330739836067448,0.035368057319434945,0.08422004192071092,-0.024266289638869898,0.05562124584187741,0.06526451287309183,-0.02731384911141499,0.06957675455684667,0.16690883874458876,-0.0008193992936887675,fuehlen_delta
KAS_2024_30M_2K,-0.6213640922768304,-0.023971975838001813,0.033085483027214625,0.0849084703352235,-0.024884994748810008,0.05518341346317966,0.07145912265736121,-0.027534064973733674,0.06968896054922338,0.16604197259762177,-0.0013443207438032204,fuehlen_delta
KAS_2024_1H_2K,-0.6424272818455365,-0.028351576701311942,0.04068784910311204,0.08546033763734268,-0.022651597479560248,0.05477687257630597,0.06486904996849198,-0.025824249521320453,0.0690423445119488,0.16769093540653432,-0.0008324624105252952,fuehlen_delta
SOL_2024_5M_2K,-0.6619859578736209,-0.04466116209680876,0.05242659329663739,0.08354850918911971,-0.020962003536089235,0.05188246843007069,0.05864093386164061,-0.02476037093596062,0.06727551263653883,0.1635290435853502,-0.0009608427286356821,fuehlen_delta
SOL_2024_15M_2K,-0.6569709127382146,-0.06423945187372582,0.060702196201467065,0.08388971135226986,-0.020479951544484343,0.05421506385154177,0.06750567581226076,-0.024447060373492202,0.06945504944696917,0.16675536528948473,-0.0010216048579552001,fuehlen_delta
SOL_2024_30M_2K,-0.6409227683049148,-0.06778130892044748,0.0642582827122184,0.09184874341551941,-0.021556067194931194,0.055077870087609504,0.06357979482165207,-0.026374644649561962,0.07405323959637045,0.18131696789346055,-0.0007860642052565708,fuehlen_delta
SOL_2024_1H_2K,-0.6544633901705115,-0.032383343269017595,0.06909140872836965,0.09415303284648702,-0.023644071226257557,0.047675463021878604,0.07750675082111787,-0.0270519852713913,0.07075588416365489,0.1715184880901849,-0.0008566431629831407,fuehlen_delta
BTC_2024_5M_2K,-0.6955867602808425,-0.036287970935199976,0.0653923000581374,0.09204794955403518,-0.025054216916515215,0.05374977984187729,0.06747926655791713,-0.028352446540664045,0.07305898177183712,0.17650577984417157,-0.0013087156658957843,fuehlen_delta
BTC_2024_15M_2K,-0.7301905717151455,-0.04904467325934986,0.07726674920980574,0.09408967074745785,-0.029868603208989652,0.060250076791332464,0.09119515700265222,-0.03258641237423354,0.07965727709413822,0.18550699643505247,-0.0014403545458450107,fuehlen_delta
BTC_2024_30M_2K,-0.6935807422266801,-0.043570507959169114,0.09592421152837097,0.10227182874995236,-0.026389563326532972,0.054560861646297275,0.08046850389910006,-0.030367651724088618,0.07812049749037142,0.18769026015291337,-0.0013222390462934717,fuehlen_delta
BTC_2024_1H_2K,-0.6730190571715146,-0.04547639080856164,0.09364572653262365,0.10322039849419017,-0.028145657451785322,0.0590622595710237,0.08053175862668716,-0.03211329193489765,0.08072443231883122,0.19219024956350914,-0.002566559573476519,fuehlen_delta
