source,world,family,occurrences,hearing_delta,tension_delta,range_delta,range_expands,load_rises,reading
real_2023,SOL_2023_NEG_STRESS_10K,dio_0ly7,34,-0.04362,-0.042947,-0.031533,0,0,entlastung_ohne_range_aufweitung
real_2023,SOL_2023_POS_EXPANSION_10K,dio_0ly7,43,-0.043135,-0.042417,-0.020025,0,0,entlastung_ohne_range_aufweitung
real_2023,SOL_2023_MOD_NEG_10K,dio_0ly7,22,-0.053593,-0.050657,-0.027096,0,0,entlastung_ohne_range_aufweitung
real_2023,SOL_2023_EXT_EXPANSION_10K,dio_0ly7,30,-0.04247,-0.040997,-0.036567,0,0,entlastung_ohne_range_aufweitung
real_2024,BTC_2024_5M_10K,dio_0ly7,45,-0.05764,-0.053699,-0.015499,0,0,entlastung_ohne_range_aufweitung
real_2024,DOGE_2024_5M_10K,dio_0ly7,46,-0.047111,-0.045211,-0.016187,0,0,entlastung_ohne_range_aufweitung
real_2024,XRP_2024_5M_10K,dio_0ly7,44,-0.050795,-0.048094,-0.021973,0,0,entlastung_ohne_range_aufweitung
real_2024,PAXG_2024_5M_10K,dio_0ly7,42,-0.044448,-0.047162,0.002834,1,0,range_aufweitung_aber_entlastung
real_2025,BTC_2025_5M_10K,dio_0ly7,49,-0.062321,-0.057225,-0.013308,0,0,entlastung_ohne_range_aufweitung
real_2025,DOGE_2025_5M_10K,dio_0ly7,47,-0.0512,-0.048679,-0.018922,0,0,entlastung_ohne_range_aufweitung
real_2025,XRP_2025_5M_10K,dio_0ly7,48,-0.054435,-0.051835,-0.03275,0,0,entlastung_ohne_range_aufweitung
real_2025,PAXG_2025_5M_10K,dio_0ly7,36,-0.032069,-0.036574,0.002718,1,0,range_aufweitung_aber_entlastung
synthetic_core,SYN_RAND_DOMINANZ_A,dio_0ly7,58,0.012586,0.008914,0.164518,1,1,lastanstieg_mit_range_aufweitung
synthetic_core,SYN_BRUCH_RAND_A,dio_0ly7,76,0.017137,0.013788,0.046207,1,1,lastanstieg_mit_range_aufweitung
synthetic_core,SYN_REKOPPLUNG_VOR_RAND,dio_0ly7,59,0.018434,0.014969,0.043547,1,1,lastanstieg_mit_range_aufweitung
synthetic_core,SYN_STARK_PERMUTIERT,dio_0ly7,73,0.016203,0.01339,0.03969,1,1,lastanstieg_mit_range_aufweitung
synthetic_extra,SYN_RAND_DOMINANZ_B,dio_0ly7,58,0.012586,0.008914,0.164518,1,1,lastanstieg_mit_range_aufweitung
synthetic_extra,SYN_BRUCH_RAND_B,dio_0ly7,76,0.017137,0.013788,0.046207,1,1,lastanstieg_mit_range_aufweitung
synthetic_extra,SYN_SEQ_ORIGINAL,dio_0ly7,75,0.017047,0.013703,0.04753,1,1,lastanstieg_mit_range_aufweitung
synthetic_extra,SYN_SEQ_PERMUTIERT,dio_0ly7,76,0.016553,0.013182,0.044203,1,1,lastanstieg_mit_range_aufweitung
synthetic_extra,SYN_SEQ_ZUFALLSNAH,dio_0ly7,66,0.014014,0.011086,0.037506,1,1,lastanstieg_mit_range_aufweitung
synthetic_extra,SYN_REKOPPLUNG_LANG_VOR_RAND,dio_0ly7,66,0.01823,0.014781,0.043485,1,1,lastanstieg_mit_range_aufweitung
