world,block_index,base_sequence,adapted_lage,base_zentrum,base_rand,base_rekopplung,base_strain,adapted_zentrum,adapted_rand,adapted_rekopplung,adapted_strain
BTC_2024_5M_FULL,1,normale_weltspannung->offen_suchend,offen_suchend,0.635,0.01,0.705953,0.156087,0.645,0.005,0.707272,0.154305
BTC_2024_5M_FULL,2,offen_suchend->offen_suchend,offen_suchend,0.635,0.01,0.705976,0.156617,0.6475,0.0075,0.707662,0.154271
BTC_2024_5M_FULL,3,offen_suchend->normale_weltspannung,normale_weltspannung,0.715,0.01,0.710577,0.150526,0.7225,0.005,0.711633,0.149076
BTC_2024_5M_FULL,4,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.745,0.005,0.711656,0.149372,0.75,0.0,0.712687,0.1479
BTC_2024_5M_FULL,5,normale_weltspannung->offen_suchend,offen_suchend,0.66,0.005,0.707991,0.15377,0.6675,0.0025,0.709076,0.152306
BTC_2024_5M_FULL,6,offen_suchend->offen_suchend,offen_suchend,0.685,0.0125,0.709078,0.15177,0.685,0.0075,0.710133,0.150321
BTC_2024_5M_FULL,7,offen_suchend->randlastige_sinneslage,offen_suchend,0.595,0.0175,0.704208,0.157775,0.5975,0.0075,0.705836,0.155598
BTC_2024_5M_FULL,8,randlastige_sinneslage->offen_suchend,offen_suchend,0.635,0.005,0.70798,0.153095,0.635,0.0025,0.709025,0.151743
BTC_2024_5M_FULL,9,offen_suchend->normale_weltspannung,normale_weltspannung,0.785,0.005,0.712048,0.148347,0.795,0.005,0.712891,0.147188
BTC_2024_5M_FULL,10,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.75,0.0,0.712258,0.148176,0.7575,0.0,0.713021,0.147152
BTC_2024_5M_FULL,11,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.7575,0.0075,0.712531,0.147756,0.7675,0.0,0.713433,0.146508
BTC_2024_5M_FULL,12,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.72,0.005,0.711699,0.148912,0.7275,0.0,0.712586,0.147703
BTC_2024_5M_FULL,13,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.77,0.0,0.713091,0.147247,0.78,0.0,0.71381,0.146259
BTC_2024_5M_FULL,14,normale_weltspannung->lauter_feldkontakt,lauter_feldkontakt,0.77,0.0,0.711786,0.148973,0.785,0.0,0.712736,0.147613
BTC_2024_5M_FULL,15,lauter_feldkontakt->offen_suchend,offen_suchend,0.655,0.0025,0.708371,0.153594,0.655,0.0,0.709524,0.152039
BTC_2024_5M_FULL,16,offen_suchend->offen_suchend,offen_suchend,0.685,0.0025,0.709638,0.151566,0.6925,0.0,0.710638,0.150248
BTC_2024_5M_FULL,17,offen_suchend->normale_weltspannung,normale_weltspannung,0.76,0.0,0.712548,0.148076,0.7675,0.0,0.713233,0.147136
BTC_2024_5M_FULL,18,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.765,0.0025,0.712482,0.147919,0.765,0.0,0.713162,0.14698
BTC_2024_5M_FULL,19,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.745,0.0075,0.711269,0.150113,0.7475,0.0025,0.71199,0.149104
BTC_2024_5M_FULL,20,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.7575,0.0125,0.710879,0.150505,0.76,0.005,0.711756,0.149291
BTC_2024_5M_FULL,21,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.7575,0.0025,0.712419,0.148509,0.7625,0.0,0.713132,0.147521
BTC_2024_5M_FULL,22,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.725,0.0025,0.710834,0.150265,0.735,0.0,0.711709,0.149094
BTC_2024_5M_FULL,23,normale_weltspannung->lauter_feldkontakt,normale_weltspannung,0.7275,0.005,0.711376,0.149729,0.7375,0.005,0.712269,0.148465
BTC_2024_5M_FULL,24,lauter_feldkontakt->lauter_feldkontakt,lauter_feldkontakt,0.685,0.0,0.709028,0.153168,0.69,0.0,0.709984,0.151813
BTC_2025_5M_FULL,1,lauter_feldkontakt->normale_weltspannung,normale_weltspannung,0.755,0.0075,0.711179,0.149746,0.76,0.005,0.712133,0.148439
