role_family,target_members,member_symbols,global_found_members,global_member_coverage,worlds,worlds_present,world_presence_ratio,whole_family_worlds,whole_family_ratio,partial_family_worlds,missing_worlds,assets_present,mean_member_coverage,total_follow_events,source_total_events,source_event_concentration,family_event_concentration,family_event_balance,source_dominant_member,follow_dominant_member,dominant_member_shift,member_distribution_drift,internal_role_reading,source_member_event_profile,member_event_profile,mean_family_event_share,mean_phase_complete_ratio,mean_rekopplung_spaet,mean_strain_spaet,mean_afterimage_delta,mean_temporal_delta,family_continuity_score,followworld_reading,boundary
rf_07,2,dio_1ewh;dio_0g2r,2,1.0,15,15,1.0,15,1.0,0,0,5,1.0,386,2342,0.611870196413322,0.6088082901554405,0.7823834196891191,dio_1ewh,dio_1ewh,stabil:dio_1ewh,0.003061906257881525,rollenverteilung_nahe_stabil,dio_1ewh:1433;dio_0g2r:909,dio_1ewh:235;dio_0g2r:151,0.025888665325285044,0.9,0.7439825206108706,0.16076046467532468,0.41138881311207315,0.3206804122101972,0.9782383419689118,familienraum_konsistent_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction
rf_21,2,dio_1pij;dio_1v2w,2,1.0,15,15,1.0,12,0.8,3,0,5,0.9,107,1446,0.7143845089903181,0.7009345794392523,0.5981308411214954,dio_1pij,dio_1v2w,dio_1pij->dio_1v2w,0.41531908842957044,starker_innerer_dominanzwechsel,dio_1pij:1033;dio_1v2w:413,dio_1pij:32;dio_1v2w:75,0.007176391683433937,0.26666666666666666,0.7112400320512821,0.18344111538461538,0.19154924333333334,0.3656566744444445,0.8848130841121497,familienraum_konsistent_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction
rf_05,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,8,1.0,15,15,1.0,2,0.13333333333333333,13,0,5,0.8,339,2397,0.26533166458072593,0.2713864306784661,0.832701222081753,dio_0fe7,dio_1xrt,dio_0fe7->dio_1xrt,0.1189096990707411,leichter_dominanzwechsel_bei_naher_verteilung,dio_0fe7:636;dio_1xrt:567;dio_17dc:317;dio_1ba6:269;dio_0v65:253;dio_0ein:196;dio_0u24:85;dio_0qup:74,dio_0fe7:70;dio_1xrt:92;dio_17dc:32;dio_1ba6:35;dio_0v65:49;dio_0ein:43;dio_0u24:10;dio_0qup:8,0.0227364185110664,0.225,0.7451046256682207,0.1419822243201243,0.18806753272283272,0.34142773042254043,0.7399367888748418,familienraum_breit_anschlussfaehig,passive_same_basis_family_followworld_family_no_action_no_direction
