asset,window_start,window_end,world_label,source_path,data_path,world_events,role_family,symbol_family,target_members,event_count,world_event_share,phase_presence,dominant_field_contact_class,avg_carry,avg_strain,avg_rekopplung,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,boundary
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_05,dio_0u24,8,0,0.0,0,-,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,passive_same_basis_family_followworld_member_no_action_no_direction
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_05,dio_0qup,8,0,0.0,0,-,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,passive_same_basis_family_followworld_member_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_07,dio_1ewh,2,15,0.015090543259557344,3,tragende_rekopplung,0.5272116,0.15567726666666667,0.7428564000000001,5,0.015060240963855422,0.7360782,0.15071720000000002,0.159937,0.5407542000000001,5,0.015105740181268883,0.7467889999999999,0.15436480000000002,0.4617026,0.785043,5,0.015105740181268883,0.745702,0.1619498,0.6256185999999999,0.8471531999999999,4.5499217413461426e-05,0.4656815999999999,0.30639899999999987,0.011232599999999981,passive_same_basis_family_followworld_member_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_07,dio_0g2r,2,10,0.01006036217303823,2,tragende_rekopplung,0.5128408999999999,0.1544814,0.7316358000000001,1,0.0030120481927710845,0.658658,0.171848,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9,0.027190332326283987,0.7397444444444444,0.15255177777777776,0.33577466666666667,0.7309707777777779,0.024178284133512903,0.33577466666666667,0.7309707777777779,-0.019296222222222242,passive_same_basis_family_followworld_member_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_21,dio_1pij,2,0,0.0,0,-,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,passive_same_basis_family_followworld_member_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_21,dio_1v2w,2,5,0.005030181086519115,3,tragende_rekopplung,0.4786722,0.178458,0.708901,2,0.006024096385542169,0.704079,0.1774225,0.040412,0.306793,2,0.006042296072507553,0.70917,0.180483,0.2158815,0.675122,1,0.0030211480362537764,0.718007,0.176479,0.332465,0.731106,-0.0030029483492883926,0.292053,0.42431300000000005,-0.0009435000000000138,passive_same_basis_family_followworld_member_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_05,dio_0fe7,8,6,0.006036217303822937,3,tragende_rekopplung,0.5003226666666667,0.14867249999999999,0.7307644999999999,2,0.006024096385542169,0.7057329999999999,0.149199,0.0489175,0.312466,2,0.006042296072507553,0.738762,0.150686,0.2291345,0.6875085,2,0.006042296072507553,0.7477985,0.1461325,0.373394,0.747749,1.8199686965383877e-05,0.3244765,0.435283,-0.0030664999999999998,passive_same_basis_family_followworld_member_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_05,dio_1xrt,8,7,0.007042253521126761,3,tragende_rekopplung,0.503838,0.149075,0.7402064285714286,3,0.009036144578313253,0.7334003333333333,0.14905333333333334,0.07898166666666667,0.4272456666666667,2,0.006042296072507553,0.7454475,0.14583849999999998,0.273283,0.7096575,2,0.006042296072507553,0.7451745,0.152344,0.39941099999999996,0.763646,-0.0029938485058056998,0.3204293333333333,0.33640033333333336,0.003290666666666664,passive_same_basis_family_followworld_member_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_05,dio_17dc,8,2,0.002012072434607646,2,tragende_rekopplung,0.465249,0.1520985,0.7331829999999999,0,0.0,0.0,0.0,0.0,0.0,1,0.0030211480362537764,0.719001,0.169828,0.0,0.0,1,0.0030211480362537764,0.747365,0.134369,0.085556,0.610922,0.0030211480362537764,0.085556,0.610922,0.134369,passive_same_basis_family_followworld_member_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_05,dio_1ba6,8,0,0.0,0,-,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,passive_same_basis_family_followworld_member_no_action_no_direction
