sleep_lauf,source_memory,follow_memory_count,sleep_top_symbol,active_role_count,sleep_symbol_real_hits,old_episode_roles_reappear,source_roles_only
SOL_2024_SLEEP,SOL_2024_5m,3,dio_019bn1b,5,0,2,1
STRESS_2023_SLEEP,STRESS_2023_5m,3,dio_019bn1b,5,0,1,2
