world,start_tick,end_tick,duration,center_tick,previous_role,next_role,previous_duration,next_duration,avg_raw_field_intake,avg_auditory_loudness,avg_visual_sharpness,avg_rekopplung,avg_strain,raw_rows,raw_return,range_ratio,body_ratio,direction_consistency,expansion_ratio,break_ratio,movement_class
SOL_STRESS_1H,3285,3285,1,3285,zentrum_stabil,offene_variante,2,1,0.523184,0.925702,0.625881,0.55621,0.328629,71,0.02638716,0.11991497,0.00604861,0.01449275,5.81132948,0.45156069,bewegungsbruch
BTC_QUIET_1H,1928,1928,1,1928,zentrum_stabil,offene_variante,3,3,0.526981,0.915812,0.591857,0.560486,0.316203,71,0.10411835,0.11372537,0.00377829,0.2,3.40302029,0.52501945,bewegungsbruch
SOL_STRESS_1H,2810,2810,1,2810,offene_variante,offene_variante,1,4,0.519477,0.905955,0.704883,0.571867,0.306215,71,-0.08313512,0.12055462,0.00374563,0.17142857,8.87674602,0.45091481,bewegungsbruch
SOL_STRESS_1H,3057,3057,1,3057,offene_variante,offene_variante,1,4,0.509458,0.905916,0.586198,0.545111,0.331326,71,-0.04933848,0.16427784,0.00765564,0.0,6.20991254,0.48929967,bewegungsbruch
SOL_STRESS_1H,2924,2924,1,2924,zentrum_stabil,offene_variante,6,3,0.509807,0.903616,0.528876,0.590518,0.283846,71,-0.06834759,0.10462777,0.0061354,0.0,3.81039234,0.45453353,bewegungsbruch
BTC_STRESS_1H,2391,2391,1,2391,zentrum_stabil,offene_variante,2,2,0.507443,0.901852,0.447043,0.569986,0.301697,71,0.06994544,0.09041923,0.00323604,0.02857143,5.31303698,0.54424239,bewegungsbruch
SOL_QUIET_1H,810,810,1,810,offene_variante,offene_variante,1,4,0.511297,0.895981,0.699126,0.548635,0.32973,71,-0.08313512,0.12055462,0.00374563,0.17142857,8.87674602,0.45091481,bewegungsbruch
SOL_QUIET_1H,1057,1057,1,1057,offene_variante,offene_variante,1,4,0.501793,0.895942,0.582584,0.547581,0.32773,71,-0.04933848,0.16427784,0.00765564,0.0,6.20991254,0.48929967,bewegungsbruch
SOL_QUIET_1H,2757,2757,1,2757,zentrum_stabil,offene_variante,8,3,0.507323,0.89324,0.579636,0.542675,0.335233,71,-0.09457345,0.13438067,0.00530604,0.14285714,3.59814788,0.43889456,bewegungsbruch
SOL_QUIET_1H,924,924,1,924,zentrum_stabil,offene_variante,6,3,0.500777,0.892781,0.516153,0.567116,0.308518,71,-0.06834759,0.10462777,0.0061354,0.0,3.81039234,0.45453353,bewegungsbruch
BTC_STRESS_1H,1257,1257,1,1257,offene_variante,offene_variante,1,5,0.504353,0.890908,0.540597,0.567019,0.309214,71,-0.06517479,0.09694689,0.00393796,0.05714286,4.65164649,0.48933656,bewegungsbruch
BTC_STRESS_1H,2930,2930,1,2930,zentrum_stabil,offene_variante,6,1,0.508611,0.888224,0.597538,0.565202,0.311055,71,0.09249065,0.13868349,0.00510132,0.08571429,3.34402263,0.50344819,bewegungsbruch
BTC_QUIET_1H,3007,3007,1,3007,zentrum_stabil,offene_variante,3,4,0.497528,0.880836,0.533275,0.542465,0.334713,71,-0.06517479,0.09694689,0.00393796,0.05714286,4.65164649,0.48933656,bewegungsbruch
BTC_STRESS_1H,698,698,1,698,rekopplungsnaehe,offene_variante,1,1,0.497192,0.877878,0.506029,0.539108,0.337887,71,-0.08646619,0.21515793,0.0079853,0.02857143,4.17503798,0.51200128,bewegungsbruch
