welt,kerzen,unique_symbols,stable_ratio,carried_unrest_ratio,avg_afterimage,dio_0l7p_count,dio_1wdi_count,dio_14wj_count,dio_1fll_count,lesung
1521_mosaik_1200,1200,85,0.8719,0.1281,0.3666,134,94,65,40,verteilte_mosaik_rollenlandschaft
1524_mosaik_3600,3600,86,0.8703,0.1297,0.4269,402,282,195,120,verteilte_mosaik_rollenlandschaft_mit_staerkerem_nachhall
