mode,count,worlds,movements,phase_hints,avg_return_pct,avg_range_pct,avg_before_pct,avg_after_pct,avg_pressure_abs,avg_rekopplung_abs,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
abverkauf_mit_rekopplung,7,LONG2024_5M_SOL_STRESS_4000:2 | LONG2025_15M_BTC_QUIET_4000:1 | LONG2025_15M_BTC_STRESS_4000:1 | LONG2025_15M_SOL_STRESS_4000:1 | LONG2025_5M_BTC_STRESS_4000:1 | LONG2025_SOL_STRESS_4000:1,rekopplungs_uebergang:7,fallende_rekopplung:7,-16.343053,26.165717,0.287663,-0.604939,0.051619,0.019111,1,0,0,0,0,0,0
abverkauf_mit_bruch,4,SOL_2024_30M:2 | LONG2025_15M_SOL_STRESS_4000:1 | LONG2025_5M_SOL_STRESS_4000:1,offene_uebergangszone:2 | bewegungsbruch_zone:2,offenes_familienfenster:2 | fallender_bruch:2,-15.55323,21.204778,-0.346737,-2.108212,0.063828,0.019154,1,0,0,0,0,0,0
rekopplung_nach_abverkauf,4,BTC_2024_1H:2 | KAS2024_1H_ASSET_PROBE:2,druck_uebergang:1 | offene_uebergangszone:1 | bewegungsbruch_zone:1 | rekopplungs_uebergang:1,erholung_nach_abverkauf:4,59.870493,91.03631,-4.787495,-1.875831,0.091296,0.02023,1,0,0,0,0,0,0
