typology,count,reference_state,sources,worlds,movements,avg_return_pct,avg_range_pct,avg_pressure_abs,avg_rekopplung_abs,note,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
konsolidierung_mit_bruchnaehe,1,known_reference_type,KAS_GEGENPROBE:1,KAS2024_15M_ASSET_PROBE:1,bewegungsbruch_zone:1,0.289687,1.602935,0.043764,0.002671,Konsolidierung zeigt Bruchnaehe oder gespannte Struktur.,1,0,0,0,0,0,0
rekopplung_nach_abverkauf,2,new_or_extended_type,KAS_GEGENPROBE:2,KAS2024_1H_ASSET_PROBE:2,bewegungsbruch_zone:1 | rekopplungs_uebergang:1,47.580748,96.986538,0.085577,0.022225,Nach einem Abverkauf entsteht ein lokales Rekopplungsfenster.,1,0,0,0,0,0,0
