world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
ALTSEQ_2023,dio_00sp,nur_gereift,6,0,6,0.000000,1.000000,0.665463,0.708951,0.184157,1.000000,0.187500
ALTSEQ_2023,dio_0sa1,nur_gereift,3,0,3,0.000000,1.000000,0.636189,0.675899,0.213446,0.361111,0.666667
ALTSEQ_2023,dio_1915,offen_und_gereift,6,1,5,0.166667,0.833333,0.669538,0.711036,0.185850,0.541667,0.500000
ALTSEQ_2023,dio_1lid,nur_offen,2,2,0,1.000000,0.000000,0.577455,0.612740,0.292899,0.000000,0.000000
ALTSEQ_2023,dio_1mj7,nur_gereift,1,0,1,0.000000,1.000000,0.634245,0.681267,0.217186,1.000000,0.000000
ALTSEQ_2023,dio_0vj6,nur_gereift,1,0,1,0.000000,1.000000,0.618289,0.660131,0.221195,1.000000,1.000000
ALTSEQ_2023,dio_0bbk,nur_gereift,1,0,1,0.000000,1.000000,0.590770,0.631126,0.268793,1.000000,0.000000
ALTSEQ_2023,dio_1fe0,nur_gereift,5,0,5,0.000000,1.000000,0.703844,0.751532,0.129292,1.000000,0.250000
ALTSEQ_2023,dio_1cks,nur_gereift,1,0,1,0.000000,1.000000,0.620208,0.660862,0.217919,1.000000,0.000000
ALTSEQ_2023,dio_0bk3,nur_gereift,1,0,1,0.000000,1.000000,0.583754,0.623123,0.275473,1.000000,0.000000
ALTSEQ_2023,dio_1pkp,nur_gereift,1,0,1,0.000000,1.000000,0.596603,0.637547,0.259266,1.000000,1.000000
ALTSEQ_2023,dio_17x3,nur_gereift,3,0,3,0.000000,1.000000,0.667593,0.713743,0.173423,0.694444,0.458333
ALTSEQ_2023,dio_1hw4,nur_gereift,3,0,3,0.000000,1.000000,0.689628,0.737672,0.133250,1.000000,0.333333
ALTSEQ_2023,dio_0u24,offen_und_gereift,7,3,4,0.428571,0.571429,0.708052,0.754258,0.119408,0.619048,0.285714
ALTSEQ_2023,dio_0wvk,nur_gereift,2,0,2,0.000000,1.000000,0.681264,0.731213,0.157968,1.000000,0.500000
ALTSEQ_2023,dio_092o,nur_gereift,2,0,2,0.000000,1.000000,0.645258,0.686242,0.193237,0.541667,0.500000
ALTSEQ_2023,dio_1d3j,nur_offen,1,1,0,1.000000,0.000000,0.557281,0.593213,0.313547,0.000000,0.000000
ALTSEQ_2023,dio_0una,offen_und_gereift,3,1,2,0.333333,0.666667,0.611331,0.649082,0.252079,0.333333,0.333333
ALTSEQ_2023,dio_1tyd,nur_gereift,4,0,4,0.000000,1.000000,0.681480,0.726536,0.149798,1.000000,0.250000
ALTSEQ_2023,dio_0h6t,offen_und_gereift,9,2,7,0.222222,0.777778,0.701509,0.745757,0.134597,0.796296,0.375000
ALTSEQ_2023,dio_19g0,nur_gereift,4,0,4,0.000000,1.000000,0.685871,0.730414,0.164831,0.770833,0.312500
ALTSEQ_2023,dio_00pl,offen_und_gereift,11,8,3,0.727273,0.272727,0.705147,0.748649,0.130309,0.340909,0.011364
ALTSEQ_2023,dio_092h,offen_und_gereift,7,1,6,0.142857,0.857143,0.668349,0.710243,0.198124,0.738095,0.321429
ALTSEQ_2023,dio_0rzl,nur_gereift,1,0,1,0.000000,1.000000,0.670144,0.721575,0.167631,1.000000,1.000000
ALTSEQ_2023,dio_0seu,nur_gereift,4,0,4,0.000000,1.000000,0.710319,0.760413,0.122694,1.000000,0.656250
ALTSEQ_2023,dio_1fx5,nur_gereift,1,0,1,0.000000,1.000000,0.629863,0.678003,0.218366,1.000000,0.000000
ALTSEQ_2023,dio_0zac,nur_gereift,1,0,1,0.000000,1.000000,0.601613,0.646625,0.259478,1.000000,1.000000
ALTSEQ_2023,dio_1un4,offen_und_gereift,5,3,2,0.600000,0.400000,0.634443,0.672511,0.223572,0.233333,0.200000
ALTSEQ_2023,dio_0byp,nur_gereift,1,0,1,0.000000,1.000000,0.643670,0.693470,0.201560,1.000000,0.000000
ALTSEQ_2023,dio_0oiz,nur_gereift,3,0,3,0.000000,1.000000,0.708648,0.759087,0.115023,1.000000,0.375000
ALTSEQ_2023,dio_0a5r,nur_gereift,2,0,2,0.000000,1.000000,0.690549,0.739878,0.138453,1.000000,1.000000
ALTSEQ_2023,dio_1ba6,offen_und_gereift,11,1,10,0.090909,0.909091,0.715450,0.759564,0.119510,0.916667,0.272727
ALTSEQ_2023,dio_0gfm,nur_gereift,2,0,2,0.000000,1.000000,0.707027,0.759427,0.112689,1.000000,1.000000
ALTSEQ_2023,dio_137l,offen_und_gereift,4,1,3,0.250000,0.750000,0.664996,0.704736,0.168610,0.541667,0.250000
ALTSEQ_2023,dio_0g6z,nur_offen,1,1,0,1.000000,0.000000,0.566662,0.606431,0.306134,0.000000,0.000000
ALTSEQ_2023,dio_1rm9,nur_gereift,1,0,1,0.000000,1.000000,0.600291,0.639412,0.244769,1.000000,1.000000
ALTSEQ_2023,dio_1hyc,nur_gereift,1,0,1,0.000000,1.000000,0.616778,0.657515,0.225401,1.000000,0.000000
ALTSEQ_2023,dio_1hq9,nur_gereift,1,0,1,0.000000,1.000000,0.629544,0.673549,0.217442,1.000000,0.000000
ALTSEQ_2023,dio_00cy,offen_und_gereift,6,3,3,0.500000,0.500000,0.714556,0.764411,0.117929,0.569445,0.083333
ALTSEQ_2023,dio_1fxw,nur_gereift,2,0,2,0.000000,1.000000,0.681917,0.729286,0.146097,1.000000,1.000000
ALTSEQ_2023,dio_1vsy,nur_gereift,2,0,2,0.000000,1.000000,0.694191,0.744215,0.126733,1.000000,0.500000
ALTSEQ_2023,dio_1nqd,nur_gereift,2,0,2,0.000000,1.000000,0.634775,0.678443,0.217894,1.000000,0.500000
ALTSEQ_2023,dio_1l8u,nur_gereift,1,0,1,0.000000,1.000000,0.626625,0.669995,0.218157,1.000000,1.000000
ALTSEQ_2023,dio_17dj,nur_gereift,3,0,3,0.000000,1.000000,0.689233,0.737707,0.144817,1.000000,0.000000
ALTSEQ_2023,dio_1on4,nur_gereift,1,0,1,0.000000,1.000000,0.594668,0.635347,0.259434,1.000000,1.000000
ALTSEQ_2023,dio_0odc,nur_gereift,1,0,1,0.000000,1.000000,0.612010,0.653467,0.235978,1.000000,1.000000
ALTSEQ_2023,dio_1stg,nur_gereift,1,0,1,0.000000,1.000000,0.651080,0.699517,0.175781,1.000000,0.000000
ALTSEQ_2023,dio_0mf0,offen_und_gereift,2,1,1,0.500000,0.500000,0.614371,0.650040,0.229964,0.541667,0.000000
ALTSEQ_2023,dio_0f38,nur_gereift,1,0,1,0.000000,1.000000,0.585967,0.626243,0.276798,1.000000,0.000000
ALTSEQ_2023,dio_0y66,nur_gereift,1,0,1,0.000000,1.000000,0.601985,0.641711,0.250254,1.000000,1.000000
ALTSEQ_2023,dio_0j8b,nur_gereift,1,0,1,0.000000,1.000000,0.650541,0.696846,0.178905,1.000000,0.000000
ALTSEQ_2023,dio_1yhs,nur_gereift,2,0,2,0.000000,1.000000,0.667021,0.715712,0.178500,1.000000,0.062500
ALTSEQ_2023,dio_1le1,nur_gereift,1,0,1,0.000000,1.000000,0.696643,0.751843,0.124596,1.000000,1.000000
ALTSEQ_2023,dio_10ef,nur_gereift,3,0,3,0.000000,1.000000,0.709553,0.759829,0.111464,1.000000,0.416667
ALTSEQ_2023,dio_0jt7,nur_gereift,4,0,4,0.000000,1.000000,0.713382,0.762678,0.108924,1.000000,0.312500
ALTSEQ_2023,dio_02el,nur_gereift,3,0,3,0.000000,1.000000,0.626842,0.664698,0.224142,0.527778,1.000000
ALTSEQ_2023,dio_1b3m,offen_und_gereift,8,2,6,0.250000,0.750000,0.672180,0.711178,0.171081,0.541667,0.250000
ALTSEQ_2023,dio_0fju,nur_gereift,2,0,2,0.000000,1.000000,0.676369,0.725639,0.165993,1.000000,0.500000
