world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
NEG_STRESS_2023_FOLLOW,dio_06jk,nur_gereift,18,0,17,0.000000,0.944444,0.699620,0.738261,0.153137,0.944444,0.611111
NEG_STRESS_2023_FOLLOW,dio_0u2x,offen_und_gereift,11,1,9,0.090909,0.818182,0.679355,0.715878,0.171762,0.560606,0.363636
NEG_STRESS_2023_FOLLOW,dio_155c,offen_und_gereift,229,17,211,0.074236,0.921397,0.715363,0.750870,0.156341,0.921761,0.015830
NEG_STRESS_2023_FOLLOW,dio_05yg,offen_und_gereift,50,25,24,0.500000,0.480000,0.689302,0.723145,0.176154,0.295000,0.365000
NEG_STRESS_2023_FOLLOW,dio_0f38,nur_offen,2,2,0,1.000000,0.000000,0.611811,0.653161,0.246304,0.000000,0.062500
NEG_STRESS_2023_FOLLOW,dio_09hj,offen_und_gereift,3,1,2,0.333333,0.666667,0.640511,0.681698,0.210923,0.000000,0.708333
NEG_STRESS_2023_FOLLOW,dio_03og,nur_offen,4,4,0,1.000000,0.000000,0.637217,0.675112,0.213954,0.000000,0.062500
NEG_STRESS_2023_FOLLOW,dio_0g2r,offen_und_gereift,53,47,6,0.886792,0.113208,0.709604,0.747458,0.146221,0.234277,0.054245
NEG_STRESS_2023_FOLLOW,dio_126s,offen_und_gereift,2,1,1,0.500000,0.500000,0.648506,0.693609,0.194068,0.500000,0.062500
NEG_STRESS_2023_FOLLOW,dio_0pq6,offen_und_gereift,20,10,10,0.500000,0.500000,0.700723,0.742221,0.146144,0.508333,0.181250
NEG_STRESS_2023_FOLLOW,dio_1q2r,offen_und_gereift,6,1,5,0.166667,0.833333,0.703587,0.752025,0.133420,0.847222,0.333333
NEG_STRESS_2023_FOLLOW,dio_1pij,offen_und_gereift,17,7,10,0.411765,0.588235,0.677305,0.717638,0.179772,0.553922,0.205882
NEG_STRESS_2023_FOLLOW,dio_00ja,offen_und_gereift,70,55,15,0.785714,0.214286,0.700475,0.734962,0.161133,0.183333,0.073214
NEG_STRESS_2023_FOLLOW,dio_14wj,offen_und_gereift,132,62,70,0.469697,0.530303,0.733545,0.771400,0.125650,0.524621,0.085227
NEG_STRESS_2023_FOLLOW,dio_0u1o,offen_und_gereift,22,13,9,0.590909,0.409091,0.678510,0.716259,0.181761,0.159091,0.363636
NEG_STRESS_2023_FOLLOW,dio_0oc3,offen_und_gereift,67,50,17,0.746269,0.253731,0.696633,0.734156,0.168834,0.354478,0.123134
NEG_STRESS_2023_FOLLOW,dio_06s7,offen_und_gereift,92,73,19,0.793478,0.206522,0.730116,0.769761,0.123219,0.362319,0.009511
NEG_STRESS_2023_FOLLOW,dio_0nlj,offen_und_gereift,42,28,14,0.666667,0.333333,0.734124,0.777506,0.116466,0.426587,0.163690
