phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,auditory_loudness,auditory_softening,auditory_stimulation,visual_salience,visual_sharpness,visual_blur,raw_field_intake,adapted_field_intake,intake_reduction,adaptation_ratio,regulation_damping,adaptation_potential,felt_pressure,felt_relaxation,mcm_tension,mcm_coherence,mcm_asymmetry,auditory_to_field_gap,hoeren_score,sehen_score,feldinput_score,druck_score,strongest_axis,limiting_axis
ruhig,900,0.991111,0.002222,0.001111,0.005556,0.01553,0.035451,0.01553,0.113478,0.839956,0.160044,0.014375,0.013137,0.001238,0.9139,0.080494,0.080494,0.027094,0.882146,0.014375,0.783802,0.006627,0.001155,0.032216,0.273521,0.189739,-0.128333,sehen,adaptation
expansion,900,0.988889,0.007778,0.0,0.003333,0.023145,0.041669,0.023145,0.166938,0.836683,0.163317,0.021224,0.01939,0.001834,0.913583,0.08342,0.08342,0.040294,0.861119,0.021224,0.752663,0.081617,0.001921,0.048211,0.330255,0.209287,-0.029088,sehen,adaptation
unruhe,900,0.98,0.011111,0.0,0.008889,0.019442,0.039612,0.019442,0.187315,0.834055,0.165945,0.020679,0.018892,0.001787,0.913562,0.083875,0.083875,0.043749,0.852744,0.020679,0.738706,-0.011286,0.0,0.038883,0.35326,0.209108,-0.117406,sehen,adaptation
kippnaehe,900,0.958889,0.016667,0.001111,0.023333,0.028639,0.047226,0.028639,0.232599,0.827164,0.172836,0.02785,0.02529,0.00256,0.90809,0.087125,0.087125,0.055425,0.834931,0.02785,0.712329,-0.10146,0.00079,0.058068,0.405435,0.229949,-0.185171,sehen,adaptation
rekopplung,900,0.993333,0.003333,0.001111,0.002222,0.020683,0.039882,0.020683,0.161553,0.836624,0.163376,0.019735,0.018013,0.001722,0.912725,0.082962,0.082962,0.038612,0.863024,0.019735,0.755188,0.043596,0.000948,0.042314,0.324929,0.205394,-0.070662,sehen,adaptation
ruhe_rueckkehr,894,0.996644,0.002237,0.0,0.001119,0.016028,0.036131,0.016028,0.11772,0.839033,0.160967,0.014847,0.013628,0.001218,0.917932,0.080799,0.080799,0.027993,0.88068,0.014847,0.781401,0.002854,0.001181,0.033237,0.278688,0.191292,-0.130442,sehen,adaptation
