worldlage_sequence,scale_presence,scale_count,occurrences_total,multiscale_profile,avg_delta_zentrum_over_scales,avg_delta_rand_over_scales,avg_delta_rekopplung_over_scales,avg_delta_strain_over_scales,passive_only,influences_action,outcome_100,occurrences_100,outcome_200,occurrences_200,outcome_400,occurrences_400
normale_weltspannung->normale_weltspannung,"100,200,400",3,144,skalenabhaengig_neutral_beruhigend,0.007284,-0.00261,0.000799,-0.001101,1,0,neutral,60,neutral,50,beruhigend,34
offen_suchend->normale_weltspannung,"100,200,400",3,60,skalenabhaengig_neutral_beruhigend,0.007167,-0.002271,0.000782,-0.001065,1,0,neutral,32,beruhigend,20,beruhigend,8
normale_weltspannung->offen_suchend,"100,200,400",3,58,skalenabhaengig_neutral_beruhigend,0.006404,-0.003076,0.001132,-0.001517,1,0,neutral,29,beruhigend,19,beruhigend,10
offen_suchend->offen_suchend,"100,200,400",3,49,skalenabhaengig_neutral_beruhigend,0.008829,-0.002349,0.001222,-0.001628,1,0,neutral,30,neutral,12,beruhigend,7
randlastige_sinneslage->normale_weltspannung,"100,200,400",3,33,skalenabhaengig_neutral_beruhigend,0.005121,-0.002836,0.000804,-0.001106,1,0,neutral,19,neutral,10,beruhigend,4
normale_weltspannung->lauter_feldkontakt,"100,200,400",3,32,stabil_neutral,0.007472,-0.002671,0.000858,-0.001218,1,0,neutral,18,neutral,10,neutral,4
normale_weltspannung->randlastige_sinneslage,"100,200,400",3,31,stabil_beruhigend,0.006426,-0.013652,0.001277,-0.001756,1,0,beruhigend,17,beruhigend,10,beruhigend,4
lauter_feldkontakt->lauter_feldkontakt,"100,200,400",3,30,skalenabhaengig_neutral_beruhigend,0.006001,-0.003413,0.000837,-0.001185,1,0,neutral,19,beruhigend,7,beruhigend,4
randlastige_sinneslage->offen_suchend,"100,200,400",3,29,skalenabhaengig_neutral_beruhigend,0.007917,-0.003352,0.001273,-0.001702,1,0,neutral,16,beruhigend,11,beruhigend,2
lauter_feldkontakt->normale_weltspannung,"100,200,400",3,27,skalenabhaengig_neutral_beruhigend,0.006554,-0.002874,0.000772,-0.001079,1,0,neutral,14,beruhigend,9,beruhigend,4
offen_suchend->randlastige_sinneslage,"100,200,400",3,26,stabil_beruhigend,0.007156,-0.010781,0.001535,-0.002106,1,0,beruhigend,14,beruhigend,9,beruhigend,3
randlastige_sinneslage->randlastige_sinneslage,"100,200,400",3,22,stabil_beruhigend,0.005385,-0.012312,0.001244,-0.001715,1,0,beruhigend,13,beruhigend,7,beruhigend,2
normale_weltspannung->ruhig_zentrumsnah,"100,200,400",3,16,stabil_neutral,0.010385,0.0,0.000484,-0.000674,1,0,neutral,13,neutral,2,neutral,1
leise_duenn->normale_weltspannung,"100,200,400",3,15,skalenabhaengig_neutral_beruhigend,0.006278,-0.002204,0.000813,-0.001103,1,0,neutral,9,beruhigend,5,beruhigend,1
normale_weltspannung->leise_duenn,"100,200,400",3,11,stabil_neutral,0.0075,-0.000417,0.000793,-0.001026,1,0,neutral,8,neutral,2,neutral,1
randlastige_sinneslage->lauter_feldkontakt,"100,200,400",3,9,skalenabhaengig_neutral_beruhigend,0.009333,-0.004111,0.000839,-0.001183,1,0,neutral,5,beruhigend,3,beruhigend,1
lauter_feldkontakt->offen_suchend,"100,200,400",3,7,skalenabhaengig_neutral_beruhigend,0.001667,-0.000833,0.001164,-0.001557,1,0,neutral,4,neutral,1,beruhigend,2
leise_duenn->leise_duenn,"100,200,400",3,6,skalenabhaengig_neutral_beruhigend,0.003611,-0.002778,0.000812,-0.001057,1,0,neutral,3,beruhigend,2,beruhigend,1
lauter_feldkontakt->randlastige_sinneslage,"100,200",2,17,stabil_beruhigend,0.007583,-0.012,0.001102,-0.001562,1,0,beruhigend,12,beruhigend,5,-,0
ruhig_zentrumsnah->normale_weltspannung,"100,400",2,15,skalenabhaengig_neutral_beruhigend,0.008928,-0.002857,0.000682,-0.000946,1,0,neutral,14,-,0,beruhigend,1
offen_suchend->leise_duenn,"100,200",2,7,stabil_neutral,0.00425,-0.001,0.000792,-0.001027,1,0,neutral,5,neutral,2,-,0
ruhig_zentrumsnah->lauter_feldkontakt,"100,200",2,5,skalenabhaengig_neutral_beruhigend,0.002916,-0.002916,0.000705,-0.000991,1,0,neutral,3,beruhigend,2,-,0
lauter_feldkontakt->ruhig_zentrumsnah,"100,200",2,4,stabil_neutral,0.004167,-0.001667,0.000452,-0.000636,1,0,neutral,3,neutral,1,-,0
normale_weltspannung->leise_scharf_duenn,"100,200",2,4,stabil_neutral,0.001667,0.0,0.00053,-0.000701,1,0,neutral,3,neutral,1,-,0
leise_scharf_duenn->normale_weltspannung,"100,200",2,2,stabil_neutral,0.0,0.0,0.000532,-0.000751,1,0,neutral,1,neutral,1,-,0
offen_suchend->ruhig_zentrumsnah,100,1,8,stabil_neutral,0.0075,0.0,0.000525,-0.00073,1,0,neutral,8,-,0,-,0
leise_duenn->offen_suchend,100,1,7,stabil_neutral,0.004286,-0.004286,0.001276,-0.001699,1,0,neutral,7,-,0,-,0
ruhig_zentrumsnah->offen_suchend,100,1,6,stabil_beruhigend,0.001667,-0.005,0.001263,-0.001703,1,0,beruhigend,6,-,0,-,0
offen_suchend->lauter_feldkontakt,100,1,3,stabil_beruhigend,0.01,-0.01,0.001221,-0.001695,1,0,beruhigend,3,-,0,-,0
randlastige_sinneslage->leise_duenn,100,1,3,stabil_neutral,0.016667,-0.003333,0.000899,-0.001182,1,0,neutral,3,-,0,-,0
randlastige_sinneslage->ruhig_zentrumsnah,100,1,3,stabil_neutral,0.016667,0.0,0.000536,-0.000745,1,0,neutral,3,-,0,-,0
ruhig_zentrumsnah->leise_duenn,100,1,3,stabil_neutral,0.006667,-0.003333,0.000925,-0.001218,1,0,neutral,3,-,0,-,0
ruhig_zentrumsnah->ruhig_zentrumsnah,100,1,3,stabil_neutral,0.01,0.0,0.000424,-0.000612,1,0,neutral,3,-,0,-,0
leise_duenn->leise_scharf_duenn,100,1,2,gemischt,0.0,-0.005,0.00045,-0.000633,1,0,stabil_leicht,2,-,0,-,0
leise_duenn->randlastige_sinneslage,100,1,2,stabil_neutral,0.015,-0.01,0.001051,-0.001411,1,0,neutral,2,-,0,-,0
leise_scharf_duenn->leise_duenn,100,1,2,stabil_neutral,0.0,0.0,0.000868,-0.001153,1,0,neutral,2,-,0,-,0
ruhig_zentrumsnah->randlastige_sinneslage,100,1,2,stabil_beruhigend,0.015,-0.02,0.001128,-0.001612,1,0,beruhigend,2,-,0,-,0
lauter_feldkontakt->leise_duenn,400,1,1,stabil_neutral,0.005,0.0,0.000626,-0.000794,1,0,-,0,-,0,neutral,1
leise_duenn->lauter_feldkontakt,400,1,1,stabil_beruhigend,0.0,-0.01,0.000817,-0.001176,1,0,-,0,-,0,beruhigend,1
leise_duenn->ruhig_zentrumsnah,100,1,1,stabil_neutral,0.0,0.0,0.000404,-0.000559,1,0,neutral,1,-,0,-,0
