world,episodes,open_share,target_count,target_share,target_share_of_open,target_symbol_variants,target_top_symbol,top_preview,target_center,target_open,target_rand,target_rekopplung,target_strain,target_sensory,target_visual_gap,target_hearing_gap
BTC2024_5M,1994,0.132397,779,0.390672,0.382576,736,dio_08fz (4/779),dio_mcm_episode_1t5bcxp (779/1994),655,101,23,0.647836,0.180322,0.866578,0.060714,0.079514
BTC2024_15M,1994,0.111334,700,0.351053,0.342342,658,dio_1f77 (4/700),dio_mcm_episode_183drjy (705/1994),588,76,36,0.646058,0.181813,0.864507,0.059538,0.085448
BTC2024_1H,1994,0.138917,936,0.469408,0.516245,874,dio_1xk5 (5/936),dio_mcm_episode_1t5bcxp (936/1994),753,143,40,0.647407,0.181295,0.866960,0.060020,0.082056
SOL2024_5M,1994,0.145436,1700,0.852558,0.824138,1545,dio_0r0t (6/1700),dio_mcm_episode_1t5bcxp (1700/1994),1399,239,62,0.646273,0.184923,0.866296,0.061982,0.081537
SOL2024_15M,1994,0.148947,1047,0.525075,0.565657,991,dio_1pgl (4/1047),dio_mcm_episode_1t5bcxp (1047/1994),837,168,42,0.644591,0.186404,0.862968,0.064998,0.084730
SOL2024_1H,1994,0.151454,1444,0.724173,0.754967,1340,dio_1xk5 (4/1444),dio_mcm_episode_1t5bcxp (1444/1994),1159,228,57,0.644278,0.186149,0.862920,0.061394,0.089243
KAS2024_5M,1994,0.157472,1195,0.599298,0.652866,1139,dio_0jsu (3/1195),dio_mcm_episode_1t5bcxp (1195/1994),950,205,40,0.645651,0.187118,0.865427,0.062274,0.084553
KAS2024_15M,1994,0.154463,1629,0.816951,0.795455,1466,dio_07fe (4/1629),dio_mcm_episode_1t5bcxp (1629/1994),1324,245,60,0.646740,0.183749,0.865195,0.063421,0.082947
KAS2024_1H,1994,0.155968,1794,0.899699,0.868167,1637,dio_0w4h (4/1794),dio_mcm_episode_1t5bcxp (1794/1994),1451,270,73,0.645495,0.184328,0.864947,0.060940,0.084284
STABLE10K,9994,0.127877,2599,0.260056,0.317684,2308,dio_16vq (5/2599),dio_mcm_episode_183drjy (6107/9994),2085,406,108,0.648933,0.184893,0.866200,0.060009,0.087210
STRESS10K,9994,0.127777,2960,0.296178,0.339076,2543,dio_1duy (8/2960),dio_mcm_episode_183drjy (5933/9994),2408,433,119,0.648979,0.182718,0.865204,0.062145,0.083243
EXPANSION10K,9994,0.138983,2002,0.200320,0.234701,1849,dio_1vld (4/2002),dio_mcm_episode_183drjy (5779/9994),1589,326,87,0.648920,0.187142,0.862994,0.064916,0.089525
