token,short_token,base_class,compare_class,base_weight,compare_weight,base_duration,compare_duration,role_changed,migration,weight_delta,duration_delta
dio_mcm_episode_0ykar6i,0ykar6i,schwacher_anschluss,brueckenkern,3,215,699.666667,71.018605,1,rolle_verdichtet,212,-628.648062
dio_mcm_episode_0b7nep9,0b7nep9,starker_anschlussanker,brueckenkern,35,228,470.942857,85.149123,1,rolle_verdichtet,193,-385.793734
dio_mcm_episode_1jx2k4i,1jx2k4i,starker_anschlussanker,brueckenkern,33,115,133.181818,66.347826,1,rolle_verdichtet,82,-66.833992
dio_mcm_episode_14coypf,14coypf,-,brueckenkern,0,57,0,100.070175,1,neue_rolle,57,100.070175
dio_mcm_episode_1jwnjz4,1jwnjz4,schwacher_anschluss,starker_anschlussanker,13,59,20.230769,94.762712,1,rolle_verdichtet,46,74.531943
dio_mcm_episode_0ybr5e3,0ybr5e3,-,starker_anschlussanker,0,41,0,112.365854,1,neue_rolle,41,112.365854
dio_mcm_episode_1xx3u1e,1xx3u1e,lokaler_anschlussanker,brueckenkern,12,49,15.000000,125.081633,1,rolle_verdichtet,37,110.081633
dio_mcm_episode_1ahj81f,1ahj81f,schwacher_anschluss,starker_anschlussanker,1,30,32.000000,15.066667,1,rolle_verdichtet,29,-16.933333
dio_mcm_episode_1eju9g0,1eju9g0,-,schwacher_anschluss,0,20,0,42.150000,1,neue_rolle,20,42.150000
dio_mcm_episode_077r0df,077r0df,schwacher_anschluss,lokaler_anschlussanker,1,16,3.000000,10.000000,1,rolle_verdichtet,15,7.000000
dio_mcm_episode_0wjn8vm,0wjn8vm,-,lokaler_anschlussanker,0,14,0,310.285714,1,neue_rolle,14,310.285714
dio_mcm_episode_14l8khu,14l8khu,-,lokaler_anschlussanker,0,13,0,37.461539,1,neue_rolle,13,37.461539
dio_mcm_episode_1q3us3f,1q3us3f,lokaler_anschlussanker,starker_anschlussanker,26,39,57.269231,59.589744,1,rolle_verdichtet,13,2.320513
