world;source_debug;start_tick;end_tick;duration;pressure_threshold_p90;alignment_threshold_p10;avg_pressure;avg_alignment;avg_asymmetry;avg_coherence;avg_strain;avg_rekopplung;pre8_rekopplung;post8_rekopplung;pre8_strain;post8_strain;dominant_effect;dominant_family;dominant_mcm_episode_preview;post_state
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1688;1688;1;0.3053075999999999;0.7571242;0.354432;0.501793;0.1342;0.243667;0.259304;0.606996;0.626358625;0.626176625;0.223628875;0.221391;tragend_unruhig;dio_020s;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1691;1691;1;0.3053075999999999;0.7571242;0.330703;0.650649;0.055017;0.243506;0.236851;0.613455;0.6227015;0.6232405;0.233608375;0.22779449999999998;tragend_unruhig;dio_0su0;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1695;1695;1;0.3053075999999999;0.7571242;0.403677;0.752317;-0.212872;0.517412;0.321791;0.570383;0.629827875;0.635344375;0.213665875;0.20808237499999999;kippend;dio_18bw;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1698;1698;1;0.3053075999999999;0.7571242;0.425336;0.694451;-0.146988;0.327689;0.257439;0.617621;0.622742;0.639284375;0.22512237499999999;0.2020845;tragend_unruhig;dio_1z0f;dio_mcm_episode_1t5bcxp;rekoppelt_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1713;1713;1;0.3053075999999999;0.7571242;0.341429;0.684143;-0.081476;0.428221;0.262764;0.609329;0.64052475;0.64495475;0.21013425;0.189143125;tragend_unruhig;dio_0nvo;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1739;1739;1;0.3053075999999999;0.7571242;0.357356;0.632332;0.030443;0.423642;0.290716;0.592137;0.664942125;0.657019875;0.162315625;0.17078125;kippend;dio_06le;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1761;1762;2;0.3053075999999999;0.7571242;0.46260249999999997;0.641761;0.220381;0.336078;0.302467;0.5949154999999999;0.654575375;0.640058125;0.186132375;0.19544575;kippend;dio_02yl;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1781;1781;1;0.3053075999999999;0.7571242;0.400052;0.603662;0.105942;0.280367;0.303763;0.579496;0.648236875;0.6492795;0.19051075;0.18462875;kippend;dio_15ho;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1784;1784;1;0.3053075999999999;0.7571242;0.323468;0.70385;-0.0359;0.502905;0.271645;0.603136;0.641183375;0.6487745;0.198423875;0.18314025;tragend_unruhig;dio_0hb5;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1794;1794;1;0.3053075999999999;0.7571242;0.383048;0.626036;0.027946;0.338613;0.295502;0.585652;0.648599625;0.64369875;0.181612125;0.185659875;kippend;dio_19cr;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1813;1813;1;0.3053075999999999;0.7571242;0.396564;0.754096;0.45207;0.468924;0.264734;0.61768;0.654619625;0.638738375;0.179721875;0.202207;tragend_unruhig;dio_1dq3;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1838;1838;1;0.3053075999999999;0.7571242;0.343672;0.674976;-0.044275;0.483467;0.281778;0.598985;0.664710875;0.6489858749999999;0.167092375;0.186828125;kippend;dio_1ann;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1905;1905;1;0.3053075999999999;0.7571242;0.432453;0.540636;0.209034;0.182;0.326811;0.56244;0.663086375;0.639267875;0.17277525;0.199411;gespannt;dio_1e8e;dio_mcm_episode_0kvu3mb;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1914;1914;1;0.3053075999999999;0.7571242;0.333132;0.73073;-0.295889;0.355502;0.24628;0.612523;0.639267875;0.64753475;0.199411;0.182444125;tragend_unruhig;dio_1wsd;dio_mcm_episode_1y00xwb;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;1927;1927;1;0.3053075999999999;0.7571242;0.362564;0.734412;-0.296609;0.352868;0.260027;0.605544;0.639451;0.63488325;0.196832875;0.206182875;tragend_unruhig;dio_0poe;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2013;2013;1;0.3053075999999999;0.7571242;0.321653;0.668991;0.037577;0.47033;0.272426;0.602085;0.654886;0.64623275;0.177324875;0.197751875;tragend_unruhig;dio_089a;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2023;2023;1;0.3053075999999999;0.7571242;0.366212;0.743272;0.352262;0.444876;0.252548;0.623979;0.644629375;0.64741675;0.194347875;0.191741375;tragend_unruhig;dio_01n5;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2131;2131;1;0.3053075999999999;0.7571242;0.458087;0.474505;0.1015;0.240118;0.343246;0.561837;0.648308;0.645575125;0.19014525;0.20362225;kippend;dio_1ry6;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2174;2174;1;0.3053075999999999;0.7571242;0.366228;0.623487;0.019647;0.411788;0.297303;0.620477;0.6654765;0.63910975;0.152026375;0.20191975;kippend;dio_0f7f;dio_mcm_episode_1t5bcxp;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2177;2177;1;0.3053075999999999;0.7571242;0.372464;0.677764;0.041577;0.331854;0.291702;0.581804;0.6607335;0.648722375;0.174431125;0.190675375;kippend;dio_1pcz;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2258;2258;1;0.3053075999999999;0.7571242;0.664852;0.471254;-0.219214;0.093356;0.447524;0.499256;0.6440859999999999;0.62732625;0.193724375;0.23069762500000002;gespannt;dio_0mzr;dio_mcm_episode_0ntfpdc;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2260;2261;2;0.3053075999999999;0.7571242;0.4774735;0.41161000000000003;-0.208301;0.09695999999999999;0.2978535;0.5899955;0.626293875;0.6518035;0.23317625;0.192367;kippend;dio_12d7;dio_mcm_episode_1adxznm;rekoppelt_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2270;2270;1;0.3053075999999999;0.7571242;0.446339;0.754287;0.221005;0.385313;0.302803;0.585548;0.6518035;0.62700175;0.192367;0.219105625;kippend;dio_0uqg;dio_mcm_episode_1se7ta6;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2279;2279;1;0.3053075999999999;0.7571242;0.318482;0.65129;-0.016226;0.272164;0.234445;0.614923;0.62700175;0.628797875;0.219105625;0.207125125;tragend_unruhig;dio_0zj7;dio_mcm_episode_02xikfk;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2281;2281;1;0.3053075999999999;0.7571242;0.305791;0.689282;-0.067608;0.277472;0.228424;0.616415;0.63151325;0.63262375;0.216245625;0.197844;tragend_unruhig;dio_1d6l;dio_mcm_episode_02xikfk;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2301;2301;1;0.3053075999999999;0.7571242;0.335293;0.514712;0.142999;0.273347;0.253489;0.610113;0.649022;0.630295125;0.198858375;0.211300375;tragend_unruhig;dio_0inl;dio_mcm_episode_02xikfk;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2366;2366;1;0.3053075999999999;0.7571242;0.327968;0.646375;0.053329;0.288107;0.230472;0.621952;0.6517775;0.63582225;0.182866;0.197615875;tragend_unruhig;dio_1urp;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2432;2432;1;0.3053075999999999;0.7571242;0.364603;0.747473;0.117532;0.332454;0.245148;0.62027;0.666872875;0.644820125;0.1598775;0.191229375;tragend_unruhig;dio_1nsi;dio_mcm_episode_1t5bcxp;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2438;2438;1;0.3053075999999999;0.7571242;0.322385;0.693788;0.044972;0.428167;0.267401;0.601189;0.651447875;0.657064625;0.18549725;0.180924625;tragend_unruhig;dio_16oy;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2462;2462;1;0.3053075999999999;0.7571242;0.355276;0.738881;0.010009;0.42207;0.282185;0.590822;0.6569566250000001;0.648540125;0.16877675;0.1910615;kippend;dio_0bsx;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2483;2483;1;0.3053075999999999;0.7571242;0.358919;0.664561;0.248849;0.232681;0.267919;0.593836;0.65087525;0.647994;0.182535;0.182616875;tragend_unruhig;dio_16mr;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2522;2522;1;0.3053075999999999;0.7571242;0.450697;0.539282;0.083833;0.23716;0.339202;0.558715;0.64755075;0.648775;0.181432375;0.175866625;kippend;dio_1anz;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2539;2539;1;0.3053075999999999;0.7571242;0.316486;0.739326;0.033672;0.433837;0.267088;0.596397;0.655618625;0.64064225;0.175349125;0.196540125;tragend_unruhig;dio_0azg;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2569;2569;1;0.3053075999999999;0.7571242;0.319071;0.706139;-0.051365;0.370718;0.231287;0.623648;0.649896375;0.6343825;0.192558375;0.20467;tragend_unruhig;dio_1vkq;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2738;2738;1;0.3053075999999999;0.7571242;0.342842;0.719197;0.052708;0.405149;0.246567;0.622846;0.676324125;0.660588625;0.141277125;0.17135625;tragend_unruhig;dio_0bsx;dio_mcm_episode_1t5bcxp;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2773;2773;1;0.3053075999999999;0.7571242;0.445245;0.699049;0.516864;0.486604;0.295554;0.605842;0.649740125;0.64183925;0.172439;0.1913465;kippend;dio_1gkb;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2834;2835;2;0.3053075999999999;0.7571242;0.462648;0.6891965;0.1602595;0.262301;0.30208650000000004;0.5866585;0.659417875;0.63959975;0.163807125;0.199290375;gespannt;dio_02j7;dio_mcm_episode_0u1du0f;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2848;2848;1;0.3053075999999999;0.7571242;0.346488;0.723117;-0.118375;0.339457;0.253067;0.605846;0.642755375;0.625129125;0.19625375;0.226854125;tragend_unruhig;dio_0uo8;dio_mcm_episode_0vkdfwc;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2855;2855;1;0.3053075999999999;0.7571242;0.305759;0.678783;-0.248462;0.307654;0.258005;0.592618;0.629715625;0.634500375;0.22318949999999999;0.209798125;tragend_unruhig;dio_10gl;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2876;2876;1;0.3053075999999999;0.7571242;0.307345;0.699265;-0.058351;0.406435;0.245632;0.612327;0.664062375;0.639852125;0.170287875;0.197813375;tragend_unruhig;dio_1jvf;dio_mcm_episode_1t5bcxp;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;2939;2939;1;0.3053075999999999;0.7571242;0.471259;0.529915;0.174214;0.294652;0.335906;0.572077;0.6483615;0.62727425;0.192373125;0.217387875;kippend;dio_0qnv;dio_mcm_episode_1t5bcxp;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3002;3002;1;0.3053075999999999;0.7571242;0.329857;0.654669;-0.009579;0.443624;0.262083;0.612546;0.658438875;0.668289375;0.177305375;0.158036375;tragend_unruhig;dio_0rg3;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3068;3068;1;0.3053075999999999;0.7571242;0.376024;0.719233;0.298173;0.298844;0.267724;0.59927;0.663195375;0.655434125;0.16420425;0.1757845;tragend_unruhig;dio_1l0o;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3080;3080;1;0.3053075999999999;0.7571242;0.387247;0.581395;0.071614;0.351758;0.304642;0.584199;0.6634415;0.65638425;0.164744;0.17103325;kippend;dio_0ymu;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3128;3128;1;0.3053075999999999;0.7571242;0.345293;0.665196;0.007025;0.428619;0.27927;0.597623;0.662644625;0.650538375;0.163659625;0.18153025;tragend_unruhig;dio_0isn;dio_mcm_episode_183drjy;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3135;3135;1;0.3053075999999999;0.7571242;0.318021;0.723618;0.023863;0.454104;0.268559;0.599202;0.65022575;0.65565875;0.183291;0.172618;tragend_unruhig;dio_1abh;dio_mcm_episode_183drjy;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3209;3209;1;0.3053075999999999;0.7571242;0.377939;0.62475;0.115446;0.300092;0.298151;0.579283;0.6457437500000001;0.6609262499999999;0.183839375;0.169587;kippend;dio_0kil;dio_mcm_episode_183drjy;rekoppelt_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3251;3251;1;0.3053075999999999;0.7571242;0.420511;0.643835;0.352898;0.303626;0.309548;0.576778;0.67302175;0.655089875;0.150656875;0.177155125;kippend;dio_0jc3;dio_mcm_episode_183drjy;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3266;3266;1;0.3053075999999999;0.7571242;0.321342;0.674525;0.029622;0.462479;0.267812;0.606147;0.646892375;0.656283875;0.184633;0.184760125;tragend_unruhig;dio_1dod;dio_mcm_episode_183drjy;offen_getragen_nach_kontaktinsel
