adaptation_label,worlds,known_ticks,applied_ticks,dominant_outcome,adaptation_quality,avg_delta_zentrum,avg_delta_rand,avg_delta_rekopplung,avg_delta_strain,avg_delta_raw_field,avg_delta_auditory,avg_delta_visual,outcome_counts,passive_only,influences_action
achsenweise_rezeptorhaltung_gold_kontrast,3,11657,11657,beruhigend,0.783333,0.006645,-0.001571,0.000839,-0.001153,-0.004403,-0.005024,0.004034,beruhigend:2;neutral:1,1,0
achsenweise_rezeptorhaltung_leise_assetnaehe,2,2096,2096,beruhigend,1.0,0.01425,-0.00375,0.001141,-0.001559,-0.005464,-0.006264,0.006342,beruhigend:2,1,0
achsenweise_rezeptorhaltung_markt_weltspur,13,40895,40895,beruhigend,1.0,0.007277,-0.004245,0.001028,-0.001411,-0.004915,-0.005649,0.005313,beruhigend:13,1,0
achsenweise_rezeptorhaltung_ruhig_stabil,2,10473,10473,beruhigend,1.0,0.0085,-0.0039,0.001058,-0.001452,-0.005055,-0.005832,0.005428,beruhigend:2,1,0
achsenweise_rezeptorhaltung_sinneswiderspruch,7,42985,42985,neutral,0.4,0.000561,-0.004811,0.000253,-0.000365,-0.001411,-0.001355,0.000598,neutral:6;stabil_leicht:1,1,0
achsenweise_rezeptorhaltung_stress_last,2,10315,10315,beruhigend,1.0,0.0086,-0.00405,0.001021,-0.001401,-0.004904,-0.005648,0.005313,beruhigend:2,1,0
