short_token,base_class,compare_class,condensation_stage,first_shift,base_segments,base_first_tick,base_last_tick,base_duration_sum,base_avg_duration,base_max_duration,base_worlds,base_dominant_world,compare_segments,compare_first_tick,compare_last_tick,compare_duration_sum,compare_avg_duration,compare_max_duration,compare_worlds,compare_dominant_world
0b7nep9,starker_anschlussanker,brueckenkern,kernverdichtung_stark_zu_kern,both_landscapes,18,2951,9994,8503.000000,472.388889,2034.000000,EXPANSION2023|QUIET2026|STRESS2025,STRESS2025,70,2063,8714,7547.000000,107.814286,1064.000000,DOGE_2024_5M|DOGE_2025_5M|PAXG_2025_5M|XRP_2024_5M|XRP_2025_5M,DOGE_2024_5M
1al8fjz,schwacher_anschluss,lokaler_anschlussanker,vorreifung_schwach_zu_lokal,both_landscapes,3,6,8,5.000000,1.666667,3.000000,BTC2024|SOL2024,BTC2024,7,6,8,11.000000,1.571429,3.000000,BTC_2024_5M|DOGE_2025_5M|SOL_2024_5M|XRP_2024_5M|XRP_2025_5M,BTC_2024_5M
1xx3u1e,lokaler_anschlussanker,brueckenkern,kernverdichtung_lokal_zu_kern,both_landscapes,6,8821,9731,90.000000,15.000000,69.000000,EXPANSION2023|STRESS2025,EXPANSION2023,23,4817,9437,3060.000000,133.043478,1245.000000,DOGE_2024_5M|PAXG_2025_5M|XRP_2024_5M|XRP_2025_5M,PAXG_2025_5M
0ykar6i,schwacher_anschluss,brueckenkern,direktsprung_schwach_zu_kern,compare_only,0,0,0,0.000000,0.000000,0.000000,,,64,2063,9994,3556.000000,55.562500,944.000000,DOGE_2024_5M|PAXG_2025_5M|XRP_2024_5M|XRP_2025_5M,DOGE_2024_5M
0z748ck,lokaler_anschlussanker,brueckenkern,kernverdichtung_lokal_zu_kern,compare_only,0,0,0,0.000000,0.000000,0.000000,,,7,418,7106,20.000000,2.857143,3.000000,DOGE_2024_5M|DOGE_2025_5M|PAXG_2024_5M|SOL_2024_5M|XRP_2025_5M,DOGE_2024_5M
1jx2k4i,starker_anschlussanker,brueckenkern,kernverdichtung_stark_zu_kern,compare_only,0,0,0,0.000000,0.000000,0.000000,,,40,15,1023,1021.000000,25.525000,359.000000,BTC_2024_5M|KAS_2024_5M|PAXG_2024_5M|SOL_2024_5M|XRP_2024_5M|XRP_2025_5M,KAS_2024_5M
077r0df,schwacher_anschluss,lokaler_anschlussanker,vorreifung_schwach_zu_lokal,detaildaten_fehlend,0,0,0,0.000000,0.000000,0.000000,,,0,0,0,0.000000,0.000000,0.000000,,
0geqqo3,schwacher_anschluss,lokaler_anschlussanker,vorreifung_schwach_zu_lokal,detaildaten_fehlend,0,0,0,0.000000,0.000000,0.000000,,,0,0,0,0.000000,0.000000,0.000000,,
0w4x7xs,schwacher_anschluss,lokaler_anschlussanker,vorreifung_schwach_zu_lokal,detaildaten_fehlend,0,0,0,0.000000,0.000000,0.000000,,,0,0,0,0.000000,0.000000,0.000000,,
1ahj81f,schwacher_anschluss,starker_anschlussanker,sprung_schwach_zu_stark,detaildaten_fehlend,0,0,0,0.000000,0.000000,0.000000,,,0,0,0,0.000000,0.000000,0.000000,,
1jwnjz4,schwacher_anschluss,starker_anschlussanker,sprung_schwach_zu_stark,detaildaten_fehlend,0,0,0,0.000000,0.000000,0.000000,,,0,0,0,0.000000,0.000000,0.000000,,
1q3us3f,lokaler_anschlussanker,starker_anschlussanker,reifung_lokal_zu_stark,detaildaten_fehlend,0,0,0,0.000000,0.000000,0.000000,,,0,0,0,0.000000,0.000000,0.000000,,
