token,class_864,class_868,relation,movement_864,movement_868,zone_864,zone_868,world_delta_864,world_delta_868,rekopplung_delta_864,rekopplung_delta_868,strain_delta_864,strain_delta_868,loudness_delta_864,loudness_delta_868,visual_blur_delta_864,visual_blur_delta_868
dio_mcm_episode_0l3i7ey,junge_oberflaeche,brueckenpfad,junge_spur_reift,verjuengung_oberflaeche,stabil,junge_spur,hoeherer_cluster_uebergang,-1,0,0.038824,0.011362,-0.049927,-0.001322,-0.096738,-0.015423,-0.220094,-0.029447
dio_mcm_episode_0mvjoir,junge_oberflaeche,brueckenpfad,junge_spur_reift,stabil,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,0,2,0.009948,0.003687,0.002051,-0.00416,-0.01994,-0.048486,0.066616,-0.06082
dio_mcm_episode_0rsf867,junge_oberflaeche,rekoppelnder_pfad,junge_spur_reift,stabil,reifung_oder_verdichtung,junge_spur,rekopplungszone,0,0,-0.025253,-0.013594,0.034054,0.003764,0.221667,0.072303,-0.004146,0.068042
dio_mcm_episode_1f4jh6c,junge_oberflaeche,rekoppelnder_pfad,junge_spur_reift,verjuengung_oberflaeche,reifung_oder_verdichtung,junge_spur,rekopplungszone,0,0,0.024488,0.03858,0.008886,-0.02387,0.022421,-0.06101,-0.065072,-0.168919
dio_mcm_episode_1fx4022,junge_oberflaeche,rekoppelnder_pfad,junge_spur_reift,stabil,reifung_oder_verdichtung,junge_spur,rekopplungszone,0,1,0.024095,0.016105,-0.026715,-0.01787,-0.134389,-0.113216,-0.191719,-0.138542
dio_mcm_episode_0om13wf,-,brueckenpfad,neu_aufgetaucht,-,stabil,-,hoeherer_cluster_uebergang,0,0,0.0,0.00573,0.0,0.00624,0.0,0.046884,0.0,-0.086113
dio_mcm_episode_1hs3jsa,-,brueckenpfad,neu_aufgetaucht,-,reifung_oder_verdichtung,-,rekopplungszone,0,-1,0.0,-0.000822,0.0,0.001783,0.0,0.014636,0.0,-0.009744
dio_mcm_episode_08ubq99,-,junge_oberflaeche,neu_aufgetaucht,-,stabil,-,junge_spur,0,0,0.0,-0.092245,0.0,0.029834,0.0,0.181297,0.0,-0.1235
dio_mcm_episode_0i5xsu7,-,junge_oberflaeche,neu_aufgetaucht,-,stabil,-,junge_spur,0,0,0.0,0.017007,0.0,-0.018691,0.0,-0.026044,0.0,0.102653
dio_mcm_episode_0iiok1d,-,junge_oberflaeche,neu_aufgetaucht,-,stabil,-,junge_spur,0,0,0.0,-0.015768,0.0,0.056952,0.0,0.227016,0.0,0.248082
dio_mcm_episode_0ml8r41,-,junge_oberflaeche,neu_aufgetaucht,-,verjuengung_oberflaeche,-,junge_spur,0,0,0.0,0.062797,0.0,-0.042926,0.0,-0.261889,0.0,0.002004
dio_mcm_episode_0mvt50o,-,junge_oberflaeche,neu_aufgetaucht,-,verjuengung_oberflaeche,-,junge_spur,0,-1,0.0,-0.012474,0.0,0.001532,0.0,0.037539,0.0,0.053287
dio_mcm_episode_0r1o8ja,-,junge_oberflaeche,neu_aufgetaucht,-,verjuengung_oberflaeche,-,junge_spur,0,-1,0.0,-0.028504,0.0,0.031723,0.0,-0.003418,0.0,0.038431
dio_mcm_episode_0y1i8dq,-,junge_oberflaeche,neu_aufgetaucht,-,stabil,-,junge_spur,0,0,0.0,-0.029794,0.0,-0.012587,0.0,-0.017078,0.0,0.084867
dio_mcm_episode_0ybhu2p,-,junge_oberflaeche,neu_aufgetaucht,-,verjuengung_oberflaeche,-,junge_spur,0,-1,0.0,-0.0651,0.0,0.070455,0.0,-0.037768,0.0,0.127367
dio_mcm_episode_1i31hl0,-,junge_oberflaeche,neu_aufgetaucht,-,verjuengung_oberflaeche,-,junge_spur,0,0,0.0,-0.029858,0.0,0.02989,0.0,-0.08532,0.0,0.152314
dio_mcm_episode_1morx8x,-,junge_oberflaeche,neu_aufgetaucht,-,stabil,-,junge_spur,0,0,0.0,0.01616,0.0,-0.025982,0.0,-0.022922,0.0,-0.07845
dio_mcm_episode_1vprn0y,-,junge_oberflaeche,neu_aufgetaucht,-,verjuengung_oberflaeche,-,junge_spur,0,-1,0.0,0.003319,0.0,-0.001662,0.0,0.002127,0.0,-0.30683
dio_mcm_episode_1xp8xyu,-,junge_oberflaeche,neu_aufgetaucht,-,verjuengung_oberflaeche,-,junge_spur,0,0,0.0,0.013717,0.0,-0.015488,0.0,-0.152373,0.0,-0.178709
dio_mcm_episode_1y1l1za,-,junge_oberflaeche,neu_aufgetaucht,-,stabil,-,junge_spur,0,0,0.0,0.088616,0.0,-0.070196,0.0,-0.393153,0.0,-0.179734
dio_mcm_episode_0khjbll,-,offener_driftpfad,neu_aufgetaucht,-,oeffnung_oder_drift,-,offene_bedeutungszone,0,-1,0.0,-0.011151,0.0,0.016668,0.0,0.090519,0.0,0.008196
dio_mcm_episode_0pfredm,-,offener_driftpfad,neu_aufgetaucht,-,oeffnung_oder_drift,-,offene_bedeutungszone,0,0,0.0,0.031108,0.0,-0.019935,0.0,0.137251,0.0,0.025309
dio_mcm_episode_0vj3fzh,-,offener_driftpfad,neu_aufgetaucht,-,oeffnung_oder_drift,-,driftzone,0,1,0.0,-0.017824,0.0,0.026987,0.0,0.093376,0.0,0.13941
dio_mcm_episode_0a6333q,-,rekoppelnder_pfad,neu_aufgetaucht,-,stabil,-,driftzone,0,-1,0.0,0.071999,0.0,-0.082819,0.0,-0.341315,0.0,-0.150353
dio_mcm_episode_0jlkrep,-,rekoppelnder_pfad,neu_aufgetaucht,-,reifung_oder_verdichtung,-,rekopplungszone,0,1,0.0,0.026312,0.0,-0.016071,0.0,-0.219026,0.0,-0.069733
dio_mcm_episode_0jwgafx,-,rekoppelnder_pfad,neu_aufgetaucht,-,stabil,-,rekopplungszone,0,1,0.0,-0.012651,0.0,0.0098,0.0,0.126231,0.0,-0.059585
dio_mcm_episode_0lfde2c,-,rekoppelnder_pfad,neu_aufgetaucht,-,reifung_oder_verdichtung,-,rekopplungszone,0,0,0.0,0.002862,0.0,-0.009822,0.0,-0.113559,0.0,-0.004524
dio_mcm_episode_0zp5e37,-,rekoppelnder_pfad,neu_aufgetaucht,-,reifung_oder_verdichtung,-,rekopplungszone,0,1,0.0,-0.009056,0.0,0.007076,0.0,0.001351,0.0,-0.020073
dio_mcm_episode_1f966yo,-,rekoppelnder_pfad,neu_aufgetaucht,-,reifung_oder_verdichtung,-,rekopplungszone,0,0,0.0,-0.013077,0.0,0.012742,0.0,0.066469,0.0,-0.023653
dio_mcm_episode_0t1ymth,gemischter_pfad,rekoppelnder_pfad,offenheit_rekoppelt,stabil,reifung_oder_verdichtung,offene_bedeutungszone,stabile_bedeutungsinsel,0,1,1.7e-05,-0.006078,-3.6e-05,0.00912,0.0,0.074031,0.0,0.032554
dio_mcm_episode_0hjnwsk,offener_driftpfad,brueckenpfad,offenheit_rekoppelt,oeffnung_oder_drift,reifung_oder_verdichtung,driftzone,stabile_bedeutungsinsel,0,2,-0.011265,-0.005398,0.012167,-0.000706,0.047195,0.013189,0.107858,0.019825
dio_mcm_episode_0v5p8er,offener_driftpfad,brueckenpfad,offenheit_rekoppelt,oeffnung_oder_drift,reifung_oder_verdichtung,driftzone,rekopplungszone,-2,-3,-0.027447,0.007478,0.018745,-0.007991,0.036933,-0.03004,0.119387,-0.025395
dio_mcm_episode_028a6an,offener_driftpfad,rekoppelnder_pfad,offenheit_rekoppelt,oeffnung_oder_drift,reifung_oder_verdichtung,driftzone,stabile_bedeutungsinsel,0,0,-0.004876,-0.002965,-0.002827,0.002598,0.048084,0.023905,-0.13662,-0.117593
dio_mcm_episode_068ops8,offener_driftpfad,rekoppelnder_pfad,offenheit_rekoppelt,oeffnung_oder_drift,reifung_oder_verdichtung,driftzone,stabile_bedeutungsinsel,1,2,0.001273,0.007983,-0.003173,0.001099,-0.067835,-0.020024,0.017267,-0.064391
dio_mcm_episode_0dsrwv5,offener_driftpfad,rekoppelnder_pfad,offenheit_rekoppelt,oeffnung_oder_drift,reifung_oder_verdichtung,offene_bedeutungszone,stabile_bedeutungsinsel,1,3,-0.009133,-0.008343,0.0118,0.011374,0.009196,0.006539,0.072867,0.048782
dio_mcm_episode_0ykar6i,brueckenpfad,offener_driftpfad,reife_oeffnet,stabil,oeffnung_oder_drift,hoeherer_cluster_uebergang,driftzone,1,0,0.002609,-0.011403,-0.001158,0.007671,0.004443,0.051779,-0.018064,-0.009516
