token,short_token,nonbridge_class,condensation_zone,dominant_role,dominant_family,observations,worlds,neighbor_count,avg_rekopplung,avg_strain,avg_sensory,avg_tension,avg_loudness,avg_visual_blur,center_share,open_share,rand_share,role_entropy,top_previous,top_next,classification_note
dio_0t27,dio_0t27,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0t27,3,1,6,0.625835,0.151946,0.792839,0.0,0.0,0.0,0.333333,0.666667,0.0,0.918296,dio_151t,dio_13pn,Driftzone ohne Anschlussanker
dio_19xy,dio_19xy,nichtbruecke_driftfeld,driftzone,offene_variante,dio_19xy,3,1,6,0.621338,0.246405,0.796514,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_02om,dio_03wi,Driftzone ohne Anschlussanker
dio_mcm_episode_069zocn,069zocn,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0145,2,1,4,0.572887,0.261534,0.752327,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_1hrd,dio_1z12,Driftzone ohne Anschlussanker
dio_mcm_episode_1x00s47,1x00s47,nichtbruecke_driftfeld,driftzone,offene_variante,dio_1r0h,2,1,4,0.574368,0.258784,0.757682,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_182o,dio_0rlh,Driftzone ohne Anschlussanker
dio_01oq,dio_01oq,nichtbruecke_driftfeld,driftzone,offene_variante,dio_01oq,2,1,4,0.658126,0.237425,0.869804,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_1lsm,dio_1e5j,Driftzone ohne Anschlussanker
dio_03pm,dio_03pm,nichtbruecke_driftfeld,driftzone,offene_variante,dio_03pm,2,1,4,0.615833,0.227666,0.822953,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_07kz,dio_1odq,Driftzone ohne Anschlussanker
dio_09ie,dio_09ie,nichtbruecke_driftfeld,driftzone,offene_variante,dio_09ie,2,1,4,0.60357,0.206813,0.789551,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_0q4n,dio_084g,Driftzone ohne Anschlussanker
dio_0ate,dio_0ate,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0ate,2,1,4,0.616065,0.168411,0.788895,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_1vsg,dio_0erk,Driftzone ohne Anschlussanker
dio_0cty,dio_0cty,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0cty,2,1,4,0.593126,0.23157,0.773751,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_014l,dio_0esw,Driftzone ohne Anschlussanker
dio_0eg5,dio_0eg5,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0eg5,2,1,4,0.599993,0.204966,0.766437,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_1irs,dio_00xv,Driftzone ohne Anschlussanker
dio_0eqr,dio_0eqr,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0eqr,2,1,4,0.599565,0.224305,0.784939,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_0k0k,dio_mcm_episode_1qs9yv0,Driftzone ohne Anschlussanker
dio_0m39,dio_0m39,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0m39,2,1,4,0.608202,0.182918,0.772429,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_0y8g,dio_1j66,Driftzone ohne Anschlussanker
dio_0mp0,dio_0mp0,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0mp0,2,1,4,0.625562,0.238521,0.823824,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_0g4s,dio_0df4,Driftzone ohne Anschlussanker
dio_0p24,dio_0p24,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0p24,2,1,4,0.608564,0.190971,0.786164,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_0nlo,dio_1m5w,Driftzone ohne Anschlussanker
dio_0t5k,dio_0t5k,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0t5k,2,1,4,0.609155,0.192157,0.792335,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_1xl9,dio_0giw,Driftzone ohne Anschlussanker
dio_0v4h,dio_0v4h,nichtbruecke_driftfeld,driftzone,offene_variante,dio_0v4h,2,1,4,0.612334,0.169351,0.77105,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_14w1,dio_0b9n,Driftzone ohne Anschlussanker
dio_13id,dio_13id,nichtbruecke_driftfeld,driftzone,offene_variante,dio_13id,2,1,4,0.592537,0.232345,0.769661,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_0nz9,dio_1j0s,Driftzone ohne Anschlussanker
dio_16ja,dio_16ja,nichtbruecke_driftfeld,driftzone,offene_variante,dio_16ja,2,1,4,0.632559,0.241109,0.851784,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_1m8x,dio_0yob,Driftzone ohne Anschlussanker
dio_18yl,dio_18yl,nichtbruecke_driftfeld,driftzone,offene_variante,dio_18yl,2,1,4,0.621182,0.228397,0.789426,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_1cpg,dio_0w8g,Driftzone ohne Anschlussanker
dio_1dmv,dio_1dmv,nichtbruecke_driftfeld,driftzone,offene_variante,dio_1dmv,2,1,4,0.613959,0.184551,0.796797,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_03wi,dio_1uzv,Driftzone ohne Anschlussanker
dio_1fhs,dio_1fhs,nichtbruecke_driftfeld,driftzone,offene_variante,dio_1fhs,2,1,4,0.595972,0.206372,0.747262,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_0ccv,dio_016d,Driftzone ohne Anschlussanker
dio_1h6s,dio_1h6s,nichtbruecke_driftfeld,driftzone,offene_variante,dio_1h6s,2,1,4,0.614969,0.217004,0.807667,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_01uz,dio_1a11,Driftzone ohne Anschlussanker
dio_1nec,dio_1nec,nichtbruecke_driftfeld,driftzone,offene_variante,dio_1nec,2,1,4,0.602256,0.205909,0.765028,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_0idh,dio_1eut,Driftzone ohne Anschlussanker
dio_1q9p,dio_1q9p,nichtbruecke_driftfeld,driftzone,offene_variante,dio_1q9p,2,1,4,0.605411,0.19705,0.771996,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_mcm_episode_0z798i5,dio_mcm_episode_12xyyon,Driftzone ohne Anschlussanker
dio_1rst,dio_1rst,nichtbruecke_driftfeld,driftzone,offene_variante,dio_1rst,2,1,4,0.61322,0.174726,0.783945,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_1lyr,dio_0akz,Driftzone ohne Anschlussanker
dio_1yxz,dio_1yxz,nichtbruecke_driftfeld,driftzone,offene_variante,dio_1yxz,2,1,4,0.62255,0.254831,0.823829,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,dio_0cdc,dio_17ex,Driftzone ohne Anschlussanker
dio_mcm_episode_1bo74qv,1bo74qv,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,offene_variante,dio_07ao,18,4,34,0.6027,0.238709,0.80487,0.0,0.0,0.0,0.222222,0.611111,0.166667,1.347223,dio_mcm_episode_0hnaaze,dio_11k5,Rollenmischung ohne stabile Anschlussrolle
dio_mcm_episode_1wq16f8,1wq16f8,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,offene_variante,dio_1fjm,16,4,29,0.604731,0.223154,0.798302,0.0,0.0,0.0,0.25,0.625,0.125,1.298795,dio_mcm_episode_07k4muz,dio_1mdj,Rollenmischung ohne stabile Anschlussrolle
dio_mcm_episode_132mlqp,132mlqp,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,offene_variante,dio_0i9w,12,4,22,0.611287,0.225334,0.812893,0.0,0.0,0.0,0.25,0.583333,0.166667,1.384432,dio_mcm_episode_0je96vc,dio_1y9n,Rollenmischung ohne stabile Anschlussrolle
dio_mcm_episode_1xnzd6i,1xnzd6i,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,zentrum_stabil,dio_0168,7,4,13,0.61827,0.219451,0.825091,0.0,0.0,0.0,0.428571,0.428571,0.142857,1.448816,dio_mcm_episode_12bfnxk,dio_mcm_episode_11u88rm,Rollenmischung ohne stabile Anschlussrolle
dio_mcm_episode_1ocun1t,1ocun1t,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,offene_variante,dio_03js,6,4,11,0.617961,0.233116,0.819513,0.0,0.0,0.0,0.166667,0.666667,0.166667,1.251629,dio_0589,dio_mcm_episode_1hdh460,Rollenmischung ohne stabile Anschlussrolle
dio_0kzx,dio_0kzx,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,offene_variante,dio_0kzx,4,2,8,0.615255,0.188754,0.807994,0.0,0.0,0.0,0.5,0.5,0.0,1.0,dio_1mfw,dio_1xts,Rollenmischung ohne stabile Anschlussrolle
dio_0w8g,dio_0w8g,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,offene_variante,dio_0w8g,4,3,8,0.628122,0.213055,0.822223,0.0,0.0,0.0,0.5,0.5,0.0,1.0,dio_18yl,dio_05he,Rollenmischung ohne stabile Anschlussrolle
dio_0zxj,dio_0zxj,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,offene_variante,dio_0zxj,4,2,8,0.636469,0.129486,0.830475,0.0,0.0,0.0,0.5,0.5,0.0,1.0,dio_0pqv,dio_0zul,Rollenmischung ohne stabile Anschlussrolle
dio_mcm_episode_12sbby1,12sbby1,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,zentrum_stabil,dio_0pl3,2,2,4,0.602167,0.218855,0.787241,0.0,0.0,0.0,0.5,0.5,0.0,1.0,dio_mcm_episode_0t3ieq8,dio_1ytd,Rollenmischung ohne stabile Anschlussrolle
dio_mcm_episode_19o6p8v,19o6p8v,nichtbruecke_mehrdeutige_oberflaeche,stabile_bedeutungsinsel,zentrum_stabil,dio_1de5,2,1,4,0.623052,0.236452,0.844486,0.0,0.0,0.0,0.5,0.5,0.0,1.0,dio_03ts,dio_0md1,Rollenmischung ohne stabile Anschlussrolle
dio_mcm_episode_1kfg0vn,1kfg0vn,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,offene_variante,dio_1tub,2,2,4,0.610834,0.220069,0.825107,0.0,0.0,0.0,0.5,0.5,0.0,1.0,dio_mcm_episode_11rw4e1,dio_0ukv,Rollenmischung ohne stabile Anschlussrolle
dio_014s,dio_014s,nichtbruecke_mehrdeutige_oberflaeche,stabile_bedeutungsinsel,offene_variante,dio_014s,2,1,4,0.626215,0.167722,0.833226,0.0,0.0,0.0,0.5,0.5,0.0,1.0,dio_1dcv,dio_09u3,Rollenmischung ohne stabile Anschlussrolle
dio_017c,dio_017c,nichtbruecke_mehrdeutige_oberflaeche,hoeherer_cluster_uebergang,zentrum_stabil,dio_017c,2,2,4,0.613918,0.19592,0.806275,0.0,0.0,0.0,0.5,0.5,0.0,1.0,dio_0r5p,dio_0wa7,Rollenmischung ohne stabile Anschlussrolle
