world,asset,timeframe,rows,avg_auditory_loudness,avg_auditory_softening,avg_auditory_listen,avg_visual_sharpness,avg_visual_blur,avg_focus_strength,avg_distance_need,avg_felt_pressure,avg_felt_relaxation,avg_raw_field_intake,avg_adapted_field_intake,avg_adaptation_potential,avg_intake_reduction,avg_intake_reduction_ratio,hearing_state,visual_state,felt_state,adaptation_state
SOL_2025_5M,SOL,5M,2000,0.216557,0.221705,0.777795,0.645159,0.354341,0.64035,0.188777,0.119272,0.789026,0.128979,0.109776,0.136273,0.019203,0.148884,laut_daempfung_noetig,unscharf_genauer_sehen,starker_feldkontakt,hohe_anpassung
SOL_2025_1H,SOL,1H,2000,0.213766,0.214545,0.784955,0.655142,0.344358,0.641652,0.182653,0.115962,0.794637,0.126995,0.108134,0.13385,0.018861,0.148521,mittlere_lautheit,scharf_formtragend,mittlerer_feldkontakt,mittlere_anpassung
BTC_2025_5M,BTC,5M,2000,0.214879,0.218319,0.781181,0.650263,0.349237,0.639112,0.186716,0.118425,0.790237,0.128445,0.109386,0.13516,0.01906,0.148389,laut_daempfung_noetig,mittlere_sicht,starker_feldkontakt,mittlere_anpassung
BTC_2025_1H,BTC,1H,2000,0.201568,0.205324,0.794176,0.661141,0.338359,0.642013,0.177201,0.1115,0.797502,0.120494,0.102804,0.131454,0.01769,0.146812,leise_feinhoeren,scharf_formtragend,duenner_feldkontakt,geringe_anpassung
KAS_2024_5M,KAS,5M,2000,0.213852,0.216974,0.782526,0.648728,0.350772,0.640955,0.186036,0.117683,0.7911,0.127618,0.108674,0.135051,0.018944,0.148442,mittlere_lautheit,mittlere_sicht,mittlerer_feldkontakt,mittlere_anpassung
KAS_2024_1H,KAS,1H,2000,0.214238,0.21705,0.78245,0.645636,0.353864,0.640595,0.186156,0.11764,0.7913,0.12809,0.108933,0.135341,0.019157,0.149559,laut_daempfung_noetig,mittlere_sicht,mittlerer_feldkontakt,hohe_anpassung
PAXG_2025_5M,PAXG,5M,2000,0.171663,0.17934,0.82016,0.68436,0.31514,0.642045,0.159384,0.099124,0.809616,0.106311,0.091148,0.123998,0.015163,0.142626,leise_feinhoeren,scharf_formtragend,duenner_feldkontakt,geringe_anpassung
PAXG_2025_1H,PAXG,1H,2000,0.213872,0.216999,0.782501,0.645066,0.354434,0.638676,0.187733,0.118847,0.788946,0.128715,0.109513,0.135523,0.019202,0.149183,mittlere_lautheit,unscharf_genauer_sehen,starker_feldkontakt,hohe_anpassung
