pair,count,worlds,dominant_world,role_shift,role_share,effect,pressure_delta,sharpness_delta,focus_delta,rekopplung_delta,loudness_delta
0mji3u6->0e7qvj1,39,2,DOGE_2024_5M_10K (28/39),zentrum_stabil->zentrum_stabil,0.692308,spannungsnah,0.002182,0.058593,0.011354,0.002023,0.027343
0e7qvj1->1hdpu9s,29,2,DOGE_2024_5M_10K (16/29),zentrum_stabil->zentrum_stabil,0.931034,rekoppelnd_entlastend,-0.033080,0.062684,-0.024114,0.015936,-0.099842
1hdpu9s->0e7qvj1,28,2,DOGE_2024_5M_10K (17/28),zentrum_stabil->zentrum_stabil,0.357143,oeffnend_belastend,0.047543,-0.122823,0.033594,-0.030568,0.122101
0e7qvj1->0mji3u6,24,2,DOGE_2024_5M_10K (21/24),zentrum_stabil->offene_variante,0.666667,oeffnend_belastend,0.016009,-0.266242,-0.007643,-0.021039,-0.008984
0nyb3ro->0v5p8er,20,2,DOGE_2024_5M_10K (14/20),zentrum_stabil->zentrum_stabil,0.950000,rekoppelnd_entlastend,-0.035505,0.059627,-0.025518,0.019264,-0.101150
0v5p8er->0nyb3ro,20,2,DOGE_2024_5M_10K (14/20),zentrum_stabil->zentrum_stabil,0.750000,oeffnend_belastend,0.072924,-0.017161,0.040267,-0.041438,0.226278
1q3us3f->1hdpu9s,20,2,DOGE_2025_5M_10K (14/20),zentrum_stabil->zentrum_stabil,0.550000,oeffnend_belastend,0.047988,-0.010014,0.026029,-0.028581,0.143235
0e7qvj1->1jwnjz4,19,2,DOGE_2025_5M_10K (15/19),zentrum_stabil->zentrum_stabil,0.894737,rekoppelnd_entlastend,-0.025432,-0.008795,-0.021501,0.014507,-0.087713
1hdpu9s->1q3us3f,19,2,DOGE_2025_5M_10K (14/19),zentrum_stabil->zentrum_stabil,0.947368,rekoppelnd_entlastend,-0.023168,0.075096,-0.015568,0.014056,-0.055569
0z748ck->0e7qvj1,16,2,DOGE_2025_5M_10K (9/16),zentrum_stabil->zentrum_stabil,0.437500,bewegung_offen,-0.000534,-0.023321,0.014771,0.001573,0.001841
0lne9ax->0jbl5pq,15,2,DOGE_2025_5M_10K (9/15),zentrum_stabil->zentrum_stabil,0.533333,oeffnend_belastend,0.016564,-0.090497,0.014369,-0.009300,0.051125
0qzjuvj->0z748ck,15,2,DOGE_2025_5M_10K (9/15),zentrum_stabil->zentrum_stabil,0.733333,spannungsnah,0.005897,0.092907,-0.006037,-0.001570,0.039549
1jwnjz4->0e7qvj1,14,2,DOGE_2025_5M_10K (12/14),zentrum_stabil->offene_variante,0.428571,oeffnend_belastend,0.068879,0.007611,0.061536,-0.043676,0.228975
0jbl5pq->0qzjuvj,13,2,DOGE_2025_5M_10K (8/13),zentrum_stabil->zentrum_stabil,0.461538,oeffnend_belastend,0.010827,0.024563,-0.008531,-0.009673,0.021194
18n06fj->0mji3u6,10,2,DOGE_2024_5M_10K (5/10),zentrum_stabil->zentrum_stabil,0.400000,bewegung_offen,-0.004318,0.087900,0.007071,0.002440,0.018472
0gqol8d->0nyb3ro,9,2,DOGE_2025_5M_10K (8/9),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.021106,0.032718,0.019482,-0.011149,0.096768
1jwnjz4->0gqol8d,9,2,DOGE_2024_5M_10K (8/9),zentrum_stabil->zentrum_stabil,0.888889,rekoppelnd_entlastend,-0.024332,0.044239,-0.007533,0.015096,-0.052800
0gqol8d->14l8khu,8,2,DOGE_2025_5M_10K (6/8),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.017118,0.023716,-0.019679,0.009910,-0.045608
0gqol8d->1jwnjz4,8,1,DOGE_2024_5M_10K (8/8),offene_variante->offene_variante,0.375000,oeffnend_belastend,0.034423,-0.035258,0.007984,-0.028701,0.080077
