asset,label,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state,kind,row_type,worlds,avg_kernfamilien,avg_source_family_overlap,avg_source_kern_overlap,states,source_year,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
BTC,offset17000_random_17k,36,10,0,26,0.7142857142857143,0.2692307692307692,0.1724848209703639,0.08631828557115057,anschlussfaehige_oberflaeche,reifungsrolle_teilweise_reproduziert,null_random,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC,offset17000_real_17k,36,9,0,27,0.7142857142857143,0.28,0.1703753870544425,0.08526179526202664,anschlussfaehige_oberflaeche,reifungsrolle_teilweise_reproduziert,real,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC,offset17000_shuffle_17k,36,11,0,25,0.68,0.25925925925925924,0.15766200310136325,0.07925895898547661,anschlussfaehige_oberflaeche,reifungsrolle_teilweise_reproduziert,null_shuffle,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL,offset17000_random_17k,36,7,0,29,0.75,0.2,0.15878063028368306,0.07996165531742402,anschlussfaehige_oberflaeche,reifungsrolle_teilweise_reproduziert,null_random,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL,offset17000_real_17k,36,12,0,24,0.7142857142857143,0.34615384615384615,0.1646108518907843,0.08303272596352815,anschlussfaehige_oberflaeche,reifungsrolle_teilweise_reproduziert,real,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL,offset17000_shuffle_17k,36,7,0,29,0.68,0.15384615384615385,0.15729102409331638,0.07886479278835234,anschlussfaehige_oberflaeche,reifungsrolle_teilweise_reproduziert,null_shuffle,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.16749311947261342,0.08414726061277739,,,real,kind_summary,2,10.5,0.7142857142857143,0.3130769230769231,reifungsrolle_teilweise_reproduziert:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.16563272562702347,0.0831399704442873,,,null_random,kind_summary,2,8.5,0.7321428571428572,0.23461538461538461,reifungsrolle_teilweise_reproduziert:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.15747651359733983,0.07906187588691448,,,null_shuffle,kind_summary,2,9.0,0.68,0.20655270655270655,reifungsrolle_teilweise_reproduziert:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC,offset17000_real_17k,,,,,,,,,,,real,detail,,,,,,2025,dio_104t,1106,3,field_stabil,307,0.05419240953221536,0.7551527817589577,0.16290462866449512,0.8036837231270358,0.9280167296416938,379,0.06690203000882612,0.7562953799472295,0.16292466490765173,0.8338257889182058,0.9479063113456464,420,0.07415254237288135,0.7558005380952381,0.16325599047619047,0.8353437785714285,0.9490041309523809,0.019960132840665994,0.031660055444392654,0.020987401310687104,0.0003513618116953443,anschlussfaehige_oberflaeche
BTC,offset17000_real_17k,,,,,,,,,,,real,detail,,,,,,2025,dio_155c,800,3,field_stabil,221,0.039011473962930275,0.7492277285067873,0.17214000452488687,0.7990794072398191,0.9212826696832579,280,0.04942630185348632,0.7510609321428571,0.172465175,0.8378997857142857,0.9471716750000001,299,0.05278954802259887,0.7514829866220736,0.172041237458194,0.8424110401337792,0.949081060200669,0.013778074059668598,0.04333163289396014,0.027798390517411065,-9.876706669287305e-05,anschlussfaehige_oberflaeche
