asset,timeframe,transition_count,top_pair,pressure_delta,sharpness_delta,rekopplung_delta
DOGE,2024_1H_YEAR,330,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s (21/330),0.012328,0.006203,-0.009792
DOGE,2025_1H_YEAR,304,dio_mcm_episode_1hdpu9s->dio_mcm_episode_0e7qvj1 (17/304),0.006035,0.012554,-0.004226
