row_type,baseline,followup,compared_family_phase_pairs,repro_states,baseline_states,eigenstaendig_repro_states,asset_repro_profile,repro_state,count,share,asset,family,phase,baseline_stability_state,baseline_dominant_phase_quality,baseline_quality_profile,followup_dominant_phase_quality,followup_quality_profile,followup_observations,baseline_mean_rekopplung_edge,followup_mean_rekopplung_edge,baseline_mean_afterimage_edge,followup_mean_afterimage_edge,baseline_mean_temporal_edge,followup_mean_temporal_edge
summary,docs\befunde\1858_PHASENLOKALE_FAMILIENSTABILITAET.csv,docs\befunde\1900D25D_DOGE_2025_1H_FOLGEFENSTER_3000_4000.csv,651,fehlt_im_folgefenster:562; lokale_qualitaet_reproduziert:33; lokale_qualitaet_wird_offen:17; lokale_qualitaet_wird_nullnah:12; qualitaet_reproduziert:11; lokale_qualitaet_wird_kernnah:9; lokale_qualitaet_wird_nachhallnah:7,phasenlokal_eigenstaendig:446; geteilt_offen:101; einzelbeleg:57; fenstergetragen_stabil:47,fehlt_im_folgefenster:379; lokale_qualitaet_reproduziert:33; lokale_qualitaet_wird_offen:12; lokale_qualitaet_wird_kernnah:8; lokale_qualitaet_wird_nullnah:8; lokale_qualitaet_wird_nachhallnah:6,PAXG::fehlt_im_folgefenster:135; SOL::fehlt_im_folgefenster:135; XRP::fehlt_im_folgefenster:135; BTC::fehlt_im_folgefenster:126; DOGE::lokale_qualitaet_reproduziert:33; DOGE::fehlt_im_folgefenster:31; DOGE::lokale_qualitaet_wird_offen:17; DOGE::lokale_qualitaet_wird_nullnah:12; DOGE::qualitaet_reproduziert:11; DOGE::lokale_qualitaet_wird_kernnah:9; DOGE::lokale_qualitaet_wird_nachhallnah:7,,,,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,fehlt_im_folgefenster,562,0.863287,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_reproduziert,33,0.050691,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_offen,17,0.026114,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_nullnah,12,0.018433,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,qualitaet_reproduziert,11,0.016897,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_kernnah,9,0.013825,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_nachhallnah,7,0.010753,,,,,,,,,,,,,,,
family_phase_repro_detail,,,,,,,,lokale_qualitaet_reproduziert,,,DOGE,dio_00ja,frueh,phasenlokal_eigenstaendig,phase_nullnah,phase_nullnah:5; phase_offen_gemischt:1,phase_nullnah,phase_nullnah:1,1,-0.001904712,-0.016417775,-0.056291748,-0.07059105,-0.024006959,-0.079534925
family_phase_repro_detail,,,,,,,,lokale_qualitaet_reproduziert,,,DOGE,dio_00ja,mitte,phasenlokal_eigenstaendig,phase_nullnah,phase_nullnah:5; phase_offen_gemischt:1,phase_nullnah,phase_nullnah:1,1,-0.002280756,-0.003432833,-0.018281144,-0.169963143,-0.006507935,-0.069686571
