landscape,source,target,short_source,short_target,relation,relation_group,edge_kind,count,worlds,duration_avg,exit_rekopplung_delta_avg,exit_strain_delta_avg,exit_phase
901_vergleich,dio_mcm_episode_00nzcuc,dio_mcm_episode_0b7nep9,00nzcuc,0b7nep9,eintritt,aussen_zu_token,aussen_zu_bruecke,1,1,353.0,0.00835,-0.012795,rekoppelnder_austritt
901_vergleich,dio_mcm_episode_0b7nep9,dio_mcm_episode_01s42m6,0b7nep9,01s42m6,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,61.0,0.002267,-0.00173,rekoppelnder_austritt
901_vergleich,dio_mcm_episode_0b7nep9,dio_mcm_episode_0li6lg1,0b7nep9,0li6lg1,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,471.0,-0.175592,0.20581,oeffnend_belastender_austritt
901_vergleich,dio_mcm_episode_0b7nep9,dio_mcm_episode_0ybr5e3,0b7nep9,0ybr5e3,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,27.0,0.007056,-0.008742,rekoppelnder_austritt
901_vergleich,dio_mcm_episode_0b7nep9,dio_mcm_episode_17eveju,0b7nep9,17eveju,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,931.0,0.007346,-0.012371,rekoppelnder_austritt
901_vergleich,dio_mcm_episode_0b7nep9,dio_mcm_episode_1pmt8u2,0b7nep9,1pmt8u2,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,231.0,0.009703,-0.013292,rekoppelnder_austritt
901_vergleich,dio_mcm_episode_0ybr5e3,dio_mcm_episode_0b7nep9,0ybr5e3,0b7nep9,eintritt,aussen_zu_token,aussen_zu_bruecke,1,1,27.0,0.005429,-0.015605,rekoppelnder_austritt
901_vergleich,dio_mcm_episode_0ykar6i,dio_mcm_episode_1pmt8u2,0ykar6i,1pmt8u2,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,84.0,0.000528,-0.042378,rekoppelnder_austritt
901_vergleich,dio_mcm_episode_17c7qwp,dio_mcm_episode_0b7nep9,17c7qwp,0b7nep9,eintritt,aussen_zu_token,aussen_zu_bruecke,1,1,375.0,0.02031,0.009622,gemischter_austritt
901_vergleich,dio_mcm_episode_1f4jh6c,dio_mcm_episode_0b7nep9,1f4jh6c,0b7nep9,eintritt,aussen_zu_token,aussen_zu_bruecke,1,1,76.0,-0.036842,0.018493,oeffnend_belastender_austritt
