family,world_hits,occurrences,pre_hearing,hit_hearing,pre_tension,hit_tension,pre_range,hit_range,hearing_delta,tension_delta,range_delta
ALLE,2,2,0.026966,0.072524,0.044457,0.070044,0.165060,0.173302,0.045558,0.025588,0.008242
dio_01hu,2,2,0.026966,0.072524,0.044457,0.070044,0.165060,0.173302,0.045558,0.025588,0.008242
