phase_role,windows,preview_pre_carry,preview_post_carry,family_pre_carry,family_post_carry,avg_during_rekopplung,avg_post_rekopplung,avg_post_rekopplung_delta,avg_during_strain,avg_post_strain,avg_post_strain_delta
brueckenuebergang_zum_lauten_kontakt,10,9,8,5,4,0.707922,0.709370,0.001448,0.154025,0.152730,-0.001295
lauter_kontakt_bleibt_offen,4,2,4,0,0,0.707374,0.705637,-0.001737,0.152690,0.155792,0.003102
offener_uebergang_zum_lauten_kontakt,1,1,0,1,0,0.706934,0.704593,-0.002341,0.153974,0.153800,-0.000174
randnaher_kontaktdruck,8,4,5,4,2,0.698600,0.435226,-0.263374,0.165427,0.102973,-0.062453
rueckbindung_in_normale_weltspannung,4,2,3,3,4,0.709967,0.712545,0.002578,0.153171,0.151217,-0.001953
zentrumskontakt_mit_hoeranstieg,7,5,7,4,4,0.713416,0.714760,0.001345,0.149627,0.148895,-0.000733
zentrumskontakt_wird_aktiviert,2,1,1,1,0,0.665833,0.668225,0.002393,0.163725,0.167244,0.003518
