preview_symbol,previous_phase,new_time_phase,previous_profile,new_time_profile,previous_depth,new_time_depth,new_time_count,new_time_world_count,memory_score_after_time,memory_world_count_after_time,memory_count_after_time,interpretation
dio_mcm_episode_12fuh1y,ruhig_getragene_nahe,zentrumsnah_getragen,0.8126,0.528321,0.815401,0.78416,1,1,0.78416,6,10,enge_paxg_zeitspur
dio_mcm_episode_1i3ov0z,zentrumsnah_getragen,zentrumsnah_getragen,0.69207,0.0,0.740037,0.0,0,0,0.740037,5,248,keine_zeit_generalisation
