dominant_family,count,world_count,dominant_world,dominant_effect,rekoppelt_count,offen_count,kippnah_count,rekoppelt_share,offen_share,kippnah_share,avg_duration,max_duration,avg_pressure,avg_alignment,avg_strain,avg_rekopplung,post8_rekopplung,post8_strain,family_contact_state
dio_1pj6,5,3,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,5,0,0,1.0,0.0,0.0,1.0,1,0.3570236,0.7083814,0.26775340000000003,0.6112,0.6531068,0.17694459999999998,kontaktinsel_rekoppelt_familie
dio_0b45,4,3,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,4,0,0,1.0,0.0,0.0,1.0,1,0.35117675,0.601874,0.27569975,0.60339275,0.64830425,0.18935225,kontaktinsel_rekoppelt_familie
dio_0cpy,4,3,SOL_2024_SIDEWAYS_5K_RECEPTOR,kippend,4,0,0,1.0,0.0,0.0,1.0,1,0.3677985,0.649367,0.2805575,0.5912265,0.65580875,0.17380775,kontaktinsel_rekoppelt_familie
dio_0bsx,4,3,SOL_2025_STRESS_5K_RECEPTOR,tragend_unruhig,3,1,0,0.75,0.25,0.0,1.0,1,0.3430925,0.73598925,0.267198,0.602267,0.6496875,0.18800375,kontaktinsel_rekoppelt_familie
dio_124a,4,3,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,3,1,0,0.75,0.25,0.0,1.0,1,0.33504475,0.7426845,0.26178125,0.60108075,0.646222,0.19267275,kontaktinsel_rekoppelt_familie
dio_1www,4,3,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,3,1,0,0.75,0.25,0.0,1.25,2,0.41036675,0.67401125,0.29220925,0.593808,0.643887,0.19173975,kontaktinsel_rekoppelt_familie
dio_1kbp,4,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,4,0,0,1.0,0.0,0.0,1.0,1,0.40450025,0.6851755,0.2875695,0.5901355,0.65144425,0.1771645,kontaktinsel_rekoppelt_familie
dio_11hp,3,3,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1.0,1,0.33133866666666667,0.6742469999999999,0.22635766666666668,0.6242366666666667,0.6463713333333333,0.1929776666666667,kontaktinsel_gemischt
dio_0tsd,3,2,SOL_2026_STABLE_5K_RECEPTOR,kippend,3,0,0,1.0,0.0,0.0,1.0,1,0.3894586666666666,0.6885020000000001,0.2887733333333333,0.5899926666666667,0.6595559999999999,0.17653700000000003,kontaktinsel_rekoppelt_familie
dio_1a08,3,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1.0,1,0.33182433333333333,0.6800066666666668,0.258229,0.6108776666666667,0.6501853333333333,0.18703499999999998,kontaktinsel_gemischt
dio_0hly,3,1,SOL_2026_STABLE_5K_RECEPTOR,tragend_unruhig,3,0,0,1.0,0.0,0.0,1.3333333333333333,2,0.33112733333333333,0.6658216666666666,0.2559423333333333,0.615832,0.6497303333333333,0.18482033333333334,kontaktinsel_rekoppelt_familie
dio_1siz,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,gespannt,2,0,0,1.0,0.0,0.0,1.0,1,0.45511650000000003,0.5564290000000001,0.33552899999999997,0.5604595000000001,0.649546,0.1860405,kontaktinsel_duenne_spur
dio_1r6j,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.0,1,0.35640649999999996,0.7538805,0.2770265,0.5911095,0.6592089999999999,0.17640499999999998,kontaktinsel_duenne_spur
dio_1dbs,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,2,0,0,1.0,0.0,0.0,1.0,1,0.3692275,0.680695,0.289281,0.599384,0.6471830000000001,0.1923095,kontaktinsel_duenne_spur
dio_09d9,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.0,1,0.3472065,0.7348295,0.24955349999999998,0.627311,0.659554,0.170042,kontaktinsel_duenne_spur
dio_0pxx,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,2,0,0,1.0,0.0,0.0,1.0,1,0.3663095,0.6709235,0.29257299999999997,0.585763,0.6625335,0.167011,kontaktinsel_duenne_spur
dio_0jwn,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.0,1,0.4005935,0.5178885,0.2811365,0.58345,0.645578,0.190152,kontaktinsel_duenne_spur
dio_19pe,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,2,0,0,1.0,0.0,0.0,2.0,3,0.386152,0.5681830000000001,0.276286,0.5896319999999999,0.645844,0.188638,kontaktinsel_duenne_spur
dio_08hc,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,2,0,0,1.0,0.0,0.0,1.5,2,0.44125499999999995,0.7309865,0.2797215,0.613707,0.6451979999999999,0.192268,kontaktinsel_duenne_spur
dio_11ci,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.0,1,0.347212,0.6165419999999999,0.243471,0.6112175,0.6574990000000001,0.1753665,kontaktinsel_duenne_spur
dio_11qc,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.0,1,0.37641749999999996,0.6347715,0.248643,0.6231065,0.643152,0.19439499999999998,kontaktinsel_duenne_spur
dio_15bw,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,gespannt,2,0,0,1.0,0.0,0.0,1.0,1,0.4760445,0.6767295,0.334669,0.562018,0.6483495,0.1956145,kontaktinsel_duenne_spur
dio_081b,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,2,0,0,1.0,0.0,0.0,1.0,1,0.34768600000000005,0.621051,0.2839625,0.595136,0.6655325000000001,0.165111,kontaktinsel_duenne_spur
dio_13cj,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,2,0,0,1.0,0.0,0.0,1.0,1,0.353626,0.681856,0.2852435,0.589684,0.6534105,0.182135,kontaktinsel_duenne_spur
dio_1574,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,2,0,0,1.0,0.0,0.0,1.5,2,0.374284,0.678663,0.30420400000000003,0.5948264999999999,0.6486855,0.197278,kontaktinsel_duenne_spur
dio_0kyg,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.0,1,0.36995049999999996,0.6604555,0.243229,0.6158215,0.6513234999999999,0.19048749999999998,kontaktinsel_duenne_spur
dio_0fgo,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.5,2,0.3772045,0.6596015,0.27149900000000005,0.619414,0.6636185,0.1721545,kontaktinsel_duenne_spur
dio_0mby,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,gespannt,2,0,0,1.0,0.0,0.0,1.0,1,0.5021365,0.534572,0.36472000000000004,0.5463385000000001,0.6422355,0.199005,kontaktinsel_duenne_spur
dio_0vim,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.0,1,0.36854549999999997,0.6781124999999999,0.2841845,0.590103,0.64715,0.19227349999999999,kontaktinsel_duenne_spur
dio_1cqs,2,2,SOL_2024_SIDEWAYS_5K_RECEPTOR,kippend,2,0,0,1.0,0.0,0.0,1.0,1,0.3968795,0.6995290000000001,0.28284849999999995,0.606595,0.644755,0.19574999999999998,kontaktinsel_duenne_spur
dio_02eu,2,2,SOL_2024_SIDEWAYS_5K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.0,1,0.3442845,0.67787,0.2638435,0.6120490000000001,0.6637839999999999,0.1680525,kontaktinsel_duenne_spur
dio_0crd,2,2,SOL_2025_STRESS_5K_RECEPTOR,tragend_unruhig,2,0,0,1.0,0.0,0.0,1.0,1,0.330001,0.6994425,0.2744405,0.602336,0.653753,0.1778115,kontaktinsel_duenne_spur
dio_0uwn,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,1,1,0,0.5,0.5,0.0,1.0,1,0.3343075,0.6245275,0.236014,0.616087,0.628202,0.21240399999999998,kontaktinsel_duenne_spur
dio_0w9g,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,1,0,1,0.5,0.0,0.5,1.0,1,0.37749350000000004,0.669082,0.299223,0.581213,0.622751,0.22890749999999999,kontaktinsel_duenne_spur
dio_0nt3,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,tragend_unruhig,1,1,0,0.5,0.5,0.0,1.0,1,0.3515485,0.605727,0.22558299999999998,0.636588,0.640093,0.20638600000000001,kontaktinsel_duenne_spur
dio_0nng,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,1,1,0,0.5,0.5,0.0,1.0,1,0.421478,0.7245875,0.284205,0.59369,0.6411125,0.2065245,kontaktinsel_duenne_spur
dio_14b2,2,2,SOL_2023_NEG_STRESS_10K_RECEPTOR,kippend,1,1,0,0.5,0.5,0.0,1.0,1,0.335723,0.7189255,0.277294,0.601986,0.6335325,0.2086005,kontaktinsel_duenne_spur
