passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,world_group,family,tragend_count,kipp_count,shared_family_count,union_family_count,jaccard,bridge_score,tragend_share,kipp_share,avg_tragend_rekopplung,avg_kipp_rekopplung,avg_tragend_strain,avg_kipp_strain
1,0,0,0,0,0,0,feld_5m,__SUMMARY__,10928,9975,28,681,0.041116005873715125,0.0,0.0,0.0,0.7351230634150805,0.658500364310777,0.1204704411603221,0.19958094957393485
1,0,0,0,0,0,0,feld_5m,dio_00ly,242,1,28,681,0.041116005873715125,0.00010025062656641604,0.022144948755490484,0.00010025062656641604,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_01hu,48,2,28,681,0.041116005873715125,0.0002005012531328321,0.004392386530014641,0.0002005012531328321,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_02xf,2,2,28,681,0.041116005873715125,0.00018301610541727673,0.00018301610541727673,0.0002005012531328321,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0f4r,16,2,28,681,0.041116005873715125,0.0002005012531328321,0.0014641288433382138,0.0002005012531328321,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0g2r,16,19,28,681,0.041116005873715125,0.0014641288433382138,0.0014641288433382138,0.0019047619047619048,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0h6t,2,6,28,681,0.041116005873715125,0.00018301610541727673,0.00018301610541727673,0.0006015037593984962,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0h9h,361,2,28,681,0.041116005873715125,0.0002005012531328321,0.03303440702781845,0.0002005012531328321,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0jqc,4,4,28,681,0.041116005873715125,0.00036603221083455345,0.00036603221083455345,0.0004010025062656642,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0l7p,1116,2,28,681,0.041116005873715125,0.0002005012531328321,0.1021229868228404,0.0002005012531328321,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0obq,2,4,28,681,0.041116005873715125,0.00018301610541727673,0.00018301610541727673,0.0004010025062656642,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0pq6,2,16,28,681,0.041116005873715125,0.00018301610541727673,0.00018301610541727673,0.0016040100250626567,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0pxr,2,88,28,681,0.041116005873715125,0.00018301610541727673,0.00018301610541727673,0.008822055137844611,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0tay,30,2,28,681,0.041116005873715125,0.0002005012531328321,0.002745241581259151,0.0002005012531328321,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0z3k,2,4,28,681,0.041116005873715125,0.00018301610541727673,0.00018301610541727673,0.0004010025062656642,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_0z9t,2,8,28,681,0.041116005873715125,0.00018301610541727673,0.00018301610541727673,0.0008020050125313284,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_104t,100,4,28,681,0.041116005873715125,0.0004010025062656642,0.009150805270863836,0.0004010025062656642,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_155c,16,20,28,681,0.041116005873715125,0.0014641288433382138,0.0014641288433382138,0.0020050125313283208,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_17ct,20,23,28,681,0.041116005873715125,0.0018301610541727673,0.0018301610541727673,0.002305764411027569,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_18kx,10,1,28,681,0.041116005873715125,0.00010025062656641604,0.0009150805270863836,0.00010025062656641604,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,feld_5m,dio_1cic,73,1,28,681,0.041116005873715125,0.00010025062656641604,0.0066800878477306005,0.00010025062656641604,0.0,0.0,0.0,0.0
