world,source,rekopplung_factor,candles,unique_symbols,episodes,dominant_effect_class,dominant_episode_state,unique_episode_families,top_family_count,avg_mcm_carry_quality,avg_mcm_strain_quality,avg_mcm_rekopplung_quality,avg_mcm_adaptive_rekopplung_quality,avg_mcm_sensory_coupling,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_mini_temporal_caution_support
NULL_RANDOM_2400,data/synthetic_1527_null_random_sign_2400_5m.csv,1.0,2400,221,2394,stabil,-,221,205,0.543672,0.152092,0.712321,0.717427,0.855439,0.51122,0.750814,0.168385
NULL_RANDOM_2400,data/synthetic_1527_null_random_sign_2400_5m.csv,0.5,2400,221,2394,stabil,-,221,205,0.543672,0.152092,0.356161,0.656495,0.855439,0.51122,0.750814,0.168385
NULL_RANDOM_2400,data/synthetic_1527_null_random_sign_2400_5m.csv,0.3,2400,221,2394,stabil,-,221,205,0.543672,0.152092,0.213696,0.640276,0.855439,0.51122,0.750814,0.168385
NULL_SHUFFLE_2400,data/synthetic_1526_null_shuffle_order_2400_5m.csv,1.0,2400,224,2394,stabil,-,222,140,0.534597,0.165282,0.7028,0.707808,0.844419,0.510674,0.744528,0.191694
NULL_SHUFFLE_2400,data/synthetic_1526_null_shuffle_order_2400_5m.csv,0.5,2400,224,2394,stabil,-,222,140,0.534597,0.165282,0.3514,0.635303,0.844419,0.510674,0.744528,0.191694
NULL_SHUFFLE_2400,data/synthetic_1526_null_shuffle_order_2400_5m.csv,0.3,2400,224,2394,stabil,-,222,140,0.534597,0.165282,0.21084,0.723943,0.844419,0.510674,0.744528,0.191694
SOL_EXPANSION_2023_2K,data/segment_positive_expansion_2023_10k_start0_size2000.csv,1.0,2000,339,1994,stabil,-,336,97,0.521131,0.166183,0.696319,0.736341,0.838625,0.430243,0.666801,0.236015
SOL_EXPANSION_2023_2K,data/segment_positive_expansion_2023_10k_start0_size2000.csv,0.5,2000,339,1994,stabil,-,336,97,0.521131,0.166183,0.34816,0.733195,0.838625,0.430243,0.666801,0.236015
SOL_EXPANSION_2023_2K,data/segment_positive_expansion_2023_10k_start0_size2000.csv,0.3,2000,339,1994,stabil,-,336,97,0.521131,0.166183,0.208896,0.732022,0.838625,0.430243,0.666801,0.236015
SOL_NEG_STRESS_2023_2K,data/segment_negative_stress_2023_10k_start0_size2000.csv,1.0,2000,357,1994,stabil,-,355,136,0.520444,0.166136,0.696171,0.734997,0.839334,0.424271,0.659951,0.238097
SOL_NEG_STRESS_2023_2K,data/segment_negative_stress_2023_10k_start0_size2000.csv,0.5,2000,357,1994,stabil,-,355,136,0.520444,0.166136,0.348086,0.723007,0.839334,0.424271,0.659951,0.238097
SOL_NEG_STRESS_2023_2K,data/segment_negative_stress_2023_10k_start0_size2000.csv,0.3,2000,357,1994,stabil,-,355,136,0.520444,0.166136,0.208851,0.726617,0.839334,0.424271,0.659951,0.238097
SOL_QUIET_2025_2K,data/kontrolliert_real_quiet_sol_2025_5m_2000.csv,1.0,2000,337,1994,stabil,-,334,106,0.519504,0.16665,0.69506,0.735741,0.839084,0.416991,0.66214,0.236614
SOL_QUIET_2025_2K,data/kontrolliert_real_quiet_sol_2025_5m_2000.csv,0.5,2000,337,1994,stabil,-,334,106,0.519504,0.16665,0.34753,0.734682,0.839084,0.416991,0.66214,0.236614
SOL_QUIET_2025_2K,data/kontrolliert_real_quiet_sol_2025_5m_2000.csv,0.3,2000,337,1994,stabil,-,334,106,0.519504,0.16665,0.208518,0.734221,0.839084,0.416991,0.66214,0.236614
SOL_SIDEWAYS_2026_2K,data/kontrolliert_2026_sideways_test1_2000_5m_SOLUSDT.csv,1.0,2000,356,1994,stabil,-,356,133,0.518726,0.164799,0.695909,0.734942,0.842643,0.404447,0.651727,0.239674
SOL_SIDEWAYS_2026_2K,data/kontrolliert_2026_sideways_test1_2000_5m_SOLUSDT.csv,0.5,2000,356,1994,stabil,-,356,133,0.518726,0.164799,0.347954,0.720128,0.842643,0.404447,0.651727,0.239674
SOL_SIDEWAYS_2026_2K,data/kontrolliert_2026_sideways_test1_2000_5m_SOLUSDT.csv,0.3,2000,356,1994,stabil,-,356,133,0.518726,0.164799,0.208773,0.736672,0.842643,0.404447,0.651727,0.239674
