family;relation;role_a;role_b;hits_a;hits_b;stable_delta_b_minus_a;unrest_delta_b_minus_a;strain_delta_b_minus_a;trust_delta_b_minus_a;bridge_type_a;bridge_type_b
dio_04uf;rollenverschiebung;instabile_kontaktzone;offene_kontaktzone;10;7;0.0;0.0;0.0;0.0;unbestimmt;unbestimmt
dio_05yg;nur_karte_a;randnahe_unruhe;-;5;0;-0.008350730688935281;-0.9916492693110647;-0.17600751565762002;-0.7195388413361169;randnahe_unruhe;-
dio_0f4r;nur_karte_b;-;nachfeldanker;0;9;1.0;0.0;0.13701630399999998;0.6313516079999999;-;nachfeld_anker
dio_0h9h;rollenverschiebung;beidseitige_bruecke;offene_bruecke;7;7;0.0;0.0;0.0;0.0;balancierte_bruecke;offene_bruecke
dio_0l7p;rollenstabil;vorfeldanker;vorfeldanker;13;7;0.0;0.0;0.0;0.0;stabiler_nachbar;vorfeld_anker
dio_0m9z;rollenverschiebung;instabile_kontaktzone;beidseitige_bruecke;12;5;0.0;0.0;0.0;0.0;instabile_kontaktzone;stabile_bruecke
dio_0obq;nur_karte_a;beidseitige_bruecke;-;5;0;-0.9929775280898876;-0.007022471910112359;-0.15538916151685395;-0.7413899452247191;balancierte_bruecke;-
dio_0pz6;nur_karte_b;-;beidseitige_bruecke;0;11;1.0;0.0;0.1308542671854734;0.7590802127107653;-;balancierte_bruecke
dio_0u2x;nur_karte_a;offene_kontaktzone;-;5;0;-0.5507246376811594;-0.4492753623188406;-0.17533484057971013;-0.5602685942028985;unbestimmt;-
dio_104t;rollenverschiebung;vorfeldanker;beidseitige_bruecke;13;13;0.0;0.0;0.0;0.0;stabiler_nachbar;balancierte_bruecke
dio_14wj;rollenstabil;vorfeldanker;vorfeldanker;8;6;0.0;0.0;0.0;0.0;stabiler_nachbar;stabiler_nachbar
dio_155c;rollenstabil;beidseitige_bruecke;beidseitige_bruecke;14;18;0.0;0.0;0.0;0.0;balancierte_bruecke;balancierte_bruecke
dio_17ct;rollenstabil;beidseitige_bruecke;beidseitige_bruecke;10;14;0.0;0.0;0.0;0.0;balancierte_bruecke;balancierte_bruecke
dio_19pg;nur_karte_b;-;randnahe_unruhe;0;10;0.25164113785557984;0.7483588621444202;0.1580223873085339;0.7186568555798687;-;randnahe_unruhe
dio_1mwv;rollenstabil;beidseitige_bruecke;beidseitige_bruecke;5;5;0.0;0.0;0.0;0.0;balancierte_bruecke;stabile_bruecke
dio_1un4;nur_karte_a;randfamilie;-;238;0;0.0;-1.0;-0.2249812016806723;-0.6067392184873949;randspannung;-
dio_1yoi;nur_karte_b;-;randfamilie;0;254;0.0;1.0;0.21371376377952755;0.6177156220472441;-;randspannung
