phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig_vorlast,700,0.985714,0.005714,0.001429,0.007143,0.758744,0.618768,0.120232,0.0173,0.02275,0.83867
oeffnung,700,0.974286,0.011429,0.001429,0.012857,0.755963,0.614524,0.120383,0.022096,0.028703,0.833638
bruch_impuls,700,0.884286,0.052857,0.0,0.062857,0.737748,0.580682,0.123254,0.04779,0.068364,0.807472
randflackern,700,0.27,0.518571,0.001429,0.21,0.695432,0.515124,0.151348,0.093882,0.145439,0.622612
gegenpol,700,0.968571,0.01,0.001429,0.02,0.747679,0.599981,0.12051,0.036807,0.050998,0.820831
rekopplung,700,0.991429,0.005714,0.001429,0.001429,0.75812,0.61977,0.120745,0.021216,0.027891,0.835432
ruhe_nachhall,700,0.992857,0.002857,0.001429,0.002857,0.75976,0.621686,0.120683,0.018667,0.025213,0.837525
zweiter_kippimpuls,500,0.982,0.01,0.002,0.006,0.74258,0.59496,0.126443,0.053877,0.082461,0.802393
zweite_rekopplung,694,0.991354,0.004323,0.0,0.004323,0.758393,0.619877,0.120469,0.02099,0.028681,0.835801
