label,candidate_class,role_count,durable_role_count,long_role_count,strain_role_count,durable_duration_share,strain_duration_share,top_role_duration_share,real_a_unique_symbols,real_a_rekopplung,real_a_carry,real_a_strain,real_a_afterimage,sleep_touched_role_count,sleep_combination_trace_count,sleep_full_reactivated,top_roles,data_path,follow_data_path
btc1000_soft_sleep_combo_btc1h,uebergang_mit_randkontakt,3,2,2,1,0.9989939637826962,0.001006036217303823,0.806841046277666,243.0,0.689853,0.49869,0.157126,0.121006,3,3,1,dio_mcm_episode_1k2bqha:field_carried:802; dio_mcm_episode_0e7qvj1:field_carried:191; dio_mcm_episode_0sjrih9:field_strained:1,data\kontrolliert_btc2024_sleep_origin_1000_5m.csv,data\kontrolliert_btc2024_sleep_timeframe_1000_1h.csv
btc1000_soft_sleep_combo_btc2025,uebergang_mit_randkontakt,3,2,2,1,0.9989939637826962,0.001006036217303823,0.806841046277666,243.0,0.689853,0.49869,0.157126,0.121006,3,3,1,dio_mcm_episode_1k2bqha:field_carried:802; dio_mcm_episode_0e7qvj1:field_carried:191; dio_mcm_episode_0sjrih9:field_strained:1,data\kontrolliert_btc2024_sleep_origin_1000_5m.csv,data\kontrolliert_btc2025_sleep_follow_1000_5m.csv
btc1000_soft_sleep_combo_mosaic_altseq,uebergang_mit_randkontakt,3,2,2,1,0.9989939637826962,0.001006036217303823,0.806841046277666,243.0,0.689853,0.49869,0.157126,0.121006,3,3,1,dio_mcm_episode_1k2bqha:field_carried:802; dio_mcm_episode_0e7qvj1:field_carried:191; dio_mcm_episode_0sjrih9:field_strained:1,data\kontrolliert_btc2024_sleep_origin_1000_5m.csv,data\kontrolliert_2023_altseq_a_10k_5m_SOLUSDT.csv
btc1000_soft_sleep_combo_same,uebergang_mit_randkontakt,3,2,2,1,0.9989939637826962,0.001006036217303823,0.806841046277666,243.0,0.689853,0.49869,0.157126,0.121006,3,3,3,dio_mcm_episode_1k2bqha:field_carried:802; dio_mcm_episode_0e7qvj1:field_carried:191; dio_mcm_episode_0sjrih9:field_strained:1,data\kontrolliert_btc2024_sleep_origin_1000_5m.csv,data\kontrolliert_btc2024_sleep_same_1000_5m.csv
kas1000_soft_sleep_combo_kas15m,einzelrolle_oder_spikefeld,1,1,1,0,1.0,0.0,1.0,255.0,0.689265,0.496979,0.157387,0.112463,1,0,0,dio_mcm_episode_1joiyc3:field_carried:994,data\kontrolliert_kas2024_sleep_origin_1000_5m.csv,data\kontrolliert_kas2024_sleep_follow_1000_15m.csv
kas1000_soft_sleep_combo_kas1h,einzelrolle_oder_spikefeld,1,1,1,0,1.0,0.0,1.0,255.0,0.689265,0.496979,0.157387,0.112463,1,0,0,dio_mcm_episode_1joiyc3:field_carried:994,data\kontrolliert_kas2024_sleep_origin_1000_5m.csv,data\kontrolliert_kas2024_sleep_timeframe_1000_1h.csv
kas1000_soft_sleep_combo_paxg,einzelrolle_oder_spikefeld,1,1,1,0,1.0,0.0,1.0,255.0,0.689265,0.496979,0.157387,0.112463,1,0,0,dio_mcm_episode_1joiyc3:field_carried:994,data\kontrolliert_kas2024_sleep_origin_1000_5m.csv,data\kontrolliert_paxg2024_sleep_origin_1000_5m.csv
kas1000_soft_sleep_combo_same,einzelrolle_oder_spikefeld,1,1,1,0,1.0,0.0,1.0,255.0,0.689265,0.496979,0.157387,0.112463,1,0,0,dio_mcm_episode_1joiyc3:field_carried:994,data\kontrolliert_kas2024_sleep_origin_1000_5m.csv,data\kontrolliert_kas2024_sleep_same_1000_5m.csv
paxg1000_soft_sleep_combo_kas2024,einzelrolle_oder_spikefeld,1,1,1,0,1.0,0.0,1.0,248.0,0.696289,0.497353,0.155107,0.129752,1,0,0,dio_mcm_episode_1joiyc3:field_carried:994,data\kontrolliert_paxg2024_sleep_origin_1000_5m.csv,data\kontrolliert_kas2024_sleep_mosaic_1000_5m.csv
paxg1000_soft_sleep_combo_paxg1h,einzelrolle_oder_spikefeld,1,1,1,0,1.0,0.0,1.0,248.0,0.696289,0.497353,0.155107,0.129752,1,0,0,dio_mcm_episode_1joiyc3:field_carried:994,data\kontrolliert_paxg2024_sleep_origin_1000_5m.csv,data\kontrolliert_paxg2024_sleep_timeframe_1000_1h.csv
paxg1000_soft_sleep_combo_paxg2025,einzelrolle_oder_spikefeld,1,1,1,0,1.0,0.0,1.0,248.0,0.696289,0.497353,0.155107,0.129752,1,0,0,dio_mcm_episode_1joiyc3:field_carried:994,data\kontrolliert_paxg2024_sleep_origin_1000_5m.csv,data\kontrolliert_paxg2025_sleep_follow_1000_5m.csv
paxg1000_soft_sleep_combo_same,einzelrolle_oder_spikefeld,1,1,1,0,1.0,0.0,1.0,248.0,0.696289,0.497353,0.155107,0.129752,1,0,0,dio_mcm_episode_1joiyc3:field_carried:994,data\kontrolliert_paxg2024_sleep_origin_1000_5m.csv,data\kontrolliert_paxg2024_sleep_same_1000_5m.csv
sol2024_5m_2000_baseline,real_a_mehrrollen_ohne_sleep_nachweis,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,0,0,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,
sol2024_5m_2000_sleep_reorg,real_a_mehrrollen_ohne_sleep_nachweis,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,3,0,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv
sol2024_multirole_repro_fresh,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,5,10,10,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv
sol2024_sleep_combo_mosaic1525,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,3,3,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\synthetic_1525_melody_randrollen_interwoven_mosaic_2400_5m.csv
sol2024_sleep_combo_quiet2025,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,3,3,1,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_real_quiet_sol_2025_5m_2000.csv
sol2024_sleep_combo_same,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,3,3,3,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv
