welt,unique_symbols,stable_ratio,carried_unrest_ratio,tipping_ratio,avg_afterimage,fieldtime_trust,fieldtime_caution,lesung
1525_strukturiert,97,0.8759,0.1236,0.0004,0.4053,0.7784,0.1124,strukturierte_welt_hohe_feldzeit_enge_rollenordnung
1526_null_shuffle,224,0.8045,0.1955,0.0000,0.1512,0.6583,0.2073,zerstoerte_reihenfolge_senkt_feldzeit_und_erhoeht_streuung
1527_null_random_sign,221,0.8517,0.1483,0.0000,0.2452,0.6870,0.1796,randomisierte_richtung_teilrollen_bleiben_aber_feldzeit_sinkt
1528_real_stress,345,0.7638,0.2312,0.0050,0.1448,0.5958,0.2489,stresswelt_hoechste_streuung_niedrigste_feldzeit_mehr_kippnaehe
