pair,signature,events,worlds,share,pressure_delta,rekopplung_delta
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->offene_lage->offene_lage,62,9,0.794872,0.010317,-0.000309
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->offene_lage->druck_lage,5,5,0.064103,0.143904,-0.013313
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->offene_lage->offene_lage,4,3,0.051282,-0.045112,0.011763
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->offene_lage->offene_lage,2,1,0.025641,-0.044225,0.017034
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->offene_lage->bewegungsbruch,2,2,0.025641,0.097784,-0.019999
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->gehaltene_form->druck_lage,1,1,0.012821,-0.044382,0.011664
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->offene_lage->druck_lage,1,1,0.012821,0.126181,-0.001078
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->gehaltene_form->offene_lage,1,1,0.012821,-0.122945,0.030505
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->offene_lage->offene_lage,25,9,0.342466,-0.000526,-0.003518
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->offene_lage,7,3,0.095890,0.094786,-0.016638
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->bewegungsbruch->offene_lage,6,5,0.082192,0.003652,-0.007487
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->bewegungsbruch,5,4,0.068493,0.031022,-0.006284
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->druck_lage,4,3,0.054795,0.215094,-0.018687
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->gehaltene_form,4,3,0.054795,0.122897,-0.011165
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->druck_lage->druck_lage,4,4,0.054795,-0.093897,0.006275
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->bewegungsbruch->bewegungsbruch,3,2,0.041096,-0.056016,0.009403
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->offene_lage->offene_lage,3,3,0.041096,-0.101634,0.029773
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->offene_lage->druck_lage,3,2,0.041096,0.211358,-0.036455
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->offene_lage->offene_lage,2,2,0.027397,-0.136395,0.022298
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,gehaltene_form->offene_lage->offene_lage,2,1,0.027397,-0.121701,0.014422
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->bewegungsbruch->gehaltene_form,1,1,0.013699,-0.037795,0.005417
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->druck_lage->offene_lage,1,1,0.013699,-0.163003,-0.007742
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->offene_lage->bewegungsbruch,1,1,0.013699,-0.137992,0.064682
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->druck_lage->bewegungsbruch,1,1,0.013699,0.006119,-0.004492
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->offene_lage->bewegungsbruch,1,1,0.013699,-0.047824,0.001030
